parent	child	posPC	genderPC	aspectPC	same_start	1gram_Parent_start	2gram_Parent_start	3gram_Parent_start	4gram_Parent_start	5gram_Parent_start	6gram_Parent_start	1gram_Child_start	2gram_Child_start	3gram_Child_start	4gram_Child_start	5gram_Child_start	6gram_Child_start	6gram_Parent_end	5gram_Parent_end	4gram_Parent_end	3gram_Parent_end	2gram_Parent_end	1gram_Parent_end	6gram_Child_end	5gram_Child_end	4gram_Child_end	3gram_Child_end	2gram_Child_end	1gram_Child_end	label
nábožný	nábožnost	AN	IF	--	1	n	ná	náb	nábo	nábož	nábožn	n	ná	náb	nábo	nábož	nábožn	ábožný	božný	ožný	žný	ný	ý	ožnost	žnost	nost	ost	st	t	podst.
nabrat	nabírat	VV	--	PI	1	n	na	nab	nabr	nabra	nabrat	n	na	nab	nabí	nabír	nabíra	nabrat	abrat	brat	rat	at	t	abírat	bírat	írat	rat	at	t	ned.
nábřeží	nábřežíčko	NN	NN	--	1	n	ná	náb	nábř	nábře	nábřež	n	ná	náb	nábř	nábře	nábřež	ábřeží	břeží	řeží	eží	ží	í	ežíčko	žíčko	íčko	čko	ko	o	zdrob.
nabrousit	nabrušovat	VV	--	P-	1	n	na	nab	nabr	nabro	nabrou	n	na	nab	nabr	nabru	nabruš	rousit	ousit	usit	sit	it	t	ušovat	šovat	ovat	vat	at	t	ned.
nabručený	nabručenost	AN	IF	--	1	n	na	nab	nabr	nabru	nabruč	n	na	nab	nabr	nabru	nabruč	ručený	učený	čený	ený	ný	ý	čenost	enost	nost	ost	st	t	podst.
nabubřelý	nabubřelost	AN	IF	--	1	n	na	nab	nabu	nabub	nabubř	n	na	nab	nabu	nabub	nabubř	ubřelý	břelý	řelý	elý	lý	ý	řelost	elost	lost	ost	st	t	podst.
nabýt	nabývat	VV	--	PI	1	n	na	nab	nabý	nabýt	-	n	na	nab	nabý	nabýv	nabýva	-	nabýt	abýt	být	ýt	t	abývat	bývat	ývat	vat	at	t	ned.
načechrat	načechrávat	VV	--	PI	1	n	na	nač	nače	načec	načech	n	na	nač	nače	načec	načech	echrat	chrat	hrat	rat	at	t	hrávat	rávat	ávat	vat	at	t	ned.
načerpat	načerpávat	VV	--	PI	1	n	na	nač	nače	načer	načerp	n	na	nač	nače	načer	načerp	čerpat	erpat	rpat	pat	at	t	rpávat	pávat	ávat	vat	at	t	ned.
načesat	načesávat	VV	--	P-	1	n	na	nač	nače	načes	načesa	n	na	nač	nače	načes	načesá	ačesat	česat	esat	sat	at	t	esávat	sávat	ávat	vat	at	t	ned.
nacházet	nacházívat	VV	--	II	1	n	na	nac	nach	nachá	nacház	n	na	nac	nach	nachá	nacház	cházet	házet	ázet	zet	et	t	ázívat	zívat	ívat	vat	at	t	nás.
nachlazení	nachlazeníčko	NN	NN	--	1	n	na	nac	nach	nachl	nachla	n	na	nac	nach	nachl	nachla	lazení	azení	zení	ení	ní	í	eníčko	níčko	íčko	čko	ko	o	zdrob.
nachmelený	nachmelenost	AN	IF	--	1	n	na	nac	nach	nachm	nachme	n	na	nac	nach	nachm	nachme	melený	elený	lený	ený	ný	ý	lenost	enost	nost	ost	st	t	podst.
nachýlit	nachylovat	VV	--	PI	1	n	na	nac	nach	nachý	nachýl	n	na	nac	nach	nachy	nachyl	chýlit	hýlit	ýlit	lit	it	t	ylovat	lovat	ovat	vat	at	t	ned.
nachytat	nachytávat	VV	--	PI	1	n	na	nac	nach	nachy	nachyt	n	na	nac	nach	nachy	nachyt	chytat	hytat	ytat	tat	at	t	ytávat	távat	ávat	vat	at	t	ned.
náčiní	náčiníčko	NN	NN	--	1	n	ná	náč	náči	náčin	náčiní	n	ná	náč	náči	náčin	náčiní	náčiní	áčiní	činí	iní	ní	í	iníčko	níčko	íčko	čko	ko	o	zdrob.
nacionálsocialistka	nacionálsocialistčin	NA	F-	--	1	n	na	nac	naci	nacio	nacion	n	na	nac	naci	nacio	nacion	listka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	poses.
načít	načínat	VV	--	PI	1	n	na	nač	načí	načít	-	n	na	nač	načí	načín	načína	-	načít	ačít	čít	ít	t	ačínat	čínat	ínat	nat	at	t	ned.
nacpat	nacpávat	VV	--	PI	1	n	na	nac	nacp	nacpa	nacpat	n	na	nac	nacp	nacpá	nacpáv	nacpat	acpat	cpat	pat	at	t	cpávat	pávat	ávat	vat	at	t	ned.
načrtat	načrtávat	VV	--	II	1	n	na	nač	načr	načrt	načrta	n	na	nač	načr	načrt	načrtá	ačrtat	črtat	rtat	tat	at	t	rtávat	távat	ávat	vat	at	t	ned.
náčrtník	náčrtníček	NN	II	--	1	n	ná	náč	náčr	náčrt	náčrtn	n	ná	náč	náčr	náčrt	náčrtn	črtník	rtník	tník	ník	ík	k	tníček	níček	íček	ček	ek	k	zdrob.
náčrt	náčrtek	NN	II	--	1	n	ná	náč	náčr	náčrt	-	n	ná	náč	náčr	náčrt	náčrte	-	náčrt	áčrt	črt	rt	t	áčrtek	črtek	rtek	tek	ek	k	zdrob.
nacvičit	nacvičovat	VV	--	PI	1	n	na	nac	nacv	nacvi	nacvič	n	na	nac	nacv	nacvi	nacvič	cvičit	vičit	ičit	čit	it	t	ičovat	čovat	ovat	vat	at	t	ned.
nadcházet	nadcházívat	VV	--	I-	1	n	na	nad	nadc	nadch	nadchá	n	na	nad	nadc	nadch	nadchá	cházet	házet	ázet	zet	et	t	ázívat	zívat	ívat	vat	at	t	nás.
nadechnout	nadechovat	VV	--	PI	1	n	na	nad	nade	nadec	nadech	n	na	nad	nade	nadec	nadech	chnout	hnout	nout	out	ut	t	chovat	hovat	ovat	vat	at	t	ned.
nadělení	naděleníčko	NN	NN	--	1	n	na	nad	nadě	naděl	naděle	n	na	nad	nadě	naděl	naděle	dělení	ělení	lení	ení	ní	í	eníčko	níčko	íčko	čko	ko	o	zdrob.
nadělit	nadělovat	VV	--	PI	1	n	na	nad	nadě	naděl	naděli	n	na	nad	nadě	naděl	nadělo	adělit	dělit	ělit	lit	it	t	ělovat	lovat	ovat	vat	at	t	ned.
nádenice	nádeničin	NA	F-	--	1	n	ná	nád	náde	náden	nádeni	n	ná	nád	náde	náden	nádeni	denice	enice	nice	ice	ce	e	eničin	ničin	ičin	čin	in	n	poses.
nadepsat	nadpisovat	VV	--	P-	1	n	na	nad	nade	nadep	nadeps	n	na	nad	nadp	nadpi	nadpis	depsat	epsat	psat	sat	at	t	isovat	sovat	ovat	vat	at	t	ned.
Nadera	Naderův	NA	M-	--	1	N	Na	Nad	Nade	Nader	Nadera	N	Na	Nad	Nade	Nader	Naderů	Nadera	adera	dera	era	ra	a	aderův	derův	erův	rův	ův	v	poses.
nadháněč	nadháněčka	NN	MF	--	1	n	na	nad	nadh	nadhá	nadhán	n	na	nad	nadh	nadhá	nadhán	dháněč	háněč	áněč	něč	ěč	č	áněčka	něčka	ěčka	čka	ka	a	přech.
nádherný	nádhernost	AN	IF	--	1	n	ná	nád	nádh	nádhe	nádher	n	ná	nád	nádh	nádhe	nádher	dherný	herný	erný	rný	ný	ý	ernost	rnost	nost	ost	st	t	podst.
nadhodit	nadhazovat	VV	--	PI	1	n	na	nad	nadh	nadho	nadhod	n	na	nad	nadh	nadha	nadhaz	dhodit	hodit	odit	dit	it	t	azovat	zovat	ovat	vat	at	t	ned.
nadhodnotit	nadhodnocovat	VV	--	PI	1	n	na	nad	nadh	nadho	nadhod	n	na	nad	nadh	nadho	nadhod	dnotit	notit	otit	tit	it	t	ocovat	covat	ovat	vat	at	t	ned.
nadít	nadívat	VV	--	PI	1	n	na	nad	nadí	nadít	-	n	na	nad	nadí	nadív	nadíva	-	nadít	adít	dít	ít	t	adívat	dívat	ívat	vat	at	t	ned.
nadlehčit	nadlehčovat	VV	--	PI	1	n	na	nad	nadl	nadle	nadleh	n	na	nad	nadl	nadle	nadleh	lehčit	ehčit	hčit	čit	it	t	hčovat	čovat	ovat	vat	at	t	ned.
nadlepšit	nadlepšovat	VV	--	-I	1	n	na	nad	nadl	nadle	nadlep	n	na	nad	nadl	nadle	nadlep	lepšit	epšit	pšit	šit	it	t	pšovat	šovat	ovat	vat	at	t	ned.
nádoba	nádobka	NN	FF	--	1	n	ná	nád	nádo	nádob	nádoba	n	ná	nád	nádo	nádob	nádobk	nádoba	ádoba	doba	oba	ba	a	ádobka	dobka	obka	bka	ka	a	zdrob.
nádor	nádorek	NN	II	--	1	n	ná	nád	nádo	nádor	-	n	ná	nád	nádo	nádor	nádore	-	nádor	ádor	dor	or	r	ádorek	dorek	orek	rek	ek	k	zdrob.
nádor	nádůrek	NN	II	--	1	n	ná	nád	nádo	nádor	-	n	ná	nád	nádů	nádůr	nádůre	-	nádor	ádor	dor	or	r	ádůrek	důrek	ůrek	rek	ek	k	zdrob.
nadout	nadouvat	VV	--	PI	1	n	na	nad	nado	nadou	nadout	n	na	nad	nado	nadou	nadouv	nadout	adout	dout	out	ut	t	douvat	ouvat	uvat	vat	at	t	ned.
nadpomyslný	nadpomyslnost	AN	IF	--	1	n	na	nad	nadp	nadpo	nadpom	n	na	nad	nadp	nadpo	nadpom	myslný	yslný	slný	lný	ný	ý	slnost	lnost	nost	ost	st	t	podst.
nadpřirozený	nadpřirozeno	AN	IN	--	1	n	na	nad	nadp	nadpř	nadpři	n	na	nad	nadp	nadpř	nadpři	rozený	ozený	zený	ený	ný	ý	rozeno	ozeno	zeno	eno	no	o	zpodst.
nadpřirozený	nadpřirozenost	AN	IF	--	1	n	na	nad	nadp	nadpř	nadpři	n	na	nad	nadp	nadpř	nadpři	rozený	ozený	zený	ený	ný	ý	zenost	enost	nost	ost	st	t	podst.
nadřadit	nadřaďovat	VV	--	P-	1	n	na	nad	nadř	nadřa	nadřad	n	na	nad	nadř	nadřa	nadřaď	dřadit	řadit	adit	dit	it	t	aďovat	ďovat	ovat	vat	at	t	ned.
nadřadit	nadřazovat	VV	--	PI	1	n	na	nad	nadř	nadřa	nadřad	n	na	nad	nadř	nadřa	nadřaz	dřadit	řadit	adit	dit	it	t	azovat	zovat	ovat	vat	at	t	ned.
nádraží	nádražíčko	NN	NN	--	1	n	ná	nád	nádr	nádra	nádraž	n	ná	nád	nádr	nádra	nádraž	ádraží	draží	raží	aží	ží	í	ažíčko	žíčko	íčko	čko	ko	o	zdrob.
nadreálný	nadreálno	AN	IN	--	1	n	na	nad	nadr	nadre	nadreá	n	na	nad	nadr	nadre	nadreá	reálný	eálný	álný	lný	ný	ý	reálno	eálno	álno	lno	no	o	zpodst.
nadreálný	nadreálnost	AN	IF	--	1	n	na	nad	nadr	nadre	nadreá	n	na	nad	nadr	nadre	nadreá	reálný	eálný	álný	lný	ný	ý	álnost	lnost	nost	ost	st	t	podst.
ňadro	ňadérko	NN	NN	--	1	ň	ňa	ňad	ňadr	ňadro	-	ň	ňa	ňad	ňadé	ňadér	ňadérk	-	ňadro	adro	dro	ro	o	adérko	dérko	érko	rko	ko	o	zdrob.
ňadro	ňadýrko	NN	NN	--	1	ň	ňa	ňad	ňadr	ňadro	-	ň	ňa	ňad	ňadý	ňadýr	ňadýrk	-	ňadro	adro	dro	ro	o	adýrko	dýrko	ýrko	rko	ko	o	zdrob.
nadrotmistr	nadrotmistryně	NN	MF	--	1	n	na	nad	nadr	nadro	nadrot	n	na	nad	nadr	nadro	nadrot	tmistr	mistr	istr	str	tr	r	stryně	tryně	ryně	yně	ně	ě	přech.
nádrž	nádržka	NN	FF	--	1	n	ná	nád	nádr	nádrž	-	n	ná	nád	nádr	nádrž	nádržk	-	nádrž	ádrž	drž	rž	ž	ádržka	držka	ržka	žka	ka	a	zdrob.
nadsadit	nadsazovat	VV	--	PI	1	n	na	nad	nads	nadsa	nadsad	n	na	nad	nads	nadsa	nadsaz	dsadit	sadit	adit	dit	it	t	azovat	zovat	ovat	vat	at	t	ned.
nadšenec	nadšenka	NN	MF	--	1	n	na	nad	nadš	nadše	nadšen	n	na	nad	nadš	nadše	nadšen	dšenec	šenec	enec	nec	ec	c	dšenka	šenka	enka	nka	ka	a	přech.
nadšenka	nadšenčin	NA	F-	--	1	n	na	nad	nadš	nadše	nadšen	n	na	nad	nadš	nadše	nadšen	dšenka	šenka	enka	nka	ka	a	šenčin	enčin	nčin	čin	in	n	poses.
nadšenkyně	nadšenkynin	NA	F-	--	1	n	na	nad	nadš	nadše	nadšen	n	na	nad	nadš	nadše	nadšen	enkyně	nkyně	kyně	yně	ně	ě	nkynin	kynin	ynin	nin	in	n	poses.
nadskočit	nadskakovat	VV	--	PI	1	n	na	nad	nads	nadsk	nadsko	n	na	nad	nads	nadsk	nadska	skočit	kočit	očit	čit	it	t	akovat	kovat	ovat	vat	at	t	ned.
nadskutečný	nadskutečno	AN	IN	--	1	n	na	nad	nads	nadsk	nadsku	n	na	nad	nads	nadsk	nadsku	utečný	tečný	ečný	čný	ný	ý	utečno	tečno	ečno	čno	no	o	zpodst.
nadskutečný	nadskutečnost	AN	IF	--	1	n	na	nad	nads	nadsk	nadsku	n	na	nad	nads	nadsk	nadsku	utečný	tečný	ečný	čný	ný	ý	ečnost	čnost	nost	ost	st	t	podst.
nadsmyslný	nadsmyslno	AN	IN	--	1	n	na	nad	nads	nadsm	nadsmy	n	na	nad	nads	nadsm	nadsmy	myslný	yslný	slný	lný	ný	ý	myslno	yslno	slno	lno	no	o	zpodst.
nadsmyslný	nadsmyslnost	AN	IF	--	1	n	na	nad	nads	nadsm	nadsmy	n	na	nad	nads	nadsm	nadsmy	myslný	yslný	slný	lný	ný	ý	slnost	lnost	nost	ost	st	t	podst.
nadsmyslový	nadsmyslovost	AN	IF	--	1	n	na	nad	nads	nadsm	nadsmy	n	na	nad	nads	nadsm	nadsmy	yslový	slový	lový	ový	vý	ý	lovost	ovost	vost	ost	st	t	podst.
nadstavba	nadstavbička	NN	FF	--	1	n	na	nad	nads	nadst	nadsta	n	na	nad	nads	nadst	nadsta	stavba	tavba	avba	vba	ba	a	vbička	bička	ička	čka	ka	a	zdrob.
nadstrážmistryně	nadstrážmistrynin	NA	F-	--	1	n	na	nad	nads	nadst	nadstr	n	na	nad	nads	nadst	nadstr	stryně	tryně	ryně	yně	ně	ě	trynin	rynin	ynin	nin	in	n	poses.
nadurděný	nadurděnost	AN	IF	--	1	n	na	nad	nadu	nadur	nadurd	n	na	nad	nadu	nadur	nadurd	urděný	rděný	děný	ěný	ný	ý	děnost	ěnost	nost	ost	st	t	podst.
naduřelý	naduřelost	AN	IF	--	1	n	na	nad	nadu	naduř	naduře	n	na	nad	nadu	naduř	naduře	duřelý	uřelý	řelý	elý	lý	ý	řelost	elost	lost	ost	st	t	podst.
nadužít	nadužívat	VV	--	-I	1	n	na	nad	nadu	naduž	naduží	n	na	nad	nadu	naduž	naduží	adužít	dužít	užít	žít	ít	t	užívat	žívat	ívat	vat	at	t	ned.
nadužívat	nadužívávat	VV	--	I-	1	n	na	nad	nadu	naduž	naduží	n	na	nad	nadu	naduž	naduží	užívat	žívat	ívat	vat	at	t	ívávat	vávat	ávat	vat	at	t	nás.
nádvoří	nádvoříčko	NN	NN	--	1	n	ná	nád	nádv	nádvo	nádvoř	n	ná	nád	nádv	nádvo	nádvoř	ádvoří	dvoří	voří	oří	ří	í	oříčko	říčko	íčko	čko	ko	o	zdrob.
nadýmavý	nadýmavost	AN	IF	--	1	n	na	nad	nadý	nadým	nadýma	n	na	nad	nadý	nadým	nadýma	dýmavý	ýmavý	mavý	avý	vý	ý	mavost	avost	vost	ost	st	t	podst.
nadzdvihnout	nadzdvihovat	VV	--	PI	1	n	na	nad	nadz	nadzd	nadzdv	n	na	nad	nadz	nadzd	nadzdv	ihnout	hnout	nout	out	ut	t	ihovat	hovat	ovat	vat	at	t	ned.
ňafat	ňafávat	VV	--	I-	1	ň	ňa	ňaf	ňafa	ňafat	-	ň	ňa	ňaf	ňafá	ňafáv	ňafáva	-	ňafat	afat	fat	at	t	afávat	fávat	ávat	vat	at	t	nás.
ňafat	ňafnout	VV	--	IP	1	ň	ňa	ňaf	ňafa	ňafat	-	ň	ňa	ňaf	ňafn	ňafno	ňafnou	-	ňafat	afat	fat	at	t	afnout	fnout	nout	out	ut	t	dok.
nafťák	nafťáček	NN	II	--	1	n	na	naf	nafť	nafťá	nafťák	n	na	naf	nafť	nafťá	nafťáč	nafťák	afťák	fťák	ťák	ák	k	fťáček	ťáček	áček	ček	ek	k	zdrob.
Nagako	Nagačin	NA	F-	--	1	N	Na	Nag	Naga	Nagak	Nagako	N	Na	Nag	Naga	Nagač	Nagači	Nagako	agako	gako	ako	ko	o	agačin	gačin	ačin	čin	in	n	poses.
naháč	naháček	NN	MM	--	1	n	na	nah	nahá	naháč	-	n	na	nah	nahá	naháč	naháče	-	naháč	aháč	háč	áč	č	aháček	háček	áček	ček	ek	k	zdrob.
nahánět	nahánívat	VV	--	I-	1	n	na	nah	nahá	nahán	naháně	n	na	nah	nahá	nahán	nahání	ahánět	hánět	ánět	nět	ět	t	ánívat	nívat	ívat	vat	at	t	nás.
nahlížet	nahlížívat	VV	--	I-	1	n	na	nah	nahl	nahlí	nahlíž	n	na	nah	nahl	nahlí	nahlíž	hlížet	lížet	ížet	žet	et	t	ížívat	žívat	ívat	vat	at	t	nás.
nahlodat	nahlodávat	VV	--	PI	1	n	na	nah	nahl	nahlo	nahlod	n	na	nah	nahl	nahlo	nahlod	hlodat	lodat	odat	dat	at	t	odávat	dávat	ávat	vat	at	t	ned.
náhlý	náhlost	AN	IF	--	1	n	ná	náh	náhl	náhlý	-	n	ná	náh	náhl	náhlo	náhlos	-	náhlý	áhlý	hlý	lý	ý	áhlost	hlost	lost	ost	st	t	podst.
nahmatat	nahmatávat	VV	--	PI	1	n	na	nah	nahm	nahma	nahmat	n	na	nah	nahm	nahma	nahmat	hmatat	matat	atat	tat	at	t	atávat	távat	ávat	vat	at	t	ned.
nahnít	nahnívat	VV	--	PI	1	n	na	nah	nahn	nahní	nahnít	n	na	nah	nahn	nahní	nahnív	nahnít	ahnít	hnít	nít	ít	t	hnívat	nívat	ívat	vat	at	t	ned.
náhoda	náhodička	NN	FF	--	1	n	ná	náh	náho	náhod	náhoda	n	ná	náh	náho	náhod	náhodi	náhoda	áhoda	hoda	oda	da	a	odička	dička	ička	čka	ka	a	zdrob.
nahodit	nahazovat	VV	--	PI	1	n	na	nah	naho	nahod	nahodi	n	na	nah	naha	nahaz	nahazo	ahodit	hodit	odit	dit	it	t	azovat	zovat	ovat	vat	at	t	ned.
nahořklý	nahořklost	AN	IF	--	1	n	na	nah	naho	nahoř	nahořk	n	na	nah	naho	nahoř	nahořk	hořklý	ořklý	řklý	klý	lý	ý	řklost	klost	lost	ost	st	t	podst.
nahorovat	nahorovávat	VV	--	--	1	n	na	nah	naho	nahor	nahoro	n	na	nah	naho	nahor	nahoro	orovat	rovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	nás.
nahotina	nahotinka	NN	FF	--	1	n	na	nah	naho	nahot	nahoti	n	na	nah	naho	nahot	nahoti	hotina	otina	tina	ina	na	a	otinka	tinka	inka	nka	ka	a	zdrob.
nahrabat	nahrabávat	VV	--	P-	1	n	na	nah	nahr	nahra	nahrab	n	na	nah	nahr	nahra	nahrab	hrabat	rabat	abat	bat	at	t	abávat	bávat	ávat	vat	at	t	ned.
nahrabat	nahrabovat	VV	--	P-	1	n	na	nah	nahr	nahra	nahrab	n	na	nah	nahr	nahra	nahrab	hrabat	rabat	abat	bat	at	t	abovat	bovat	ovat	vat	at	t	ned.
nahradit	nahrazovat	VV	--	PI	1	n	na	nah	nahr	nahra	nahrad	n	na	nah	nahr	nahra	nahraz	hradit	radit	adit	dit	it	t	azovat	zovat	ovat	vat	at	t	ned.
nahrát	nahrávat	VV	--	PI	1	n	na	nah	nahr	nahrá	nahrát	n	na	nah	nahr	nahrá	nahráv	nahrát	ahrát	hrát	rát	át	t	hrávat	rávat	ávat	vat	at	t	ned.
nahřát	nahřívat	VV	--	PI	1	n	na	nah	nahř	nahřá	nahřát	n	na	nah	nahř	nahří	nahřív	nahřát	ahřát	hřát	řát	át	t	hřívat	řívat	ívat	vat	at	t	ned.
nahrávač	nahrávačka	NN	MF	--	1	n	na	nah	nahr	nahrá	nahráv	n	na	nah	nahr	nahrá	nahráv	hrávač	rávač	ávač	vač	ač	č	ávačka	vačka	ačka	čka	ka	a	přech.
náhrdelník	náhrdelníček	NN	II	--	1	n	ná	náh	náhr	náhrd	náhrde	n	ná	náh	náhr	náhrd	náhrde	delník	elník	lník	ník	ík	k	lníček	níček	íček	ček	ek	k	zdrob.
nahrnout	nahrnovat	VV	--	PI	1	n	na	nah	nahr	nahrn	nahrno	n	na	nah	nahr	nahrn	nahrno	hrnout	rnout	nout	out	ut	t	rnovat	novat	ovat	vat	at	t	ned.
nahromadit	nahromaďovat	VV	--	P-	1	n	na	nah	nahr	nahro	nahrom	n	na	nah	nahr	nahro	nahrom	omadit	madit	adit	dit	it	t	aďovat	ďovat	ovat	vat	at	t	ned.
náhubek	náhubeček	NN	II	--	1	n	ná	náh	náhu	náhub	náhube	n	ná	náh	náhu	náhub	náhube	áhubek	hubek	ubek	bek	ek	k	ubeček	beček	eček	ček	ek	k	zdrob.
nahustit	nahušťovat	VV	--	P-	1	n	na	nah	nahu	nahus	nahust	n	na	nah	nahu	nahuš	nahušť	hustit	ustit	stit	tit	it	t	šťovat	ťovat	ovat	vat	at	t	ned.
nahý	naho	AN	MN	--	1	n	na	nah	nahý	-	-	n	na	nah	naho	-	-	-	-	nahý	ahý	hý	ý	-	-	naho	aho	ho	o	zpodst.
nahý	nahost	AN	MF	--	1	n	na	nah	nahý	-	-	n	na	nah	naho	nahos	nahost	-	-	nahý	ahý	hý	ý	nahost	ahost	host	ost	st	t	podst.
Nájar	Nájarův	NA	M-	--	1	N	Ná	Náj	Nája	Nájar	-	N	Ná	Náj	Nája	Nájar	Nájarů	-	Nájar	ájar	jar	ar	r	ájarův	jarův	arův	rův	ův	v	poses.
nájemce	nájemkyně	NN	MF	--	1	n	ná	náj	náje	nájem	nájemc	n	ná	náj	náje	nájem	nájemk	ájemce	jemce	emce	mce	ce	e	emkyně	mkyně	kyně	yně	ně	ě	přech.
nájemnice	nájemničin	NA	F-	--	1	n	ná	náj	náje	nájem	nájemn	n	ná	náj	náje	nájem	nájemn	emnice	mnice	nice	ice	ce	e	mničin	ničin	ičin	čin	in	n	poses.
nájem	nájmíček	NN	II	--	1	n	ná	náj	náje	nájem	-	n	ná	náj	nájm	nájmí	nájmíč	-	nájem	ájem	jem	em	m	jmíček	míček	íček	ček	ek	k	zdrob.
naježený	naježenost	AN	IF	--	1	n	na	naj	naje	najež	naježe	n	na	naj	naje	najež	naježe	ježený	ežený	žený	ený	ný	ý	ženost	enost	nost	ost	st	t	podst.
naježit	naježovat	VV	--	P-	1	n	na	naj	naje	najež	naježi	n	na	naj	naje	najež	naježo	aježit	ježit	ežit	žit	it	t	ežovat	žovat	ovat	vat	at	t	ned.
najímatel	najímatelka	NN	MF	--	1	n	na	naj	nají	najím	najíma	n	na	naj	nají	najím	najíma	ímatel	matel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	přech.
najímat	najímávat	VV	--	I-	1	n	na	naj	nají	najím	najíma	n	na	naj	nají	najím	najímá	ajímat	jímat	ímat	mat	at	t	ímávat	mávat	ávat	vat	at	t	nás.
najmout	najímat	VV	--	PI	1	n	na	naj	najm	najmo	najmou	n	na	naj	nají	najím	najíma	ajmout	jmout	mout	out	ut	t	ajímat	jímat	ímat	mat	at	t	ned.
nakapat	nakapávat	VV	--	PI	1	n	na	nak	naka	nakap	nakapa	n	na	nak	naka	nakap	nakapá	akapat	kapat	apat	pat	at	t	apávat	pávat	ávat	vat	at	t	ned.
nakázat	nakazovat	VV	--	PI	1	n	na	nak	naká	nakáz	nakáza	n	na	nak	naka	nakaz	nakazo	akázat	kázat	ázat	zat	at	t	azovat	zovat	ovat	vat	at	t	ned.
nakazit	nakažovat	VV	--	P-	1	n	na	nak	naka	nakaz	nakazi	n	na	nak	naka	nakaž	nakažo	akazit	kazit	azit	zit	it	t	ažovat	žovat	ovat	vat	at	t	ned.
náklaďák	náklaďáček	NN	II	--	1	n	ná	nák	nákl	nákla	náklaď	n	ná	nák	nákl	nákla	náklaď	klaďák	laďák	aďák	ďák	ák	k	aďáček	ďáček	áček	ček	ek	k	zdrob.
nakladatel	nakladatelka	NN	MF	--	1	n	na	nak	nakl	nakla	naklad	n	na	nak	nakl	nakla	naklad	adatel	datel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	přech.
nakládat	nakládávat	VV	--	II	1	n	na	nak	nakl	naklá	naklád	n	na	nak	nakl	naklá	naklád	kládat	ládat	ádat	dat	at	t	ádávat	dávat	ávat	vat	at	t	nás.
naklíčit	nakličovat	VV	--	PI	1	n	na	nak	nakl	naklí	naklíč	n	na	nak	nakl	nakli	naklič	klíčit	líčit	íčit	čit	it	t	ičovat	čovat	ovat	vat	at	t	ned.
naklonit	nakloňovat	VV	--	PI	1	n	na	nak	nakl	naklo	naklon	n	na	nak	nakl	naklo	nakloň	klonit	lonit	onit	nit	it	t	oňovat	ňovat	ovat	vat	at	t	ned.
nakoupit	nakupovat	VV	--	PI	1	n	na	nak	nako	nakou	nakoup	n	na	nak	naku	nakup	nakupo	koupit	oupit	upit	pit	it	t	upovat	povat	ovat	vat	at	t	ned.
nakousnout	nakusovat	VV	--	PI	1	n	na	nak	nako	nakou	nakous	n	na	nak	naku	nakus	nakuso	usnout	snout	nout	out	ut	t	usovat	sovat	ovat	vat	at	t	ned.
nakřivit	nakřivovat	VV	--	P-	1	n	na	nak	nakř	nakři	nakřiv	n	na	nak	nakř	nakři	nakřiv	křivit	řivit	ivit	vit	it	t	ivovat	vovat	ovat	vat	at	t	ned.
nakročit	nakročovat	VV	--	PI	1	n	na	nak	nakr	nakro	nakroč	n	na	nak	nakr	nakro	nakroč	kročit	ročit	očit	čit	it	t	očovat	čovat	ovat	vat	at	t	ned.
nakroutit	nakrucovat	VV	--	PI	1	n	na	nak	nakr	nakro	nakrou	n	na	nak	nakr	nakru	nakruc	routit	outit	utit	tit	it	t	ucovat	covat	ovat	vat	at	t	ned.
nákupnice	nákupničin	NA	F-	--	1	n	ná	nák	náku	nákup	nákupn	n	ná	nák	náku	nákup	nákupn	upnice	pnice	nice	ice	ce	e	pničin	ničin	ičin	čin	in	n	poses.
nakupovatel	nakupovatelka	NN	MF	--	1	n	na	nak	naku	nakup	nakupo	n	na	nak	naku	nakup	nakupo	ovatel	vatel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	přech.
nakupovat	nakupovávat	VV	--	I-	1	n	na	nak	naku	nakup	nakupo	n	na	nak	naku	nakup	nakupo	upovat	povat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	nás.
nakvašený	nakvašenost	AN	IF	--	1	n	na	nak	nakv	nakva	nakvaš	n	na	nak	nakv	nakva	nakvaš	vašený	ašený	šený	ený	ný	ý	šenost	enost	nost	ost	st	t	podst.
nakvasit	nakvašovat	VV	--	PI	1	n	na	nak	nakv	nakva	nakvas	n	na	nak	nakv	nakva	nakvaš	kvasit	vasit	asit	sit	it	t	ašovat	šovat	ovat	vat	at	t	ned.
nakydat	nakydávat	VV	--	P-	1	n	na	nak	naky	nakyd	nakyda	n	na	nak	naky	nakyd	nakydá	akydat	kydat	ydat	dat	at	t	ydávat	dávat	ávat	vat	at	t	ned.
nakysat	nakysávat	VV	--	--	1	n	na	nak	naky	nakys	nakysa	n	na	nak	naky	nakys	nakysá	akysat	kysat	ysat	sat	at	t	ysávat	sávat	ávat	vat	at	t	ned.
