parent	child	pos_P	pos_C	gender_P	gender_C	aspect_P	aspect_C	poses_P	poses_C	same_start	same_end	one_gram_P_start	two_gram_P_start	three_gram_P_start	four_gram_P_start	five_gram_P_start	six_gram_P_start	one_gram_C_start	two_gram_C_start	three_gram_C_start	four_gram_C_start	five_gram_C_start	six_gram_C_start	six_gram_P_end	five_gram_P_end	four_gram_P_end	three_gram_P_end	two_gram_P_end	one_gram_P_end	six_gram_C_end	five_gram_C_end	four_gram_C_end	three_gram_C_end	two_gram_C_end	one_gram_C_end	label
bodhránistka	bodhránistčin	N	A	F	NA	NA	NA	0	1	1	0	b	bo	bod	bodh	bodhr	bodhrá	b	bo	bod	bodh	bodhr	bodhrá	nistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
bodlák	bodláček	N	N	I	I	NA	NA	0	0	1	1	b	bo	bod	bodl	bodlá	bodlák	b	bo	bod	bodl	bodlá	bodláč	bodlák	odlák	dlák	lák	ák	k	dláček	láček	áček	ček	ek	k	DIMINUTIVE
bodlina	bodlinka	N	N	F	F	NA	NA	0	0	1	1	b	bo	bod	bodl	bodli	bodlin	b	bo	bod	bodl	bodli	bodlin	odlina	dlina	lina	ina	na	a	dlinka	linka	inka	nka	ka	a	DIMINUTIVE
Bogatyrjov	Bogatyrjovův	N	A	M	NA	NA	NA	0	1	1	1	B	Bo	Bog	Boga	Bogat	Bogaty	B	Bo	Bog	Boga	Bogat	Bogaty	tyrjov	yrjov	rjov	jov	ov	v	rjovův	jovův	ovův	vův	ův	v	POSSESSIVE
boháč	bohačka	N	N	M	F	NA	NA	0	0	1	0	b	bo	boh	bohá	boháč	NA	b	bo	boh	boha	bohač	bohačk	NA	boháč	oháč	háč	áč	č	ohačka	hačka	ačka	čka	ka	a	FEMALE
Bohanes	Bohanesův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Boh	Boha	Bohan	Bohane	B	Bo	Boh	Boha	Bohan	Bohane	ohanes	hanes	anes	nes	es	s	anesův	nesův	esův	sův	ův	v	POSSESSIVE
bohatýr	bohatýrka	N	N	M	F	NA	NA	0	0	1	0	b	bo	boh	boha	bohat	bohatý	b	bo	boh	boha	bohat	bohatý	ohatýr	hatýr	atýr	týr	ýr	r	atýrka	týrka	ýrka	rka	ka	a	FEMALE
Bohdanka	Bohdančin	N	A	F	NA	NA	NA	0	1	1	0	B	Bo	Boh	Bohd	Bohda	Bohdan	B	Bo	Boh	Bohd	Bohda	Bohdan	hdanka	danka	anka	nka	ka	a	dančin	ančin	nčin	čin	in	n	POSSESSIVE
Bohdan	Bohdana	N	N	M	F	NA	NA	0	0	1	0	B	Bo	Boh	Bohd	Bohda	Bohdan	B	Bo	Boh	Bohd	Bohda	Bohdan	Bohdan	ohdan	hdan	dan	an	n	ohdana	hdana	dana	ana	na	a	FEMALE
bohorodička	bohorodiččin	N	A	F	NA	NA	NA	0	1	1	0	b	bo	boh	boho	bohor	bohoro	b	bo	boh	boho	bohor	bohoro	odička	dička	ička	čka	ka	a	diččin	iččin	ččin	čin	in	n	POSSESSIVE
Bohouš	Bohoušek	N	N	M	M	NA	NA	0	0	1	0	B	Bo	Boh	Boho	Bohou	Bohouš	B	Bo	Boh	Boho	Bohou	Bohouš	Bohouš	ohouš	houš	ouš	uš	š	houšek	oušek	ušek	šek	ek	k	DIMINUTIVE
Bohumíňačka	Bohumíňaččin	N	A	F	NA	NA	NA	0	1	1	0	B	Bo	Boh	Bohu	Bohum	Bohumí	B	Bo	Boh	Bohu	Bohum	Bohumí	íňačka	ňačka	ačka	čka	ka	a	ňaččin	aččin	ččin	čin	in	n	POSSESSIVE
Bohumíra	Bohumířin	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Boh	Bohu	Bohum	Bohumí	B	Bo	Boh	Bohu	Bohum	Bohumí	humíra	umíra	míra	íra	ra	a	umířin	mířin	ířin	řin	in	n	POSSESSIVE
Bohuna	Bohunka	N	N	F	F	NA	NA	0	0	1	1	B	Bo	Boh	Bohu	Bohun	Bohuna	B	Bo	Boh	Bohu	Bohun	Bohunk	Bohuna	ohuna	huna	una	na	a	ohunka	hunka	unka	nka	ka	a	DIMINUTIVE
Bohůnek	Bohůnkův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Boh	Bohů	Bohůn	Bohůne	B	Bo	Boh	Bohů	Bohůn	Bohůnk	ohůnek	hůnek	ůnek	nek	ek	k	hůnkův	ůnkův	nkův	kův	ův	v	POSSESSIVE
Bojčev	Bojčevův	N	A	M	NA	NA	NA	0	1	1	1	B	Bo	Boj	Bojč	Bojče	Bojčev	B	Bo	Boj	Bojč	Bojče	Bojčev	Bojčev	ojčev	jčev	čev	ev	v	jčevův	čevův	evův	vův	ův	v	POSSESSIVE
bóje	bójka	N	N	F	F	NA	NA	0	0	1	0	b	bó	bój	bóje	NA	NA	b	bó	bój	bójk	bójka	NA	NA	NA	bóje	óje	je	e	NA	bójka	ójka	jka	ka	a	DIMINUTIVE
bojovat	bojovávat	V	V	NA	NA	I	I	0	0	1	1	b	bo	boj	bojo	bojov	bojova	b	bo	boj	bojo	bojov	bojová	ojovat	jovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	ITERATIVE
bok	bůček	N	N	I	I	NA	NA	0	0	0	1	b	bo	bok	NA	NA	NA	b	bů	bůč	bůče	bůček	NA	NA	NA	NA	bok	ok	k	NA	bůček	ůček	ček	ek	k	DIMINUTIVE
bolák	boláček	N	N	I	I	NA	NA	0	0	1	1	b	bo	bol	bolá	bolák	NA	b	bo	bol	bolá	boláč	boláče	NA	bolák	olák	lák	ák	k	oláček	láček	áček	ček	ek	k	DIMINUTIVE
Bolemíra	Bolemířin	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bol	Bole	Bolem	Bolemí	B	Bo	Bol	Bole	Bolem	Bolemí	lemíra	emíra	míra	íra	ra	a	emířin	mířin	ířin	řin	in	n	POSSESSIVE
Bolen	Bolenův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bol	Bole	Bolen	NA	B	Bo	Bol	Bole	Bolen	Bolenů	NA	Bolen	olen	len	en	n	olenův	lenův	enův	nův	ův	v	POSSESSIVE
bolestín	bolestínek	N	N	M	M	NA	NA	0	0	1	0	b	bo	bol	bole	boles	bolest	b	bo	bol	bole	boles	bolest	lestín	estín	stín	tín	ín	n	stínek	tínek	ínek	nek	ek	k	DIMINUTIVE
bolet	bolívat	V	V	NA	NA	I	I	0	0	1	1	b	bo	bol	bole	bolet	NA	b	bo	bol	bolí	bolív	bolíva	NA	bolet	olet	let	et	t	olívat	lívat	ívat	vat	at	t	ITERATIVE
bombarďák	bombarďáček	N	N	M	M	NA	NA	0	0	1	1	b	bo	bom	bomb	bomba	bombar	b	bo	bom	bomb	bomba	bombar	barďák	arďák	rďák	ďák	ák	k	rďáček	ďáček	áček	ček	ek	k	DIMINUTIVE
bonbón	bonbónek	N	N	I	I	NA	NA	0	0	1	0	b	bo	bon	bonb	bonbó	bonbón	b	bo	bon	bonb	bonbó	bonbón	bonbón	onbón	nbón	bón	ón	n	nbónek	bónek	ónek	nek	ek	k	DIMINUTIVE
Borák	Borákův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bor	Borá	Borák	NA	B	Bo	Bor	Borá	Borák	Boráků	NA	Borák	orák	rák	ák	k	orákův	rákův	ákův	kův	ův	v	POSSESSIVE
Borchgrevink	Borchgrevinkův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bor	Borc	Borch	Borchg	B	Bo	Bor	Borc	Borch	Borchg	revink	evink	vink	ink	nk	k	vinkův	inkův	nkův	kův	ův	v	POSSESSIVE
bordelář	bordelářka	N	N	M	F	NA	NA	0	0	1	0	b	bo	bor	bord	borde	bordel	b	bo	bor	bord	borde	bordel	rdelář	delář	elář	lář	ář	ř	elářka	lářka	ářka	řka	ka	a	FEMALE
bordel	bordýlek	N	N	I	I	NA	NA	0	0	1	0	b	bo	bor	bord	borde	bordel	b	bo	bor	bord	bordý	bordýl	bordel	ordel	rdel	del	el	l	rdýlek	dýlek	ýlek	lek	ek	k	DIMINUTIVE
borec	borkyně	N	N	M	F	NA	NA	0	0	1	0	b	bo	bor	bore	borec	NA	b	bo	bor	bork	borky	borkyn	NA	borec	orec	rec	ec	c	orkyně	rkyně	kyně	yně	ně	ě	FEMALE
Bořík	Boříkův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Boř	Boří	Bořík	NA	B	Bo	Boř	Boří	Bořík	Boříků	NA	Bořík	ořík	řík	ík	k	oříkův	říkův	íkův	kův	ův	v	POSSESSIVE
bořitel	bořitelka	N	N	M	F	NA	NA	0	0	1	0	b	bo	boř	boři	bořit	bořite	b	bo	boř	boři	bořit	bořite	ořitel	řitel	itel	tel	el	l	itelka	telka	elka	lka	ka	a	FEMALE
bořit	bořívat	V	V	NA	NA	I	I	0	0	1	1	b	bo	boř	boři	bořit	NA	b	bo	boř	boří	bořív	boříva	NA	bořit	ořit	řit	it	t	ořívat	řívat	ívat	vat	at	t	ITERATIVE
bor	borek	N	N	I	I	NA	NA	0	0	1	0	b	bo	bor	NA	NA	NA	b	bo	bor	bore	borek	NA	NA	NA	NA	bor	or	r	NA	borek	orek	rek	ek	k	DIMINUTIVE
borovice	borovička	N	N	F	F	NA	NA	0	0	1	0	b	bo	bor	boro	borov	borovi	b	bo	bor	boro	borov	borovi	rovice	ovice	vice	ice	ce	e	ovička	vička	ička	čka	ka	a	DIMINUTIVE
Boršarov	Boršarovův	N	A	M	NA	NA	NA	0	1	1	1	B	Bo	Bor	Borš	Borša	Boršar	B	Bo	Bor	Borš	Borša	Boršar	ršarov	šarov	arov	rov	ov	v	arovův	rovův	ovův	vův	ův	v	POSSESSIVE
Bosiljka	Bosiljčin	N	A	F	NA	NA	NA	0	1	1	0	B	Bo	Bos	Bosi	Bosil	Bosilj	B	Bo	Bos	Bosi	Bosil	Bosilj	siljka	iljka	ljka	jka	ka	a	iljčin	ljčin	jčin	čin	in	n	POSSESSIVE
bota	botka	N	N	F	F	NA	NA	0	0	1	1	b	bo	bot	bota	NA	NA	b	bo	bot	botk	botka	NA	NA	NA	bota	ota	ta	a	NA	botka	otka	tka	ka	a	DIMINUTIVE
botka	botička	N	N	F	F	NA	NA	0	0	1	1	b	bo	bot	botk	botka	NA	b	bo	bot	boti	botič	botičk	NA	botka	otka	tka	ka	a	otička	tička	ička	čka	ka	a	DIMINUTIVE
Botto	Bottův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bot	Bott	Botto	NA	B	Bo	Bot	Bott	Bottů	Bottův	NA	Botto	otto	tto	to	o	Bottův	ottův	ttův	tův	ův	v	POSSESSIVE
boubelka	boubelčin	N	A	F	NA	NA	NA	0	1	1	0	b	bo	bou	boub	boube	boubel	b	bo	bou	boub	boube	boubel	ubelka	belka	elka	lka	ka	a	belčin	elčin	lčin	čin	in	n	POSSESSIVE
bouchat	bouchávat	V	V	NA	NA	I	I	0	0	1	1	b	bo	bou	bouc	bouch	boucha	b	bo	bou	bouc	bouch	bouchá	ouchat	uchat	chat	hat	at	t	chávat	hávat	ávat	vat	at	t	ITERATIVE
bouchat	bouchnout	V	V	NA	NA	I	P	0	0	1	1	b	bo	bou	bouc	bouch	boucha	b	bo	bou	bouc	bouch	bouchn	ouchat	uchat	chat	hat	at	t	chnout	hnout	nout	out	ut	t	ASPECT
bouda	boudka	N	N	F	F	NA	NA	0	0	1	1	b	bo	bou	boud	bouda	NA	b	bo	bou	boud	boudk	boudka	NA	bouda	ouda	uda	da	a	boudka	oudka	udka	dka	ka	a	DIMINUTIVE
bouda	budka	N	N	F	F	NA	NA	0	0	0	1	b	bo	bou	boud	bouda	NA	b	bu	bud	budk	budka	NA	NA	bouda	ouda	uda	da	a	NA	budka	udka	dka	ka	a	DIMINUTIVE
boudnice	boudničin	N	A	F	NA	NA	NA	0	1	1	0	b	bo	bou	boud	boudn	boudni	b	bo	bou	boud	boudn	boudni	udnice	dnice	nice	ice	ce	e	dničin	ničin	ičin	čin	in	n	POSSESSIVE
Bougainville	Bougainvillův	N	A	N	NA	NA	NA	0	1	1	0	B	Bo	Bou	Boug	Bouga	Bougai	B	Bo	Bou	Boug	Bouga	Bougai	nville	ville	ille	lle	le	e	villův	illův	llův	lův	ův	v	POSSESSIVE
Boulle	Boullův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bou	Boul	Boull	Boulle	B	Bo	Bou	Boul	Boull	Boullů	Boulle	oulle	ulle	lle	le	e	oullův	ullův	llův	lův	ův	v	POSSESSIVE
Boulud	Bouludův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bou	Boul	Boulu	Boulud	B	Bo	Bou	Boul	Boulu	Boulud	Boulud	oulud	ulud	lud	ud	d	uludův	ludův	udův	dův	ův	v	POSSESSIVE
bourat	bourávat	V	V	NA	NA	I	I	0	0	1	1	b	bo	bou	bour	boura	bourat	b	bo	bou	bour	bourá	bouráv	bourat	ourat	urat	rat	at	t	urávat	rávat	ávat	vat	at	t	ITERATIVE
Bourdain	Bourdainův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bou	Bour	Bourd	Bourda	B	Bo	Bou	Bour	Bourd	Bourda	urdain	rdain	dain	ain	in	n	dainův	ainův	inův	nův	ův	v	POSSESSIVE
bouřit	bouřívat	V	V	NA	NA	I	I	0	0	1	1	b	bo	bou	bouř	bouři	bouřit	b	bo	bou	bouř	bouří	bouřív	bouřit	ouřit	uřit	řit	it	t	uřívat	řívat	ívat	vat	at	t	ITERATIVE
bouřlivák	bouřliváček	N	N	M	M	NA	NA	0	0	1	1	b	bo	bou	bouř	bouřl	bouřli	b	bo	bou	bouř	bouřl	bouřli	řlivák	livák	ivák	vák	ák	k	iváček	váček	áček	ček	ek	k	DIMINUTIVE
Bouvard	Bouvardův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bou	Bouv	Bouva	Bouvar	B	Bo	Bou	Bouv	Bouva	Bouvar	ouvard	uvard	vard	ard	rd	d	vardův	ardův	rdův	dův	ův	v	POSSESSIVE
Bouzek	Bouzkův	N	A	M	NA	NA	NA	0	1	1	0	B	Bo	Bou	Bouz	Bouze	Bouzek	B	Bo	Bou	Bouz	Bouzk	Bouzků	Bouzek	ouzek	uzek	zek	ek	k	ouzkův	uzkův	zkův	kův	ův	v	POSSESSIVE
boxovat	boxovávat	V	V	NA	NA	I	I	0	0	1	1	b	bo	box	boxo	boxov	boxova	b	bo	box	boxo	boxov	boxová	oxovat	xovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	ITERATIVE
Božena	Boženka	N	N	F	F	NA	NA	0	0	1	1	B	Bo	Bož	Bože	Božen	Božena	B	Bo	Bož	Bože	Božen	Boženk	Božena	ožena	žena	ena	na	a	oženka	ženka	enka	nka	ka	a	DIMINUTIVE
brácha	bráška	N	N	M	M	NA	NA	0	0	1	1	b	br	brá	brác	brách	brácha	b	br	brá	bráš	brášk	bráška	brácha	rácha	ácha	cha	ha	a	bráška	ráška	áška	ška	ka	a	DIMINUTIVE
brada	bradka	N	N	F	F	NA	NA	0	0	1	1	b	br	bra	brad	brada	NA	b	br	bra	brad	bradk	bradka	NA	brada	rada	ada	da	a	bradka	radka	adka	dka	ka	a	DIMINUTIVE
bradavice	bradavička	N	N	F	F	NA	NA	0	0	1	0	b	br	bra	brad	brada	bradav	b	br	bra	brad	brada	bradav	davice	avice	vice	ice	ce	e	avička	vička	ička	čka	ka	a	DIMINUTIVE
Bradík	Bradíkův	N	A	M	NA	NA	NA	0	1	1	0	B	Br	Bra	Brad	Bradí	Bradík	B	Br	Bra	Brad	Bradí	Bradík	Bradík	radík	adík	dík	ík	k	adíkův	díkův	íkův	kův	ův	v	POSSESSIVE
bradka	bradička	N	N	F	F	NA	NA	0	0	1	1	b	br	bra	brad	bradk	bradka	b	br	bra	brad	bradi	bradič	bradka	radka	adka	dka	ka	a	adička	dička	ička	čka	ka	a	DIMINUTIVE
Bragg	Braggův	N	A	M	NA	NA	NA	0	1	1	0	B	Br	Bra	Brag	Bragg	NA	B	Br	Bra	Brag	Bragg	Braggů	NA	Bragg	ragg	agg	gg	g	raggův	aggův	ggův	gův	ův	v	POSSESSIVE
bramborák	bramboráček	N	N	I	I	NA	NA	0	0	1	1	b	br	bra	bram	bramb	brambo	b	br	bra	bram	bramb	brambo	mborák	borák	orák	rák	ák	k	oráček	ráček	áček	ček	ek	k	DIMINUTIVE
bramborář	bramborářka	N	N	M	F	NA	NA	0	0	1	0	b	br	bra	bram	bramb	brambo	b	br	bra	bram	bramb	brambo	mborář	borář	orář	rář	ář	ř	orářka	rářka	ářka	řka	ka	a	FEMALE
brambor	brambůrek	N	N	F	F	NA	NA	0	0	1	0	b	br	bra	bram	bramb	brambo	b	br	bra	bram	bramb	brambů	rambor	ambor	mbor	bor	or	r	mbůrek	bůrek	ůrek	rek	ek	k	DIMINUTIVE
brána	branka	N	N	F	F	NA	NA	0	0	1	1	b	br	brá	brán	brána	NA	b	br	bra	bran	brank	branka	NA	brána	rána	ána	na	a	branka	ranka	anka	nka	ka	a	DIMINUTIVE
Brančík	Brančíkův	N	A	M	NA	NA	NA	0	1	1	0	B	Br	Bra	Bran	Branč	Brančí	B	Br	Bra	Bran	Branč	Brančí	rančík	ančík	nčík	čík	ík	k	nčíkův	číkův	íkův	kův	ův	v	POSSESSIVE
Branik	Branikův	N	A	M	NA	NA	NA	0	1	1	0	B	Br	Bra	Bran	Brani	Branik	B	Br	Bra	Bran	Brani	Branik	Branik	ranik	anik	nik	ik	k	anikův	nikův	ikův	kův	ův	v	POSSESSIVE
bránit	bránívat	V	V	NA	NA	I	I	0	0	1	1	b	br	brá	brán	bráni	bránit	b	br	brá	brán	brání	bránív	bránit	ránit	ánit	nit	it	t	ánívat	nívat	ívat	vat	at	t	ITERATIVE
branka	brančička	N	N	F	F	NA	NA	0	0	1	1	b	br	bra	bran	brank	branka	b	br	bra	bran	branč	branči	branka	ranka	anka	nka	ka	a	nčička	čička	ička	čka	ka	a	DIMINUTIVE
brankář	brankářka	N	N	M	F	NA	NA	0	0	1	0	b	br	bra	bran	brank	branká	b	br	bra	bran	brank	branká	rankář	ankář	nkář	kář	ář	ř	nkářka	kářka	ářka	řka	ka	a	FEMALE
brašna	brašnička	N	N	F	F	NA	NA	0	0	1	1	b	br	bra	braš	brašn	brašna	b	br	bra	braš	brašn	brašni	brašna	rašna	ašna	šna	na	a	šnička	nička	ička	čka	ka	a	DIMINUTIVE
brašnář	brašnářka	N	N	M	F	NA	NA	0	0	1	0	b	br	bra	braš	brašn	brašná	b	br	bra	braš	brašn	brašná	rašnář	ašnář	šnář	nář	ář	ř	šnářka	nářka	ářka	řka	ka	a	FEMALE
Bratojčev	Bratojčevův	N	A	M	NA	NA	NA	0	1	1	1	B	Br	Bra	Brat	Brato	Bratoj	B	Br	Bra	Brat	Brato	Bratoj	tojčev	ojčev	jčev	čev	ev	v	jčevův	čevův	evův	vův	ův	v	POSSESSIVE
bratranec	bratránek	N	N	M	M	NA	NA	0	0	1	0	b	br	bra	brat	bratr	bratra	b	br	bra	brat	bratr	bratrá	tranec	ranec	anec	nec	ec	c	tránek	ránek	ánek	nek	ek	k	DIMINUTIVE
bratránek	bratráneček	N	N	M	M	NA	NA	0	0	1	1	b	br	bra	brat	bratr	bratrá	b	br	bra	brat	bratr	bratrá	tránek	ránek	ánek	nek	ek	k	áneček	neček	eček	ček	ek	k	DIMINUTIVE
bratřit	bratřívat	V	V	NA	NA	I	I	0	0	1	1	b	br	bra	brat	bratř	bratři	b	br	bra	brat	bratř	bratří	ratřit	atřit	třit	řit	it	t	třívat	řívat	ívat	vat	at	t	ITERATIVE
bratr	bratřík	N	N	M	M	NA	NA	0	0	1	0	b	br	bra	brat	bratr	NA	b	br	bra	brat	bratř	bratří	NA	bratr	ratr	atr	tr	r	ratřík	atřík	třík	řík	ík	k	DIMINUTIVE
brát	brávat	V	V	NA	NA	I	I	0	0	1	1	b	br	brá	brát	NA	NA	b	br	brá	bráv	bráva	brávat	NA	NA	brát	rát	át	t	brávat	rávat	ávat	vat	at	t	ITERATIVE
brauna	braunin	N	A	M	NA	NA	NA	0	1	1	0	b	br	bra	brau	braun	brauna	b	br	bra	brau	braun	brauni	brauna	rauna	auna	una	na	a	raunin	aunin	unin	nin	in	n	POSSESSIVE
Braunschläger	Braunschlägrův	N	A	M	NA	NA	NA	0	1	1	0	B	Br	Bra	Brau	Braun	Brauns	B	Br	Bra	Brau	Braun	Brauns	hläger	läger	äger	ger	er	r	lägrův	ägrův	grův	rův	ův	v	POSSESSIVE
brázda	brázdička	N	N	F	F	NA	NA	0	0	1	1	b	br	brá	bráz	brázd	brázda	b	br	brá	bráz	brázd	brázdi	brázda	rázda	ázda	zda	da	a	zdička	dička	ička	čka	ka	a	DIMINUTIVE
brázdit	brázdívat	V	V	NA	NA	I	I	0	0	1	1	b	br	brá	bráz	brázd	brázdi	b	br	brá	bráz	brázd	brázdí	rázdit	ázdit	zdit	dit	it	t	zdívat	dívat	ívat	vat	at	t	ITERATIVE
Brazilec	Brazilka	N	N	M	F	NA	NA	0	0	1	0	B	Br	Bra	Braz	Brazi	Brazil	B	Br	Bra	Braz	Brazi	Brazil	azilec	zilec	ilec	lec	ec	c	azilka	zilka	ilka	lka	ka	a	FEMALE
Brazilka	Brazilčin	N	A	F	NA	NA	NA	0	1	1	0	B	Br	Bra	Braz	Brazi	Brazil	B	Br	Bra	Braz	Brazi	Brazil	azilka	zilka	ilka	lka	ka	a	zilčin	ilčin	lčin	čin	in	n	POSSESSIVE
brblat	brblávat	V	V	NA	NA	I	I	0	0	1	1	b	br	brb	brbl	brbla	brblat	b	br	brb	brbl	brblá	brbláv	brblat	rblat	blat	lat	at	t	blávat	lávat	ávat	vat	at	t	ITERATIVE
brdo	brdečko	N	N	N	N	NA	NA	0	0	1	1	b	br	brd	brdo	NA	NA	b	br	brd	brde	brdeč	brdečk	NA	NA	brdo	rdo	do	o	rdečko	dečko	ečko	čko	ko	o	DIMINUTIVE
brebentit	brebentívat	V	V	NA	NA	I	I	0	0	1	1	b	br	bre	breb	brebe	breben	b	br	bre	breb	brebe	breben	bentit	entit	ntit	tit	it	t	ntívat	tívat	ívat	vat	at	t	ITERATIVE
brebtat	brebtávat	V	V	NA	NA	I	I	0	0	1	1	b	br	bre	breb	brebt	brebta	b	br	bre	breb	brebt	brebtá	rebtat	ebtat	btat	tat	at	t	btávat	távat	ávat	vat	at	t	ITERATIVE
brebtat	brebtnout	V	V	NA	NA	I	P	0	0	1	1	b	br	bre	breb	brebt	brebta	b	br	bre	breb	brebt	brebtn	rebtat	ebtat	btat	tat	at	t	btnout	tnout	nout	out	ut	t	ASPECT
brečet	brečívat	V	V	NA	NA	I	I	0	0	1	1	b	br	bre	breč	breče	brečet	b	br	bre	breč	brečí	brečív	brečet	rečet	ečet	čet	et	t	ečívat	čívat	ívat	vat	at	t	ITERATIVE
brejlit	brejlívat	V	V	NA	NA	I	I	0	0	1	1	b	br	bre	brej	brejl	brejli	b	br	bre	brej	brejl	brejlí	rejlit	ejlit	jlit	lit	it	t	jlívat	lívat	ívat	vat	at	t	ITERATIVE
Brell	Brellův	N	A	M	NA	NA	NA	0	1	1	0	B	Br	Bre	Brel	Brell	NA	B	Br	Bre	Brel	Brell	Brellů	NA	Brell	rell	ell	ll	l	rellův	ellův	llův	lův	ův	v	POSSESSIVE
breptat	breptávat	V	V	NA	NA	I	I	0	0	1	1	b	br	bre	brep	brept	brepta	b	br	bre	brep	brept	breptá	reptat	eptat	ptat	tat	at	t	ptávat	távat	ávat	vat	at	t	ITERATIVE
březina	březinka	N	N	F	F	NA	NA	0	0	1	1	b	bř	bře	břez	březi	březin	b	bř	bře	břez	březi	březin	řezina	ezina	zina	ina	na	a	ezinka	zinka	inka	nka	ka	a	DIMINUTIVE
Brezina	Brezinův	N	A	M	NA	NA	NA	0	1	1	0	B	Br	Bre	Brez	Brezi	Brezin	B	Br	Bre	Brez	Brezi	Brezin	rezina	ezina	zina	ina	na	a	ezinův	zinův	inův	nův	ův	v	POSSESSIVE
březňák	březňáček	N	N	M	M	NA	NA	0	0	1	1	b	bř	bře	břez	březň	březňá	b	bř	bře	břez	březň	březňá	řezňák	ezňák	zňák	ňák	ák	k	zňáček	ňáček	áček	ček	ek	k	DIMINUTIVE
Brianna	Briannin	N	A	F	NA	NA	NA	0	1	1	0	B	Br	Bri	Bria	Brian	Briann	B	Br	Bri	Bria	Brian	Briann	rianna	ianna	anna	nna	na	a	iannin	annin	nnin	nin	in	n	POSSESSIVE
břicháč	břicháček	N	N	M	M	NA	NA	0	0	1	0	b	bř	bři	břic	břich	břichá	b	bř	bři	břic	břich	břichá	řicháč	icháč	cháč	háč	áč	č	cháček	háček	áček	ček	ek	k	DIMINUTIVE
břicho	bříško	N	N	N	N	NA	NA	0	0	1	1	b	bř	bři	břic	břich	břicho	b	bř	bří	bříš	bříšk	bříško	břicho	řicho	icho	cho	ho	o	bříško	říško	íško	ško	ko	o	DIMINUTIVE
brigita	brigitin	N	A	F	NA	NA	NA	0	1	1	0	b	br	bri	brig	brigi	brigit	b	br	bri	brig	brigi	brigit	rigita	igita	gita	ita	ta	a	igitin	gitin	itin	tin	in	n	POSSESSIVE
briketa	briketka	N	N	F	F	NA	NA	0	0	1	1	b	br	bri	brik	brike	briket	b	br	bri	brik	brike	briket	riketa	iketa	keta	eta	ta	a	iketka	ketka	etka	tka	ka	a	DIMINUTIVE
briliant	briliantek	N	N	I	I	NA	NA	0	0	1	0	b	br	bri	bril	brili	brilia	b	br	bri	bril	brili	brilia	iliant	liant	iant	ant	nt	t	iantek	antek	ntek	tek	ek	k	DIMINUTIVE
břinkat	břinkávat	V	V	NA	NA	I	I	0	0	1	1	b	bř	bři	břin	břink	břinka	b	bř	bři	břin	břink	břinká	řinkat	inkat	nkat	kat	at	t	nkávat	kávat	ávat	vat	at	t	ITERATIVE
břinkat	břinknout	V	V	NA	NA	I	P	0	0	1	1	b	bř	bři	břin	břink	břinka	b	bř	bři	břin	břink	břinkn	řinkat	inkat	nkat	kat	at	t	nknout	knout	nout	out	ut	t	ASPECT
břitva	břitvička	N	N	F	F	NA	NA	0	0	1	1	b	bř	bři	břit	břitv	břitva	b	bř	bři	břit	břitv	břitvi	břitva	řitva	itva	tva	va	a	tvička	vička	ička	čka	ka	a	DIMINUTIVE
brkat	brkávat	V	V	NA	NA	I	I	0	0	1	1	b	br	brk	brka	brkat	NA	b	br	brk	brká	brkáv	brkáva	NA	brkat	rkat	kat	at	t	rkávat	kávat	ávat	vat	at	t	ITERATIVE
brkat	brknout	V	V	NA	NA	I	P	0	0	1	1	b	br	brk	brka	brkat	NA	b	br	brk	brkn	brkno	brknou	NA	brkat	rkat	kat	at	t	rknout	knout	nout	out	ut	t	ASPECT
brko	brčko	N	N	N	N	NA	NA	0	0	1	1	b	br	brk	brko	NA	NA	b	br	brč	brčk	brčko	NA	NA	NA	brko	rko	ko	o	NA	brčko	rčko	čko	ko	o	DIMINUTIVE
Brňačka	Brňaččin	N	A	F	NA	NA	NA	0	1	1	0	B	Br	Brň	Brňa	Brňač	Brňačk	B	Br	Brň	Brňa	Brňač	Brňačč	rňačka	ňačka	ačka	čka	ka	a	ňaččin	aččin	ččin	čin	in	n	POSSESSIVE
Brňák	Brňačka	N	N	M	F	NA	NA	0	0	1	0	B	Br	Brň	Brňá	Brňák	NA	B	Br	Brň	Brňa	Brňač	Brňačk	NA	Brňák	rňák	ňák	ák	k	rňačka	ňačka	ačka	čka	ka	a	FEMALE
