státi(se)	stá-ti-(se)
vystřídali	vy-stříd-a-l-i
vydali	vy-d-a-l-i
pomáhali	po-máh-a-l-i
nechali	nech-a-l-i
začichali	za-čich-a-l-i
poslouchali	po-slouch-a-l-i
nadýchali	na-dých-a-l-i
nedýchali	ne-dých-a-l-i
vyslýchali	vy-slých-a-l-i
běhali	běh-a-l-i
naléhali	na-léh-a-l-i
uléhali	u-léh-a-l-i
neroztrhali	ne-roz-trh-a-l-i
přijali	při-j-a-l-i
zaujali	za-u-j-a-l-i
naskákali	na-skák-a-l-i
čekali	ček-a-l-i
říkali	řík-a-l-i
dostrkali	do-strk-a-l-i
odpískali	od-písk-a-l-i
získali	získ-a-l-i
potkali	po-tk-a-l-i
odkoukali	od-kouk-a-l-i
dělali	děl-a-l-i
udělali	u-děl-a-l-i
neudělali	ne-u-děl-a-l-i
posílali	po-síl-a-l-i
volali	vol-a-l-i
zavolali	za-vol-a-l-i
nezavolali	ne-za-vol-a-l-i
zvolali	z-vol-a-l-i
poslali	po-sl-a-l-i
malí	mal-í
přijímali	při-jím-a-l-i
zasmáli	za-smá-l-i
jednali	jedn-a-l-i
sjednali	s-jedn-a-l-i
hnali	hn-a-l-i
rozepínali	roze-pín-a-l-i
dokonalí	do-kon-a-l-í
znali	zn-a-l-i
uznali	u-zn-a-l-i
pálí	pál-í
tápali	táp-a-l-i
neklepali	ne-klep-a-l-i
spali	sp-a-l-i
vysypali	vy-syp-a-l-i
nestarali	ne-star-a-l-i
prošťárali	pro-šťár-a-l-i
sebrali	se-br-a-l-i
obrali	o-br-a-l-i
hráli	hrá-l-i
prohráli	pro-hrá-l-i
vyhráli	vy-hr-á-l-i
pobírali	po-bír-a-l-i
zavírali	za-vír-a-l-i
králi	král-i
blahopřáli	blah-o-př-á-l-i
popřáli	po-přá-l-i
psali	ps-a-l-i
napsali	na-ps-a-l-i
zapsali	za-ps-a-l-i
podepsali	pode-ps-a-l-i
počítali	po-čít-a-l-i
přivítali	při-vít-a-l-i
drkotali	drk-ot-a-l-i
ptali	pt-a-l-i
zeptali	ze-pt-a-l-i
stali	sta-l-i
stáli	stá-l-i
nepřestali	ne-pře-sta-l-i
dostali	do-sta-l-i
nedostali	ne-do-sta-l-i
zůstali	z-ů-sta-l-i
vstali	v-sta-l-i
kutálí	kutál-í
pochytali	po-chyt-a-l-i
válí	vál-í
dávali	d-á-v-a-l-i
oddávali	od-d-á-v-a-l-i
nedávali	ne-d-á-v-a-l-i
prodávali	pro-d-á-v-a-l-i
očekávali	o-ček-á-v-a-l-i
vykonávali	vy-kon-á-v-a-l-i
dívali	dív-a-l-i
podívali	po-dív-a-l-i
mívali	m-í-v-a-l-i
potřebovali	po-třeb-ova-l-i
slibovali	s-lib-ova-l-i
pohybovali	po-hyb-ova-l-i
pracovali	prac-ova-l-i
neodpracovali	ne-od-prac-ova-l-i
dosvědčovali	do-s-věd-č-ova-l-i
bičovali	bič-ova-l-i
vylučovali	vy-luč-ova-l-i
chovali	chov-a-l-i
schovali	s-chov-a-l-i
stěhovali	stěh-ova-l-i
poděkovali	po-děk-ova-l-i
identifikovali	identi-fik-ova-l-i
vykřikovali	vy-křik-ova-l-i
milovali	mil-ova-l-i
reformovali	re-form-ova-l-i
informovali	in-form-ova-l-i
zdaňovali	z-daň-ova-l-i
uskutečňovali	u-skuteč-ň-ova-l-i
jmenovali	jmen-ova-l-i
tipovali	tip-ova-l-i
čarovali	čar-ova-l-i
podepisovali	pode-pis-ova-l-i
zjednodušovali	z-jedn-o-duš-ova-l-i
zvyšovali	z-vyš-ova-l-i
upamatovali	u-pamat-ova-l-i
obletovali	ob-let-ova-l-i
litovali	lit-ova-l-i
slitovali	s-lit-ova-l-i
rekonstruovali	re-kon-stru-ova-l-i
připravovali	při-prav-ova-l-i
dokazovali	do-kaz-ova-l-i
ukazovali	u-kaz-ova-l-i
zasazovali	za-saz-ova-l-i
signalizovali	signal-iz-ova-l-i
zřizovali	z-řiz-ova-l-i
štvali	štv-a-l-i
pozvali	po-zv-a-l-i
dokázali	do-káz-a-l-i
prokázali	pro-káz-a-l-i
ukázali	u-káz-a-l-i
zavázali	za-váz-a-l-i
svázali	s-váz-a-l-i
řezali	řez-a-l-i
vzali	vz-a-l-i
převzali	pře-vz-a-l-i
bibli	bibl-i
plácli	plác-l-i
kyčli	kyčl-i
kladli	klad-l-i
propadli	pro-pad-l-i
ukradli	u-krad-l-i
jedli	jed-l-i
dojedli	do-jed-l-i
snědli	s-něd-l-i
nasedli	na-sed-l-i
zasedli	za-sed-l-i
vedli	ved-l-i
odvedli	od-ved-l-i
přivedli	při-ved-l-i
dovedli	do-ved-l-i
uvedli	u-ved-l-i
zvedli	z-ved-l-i
nabídli	na-bíd-l-i
fidli	fidl-i
sídlí	sídl-í
dohodli	do-hod-l-i
nepohodlí	ne-po-hod-l-í
shodli	s-hod-l-i
rozhodli	roz-hod-l-i
bydlí	bydl-í
obydli	o-bydl-i
tydlimydli	tydli-mydli
vyráběli	vy-ráb-ě-l-i
celí	cel-í
vraceli	vrac-e-l-i
oceli	ocel-i
klečeli	kleč-e-l-i
brečeli	breč-e-l-i
křičeli	křič-e-l-i
mlčeli	mlč-e-l-i
bručeli	bruč-e-l-i
zabručeli	za-bruč-e-l-i
dělí	děl-í
hleděli	hled-ě-l-i
neděli	ne-děl-i
šestinedělí	šest-i-ne-děl-í
seděli	sed-ě-li
neseděli	ne-sed-ě-l-i
vyseděli	vy-sed-ě-l-i
věděli	v-ěd-ě-l-i
dověděli	do-věd-ě-l-i
odpověděli	od-po-věd-ě-l-i
dozvěděli	do-z-věd-ě-l-i
viděli	vid-ě-l-i
záviděli	zá-vid-ě-l-i
neviděli	ne-vid-ě-l-i
uviděli	u-vid-ě-l-i
andělí	anděl-í
pondělí	po-n-děl-í
podělí	po-děl-í
vyvrheli	vy-vrh-el-i
jeli	je-l-i
odjeli	od-je-l-i
přijeli	při-je-l-i
dojeli	do-je-l-i
sjeli	s-je-l-i
ujeli	u-je-l-i
vyjeli	vy-je-l-i
mysleli	mysl-e-l-i
nemysleli	ne-mysl-e-l-i
přemýšleli	pře-mýšl-e-l-i
měli	mě-l-i
neměli	ne-m-ě-l-i
jmelí	jmel-í
neuměli	ne-um-ě-l-i
uháněli	u-hán-ě-l-i
čepeli	čepel-i
utvářeli	u-tvář-e-l-i
zemřeli	ze-mř-e-l-i
nezahořeli	ne-za-hoř-e-l-i
přeli	př-e-l-i
rozprostřeli	roz-pro-stř-e-l-i
zavřeli	za-vř-e-l-i
nezavřeli	ne-za-vř-e-l-i
uzavřeli	u-za-vř-e-l-i
sevřeli	se-vř-e-l-i
otevřeli	ote-vř-e-l-i
pozřeli	po-zř-e-l-i
veselí	veselí
museli	mus-e-l-i
zasršeli	za-srš-e-l-i
slyšeli	slyš-e-l-i
podnikateli	pod-nik-a-tel-i
dodavateli	do-d-a-v-a-tel-i
subdodavateli	sub-do-d-a-v-a-tel-i
cestovateli	cest-ova-tel-i
letěli	let-ě-l-i
vzletěli	vz-let-ě-l-i
chtěli	cht-ě-l-i
nechtěli	ne-cht-ě-l-i
spotřebiteli	s-po-třeb-i-tel-i
řediteli	řed-i-tel-i
majiteli	m-aj-i-tel-i
spolumajiteli	spol-u-m-aj-i-tel-i
činiteli	čin-i-tel-i
věřiteli	věř-i-tel-i
stvořiteli	s-tvoř-i-tel-i
příteli	pří-tel-i
představiteli	před-stav-i-tel-i
ochraptělí	o-chrapt-ě-l-í
vrtěli	vrt-ě-l-i
posteli	po-stel-i
připouštěli	při-poušt-ě-l-i
propouštěli	pro-poušt-ě-l-i
vyprávěli	vy-práv-ě-l-i
stavěli	stav-ě-l-i
ševelí	ševel-í
hladověli	hlad-ov-ě-l-i
nehladověli	ne-hlad-ov-ě-l-i
zelí	zel-í
scházeli	s-cház-e-l-i
vycházeli	vy-cház-e-l-i
biozelí	bio-zel-í
nevyráželi	ne-vy-ráž-e-l-i
běželi	běž-e-l-i
drželi	drž-e-l-i
vydrželi	vy-drž-e-l-i
dosáhli	do-sáh-l-i
oddechli	od-dech-l-i
zaslechli	za-slech-l-i
doslechli	do-slech-l-i
sčuchli	s-čuch-l-i
seběhli	se-běh-l-i
přiběhli	při-běh-l-i
oběhli	o-běh-l-i
vběhli	v-běh-l-i
rozběhli	roz-běh-l-i
nalehli	na-leh-l-i
ulehli	u-leh-l-i
mohli	moh-l-i
nemohli	ne-moh-l-i
pomohli	po-moh-l-i
vrhli	vrh-l-i
uhlí	uhl-í
medaili	medail-i
bílí	bíl-í
připozabili	při-po-za-bi-l-i
obilí	obil-í
červenobílí	červen-o-bíl-í
způsobili	z-pů-sob-i-l-i
zasnoubili	za-snoub-i-l-i
zbili	z-bi-l-i
cíli	cíl-i
čili	či-li
označili	o-znač-i-l-i
vypáčili	vy-páč-i-l-i
obklíčili	ob-klíč-i-l-i
ukončili	u-konč-i-l-i
skočili	skoč-i-l-i
vskočili	v-skoč-i-l-i
pokročili	po-kroč-i-l-i
pokročilí	po-kroč-i-l-í
točili	toč-i-l-i
krčili	krč-i-l-i
pokrčili	po-krč-i-l-i
strčili	strč-i-l-i
naučili	na-uč-i-l-i
nenaučili	ne-na-uč-i-l-i
doporučili	do-po-ruč-i-l-i
chladili	chlad-i-l-i
radili	rad-i-l-i
vyzradili	vy-z-rad-i-l-i
posadili	po-sad-i-l-i
vsadili	v-sad-i-l-i
nařídili	na-říd-i-l-i
rejdili	rejd-i-l-i
hodili	hod-i-l-i
chodili	chod-i-l-i
podílí	po-díl-í
spolupodílí	spolu-po-díl-í
narodili	na-rod-i-l-i
přivodili	při-vod-i-l-i
potvrdili	po-tvrd-i-l-i
probudili	pro-bud-i-l-i
vzbudili	vz-bud-i-l-i
odsoudili	od-soud-i-l-i
křivdili	křiv-d-i-l-i
vraždili	vražd-i-l-i
zahájili	za-háj-i-l-i
uspokojili	u-s-po-koj-i-l-i
spojili	s-poj-i-l-i
přibalili	při-bal-i-l-i
nalili	na-li-l-i
modlili	modl-i-l-i
sdělili	s-děl-i-l-i
zastřelili	za-střel-i-l-i
zzzastřelili	zzzastřel-i-l-i
odstřelili	od-střel-i-l-i
zaškolili	za-škol-i-l-i
povolili	po-vol-i-l-i
nemyslili	ne-mysl-i-l-i
domyslili	do-mysl-i-l-i
míli	míl-i
milí	mil-í
uvědomili	u-věd-om-i-l-i
odstranili	od-stran-i-l-i
zmocnili	z-moc-n-i-l-i
uklidnili	u-klid-n-i-l-i
cenili	cen-i-l-i
změnili	z-měn-i-l-i
pozměnili	po-z-měn-i-l-i
učinili	u-čin-i-l-i
zmínili	z-mín-i-l-i
zveřejnili	z-veřej-n-i-l-i
splnili	s-pln-i-l-i
honili	hon-i-l-i
upozornili	u-po-zor-n-i-l-i
snili	sn-i-l-i
vyjasnili	vy-jas-n-i-l-i
uplatnili	u-plat-n-i-l-i
účastnili	ú-čast-n-i-l-i
žíznili	žízn-i-l-i
pílí	píl-í
zalepili	za-lep-i-l-i
opilí	o-pi-l-í
pochopili	po-chop-i-l-i
koupili	koup-i-l-i
nastoupili	na-stoup-i-l-i
vypili	vy-pi-l-i
vyjádřili	vy-jádř-i-l-i
čeřili	čeř-i-l-i
věřili	věř-i-l-i
nevěřili	ne-věř-i-l-i
ověřili	o-věř-i-l-i
hovořili	hovoř-i-l-i
stvořili	s-tvoř-i-l-i
vytvořili	vy-tvoř-i-l-i
patřili	patř-i-l-i
ušetřili	u-šetř-i-l-i
střílí	stříl-í
vykouřili	vy-kouř-i-l-i
nehlásili	ne-hlás-i-l-i
prohlásili	pro-hlás-i-l-i
souhlasili	sou-hlas-i-l-i
násilí	ná-sil-í
pověsili	po-věs-i-l-i
úsilí	ú-sil-í
pokusili	po-kus-i-l-i
šílí	šíl-í
těšili	těš-i-l-i
utěšili	u-těš-i-l-i
košili	košil-i
zlepšili	z-lep-š-i-l-i
nerušili	ne-ruš-i-l-i
rozrušili	roz-ruš-i-l-i
zvýšili	z-výš-i-l-i
namlátili	na-mlát-i-l-i
zaplatili	za-plat-i-l-i
obrátili	ob-rát-i-l-i
ztratili	z-trat-i-l-i
vrátili	vrát-i-l-i
zapečetili	za-pečet-i-l-i
nepocítili	ne-po-cít-i-l-i
rozsvítili	roz-svít-i-l-i
sjednotili	s-jedn-ot-i-l-i
zjistili	z-jist-i-l-i
pustili	pust-i-l-i
dopustili	do-pust-i-l-i
chytili	chyt-i-l-i
zachytili	za-chyt-i-l-i
zbavili	z-bav-i-l-i
připravili	při-prav-i-l-i
upravili	u-prav-i-l-i
vpravili	v-prav-i-l-i
vypravili	vy-prav-i-l-i
nastavili	na-stav-i-l-i
dostavili	do-stav-i-l-i
postavili	po-stav-i-l-i
vystavili	vy-stav-i-l-i
objevili	ob-jev-i-l-i
chvíli	chvíl-i
chvílí	chvíl-í
divili	div-i-l-i
živili	ži-v-i-l-i
kvílí	kvíl-í
stanovili	stanov-i-l-i
barvili	barv-i-l-i
mluvili	mluv-i-l-i
domluvili	do-mluv-i-l-i
smluvili	s-mluv-i-l-i
porazili	po-raz-i-l-i
vyrazili	vy-raz-i-l-i
žili	ži-l-i
snažili	snaž-i-l-i
nevážili	ne-váž-i-l-i
zažili	za-ži-l-i
přiblížili	při-blíž-i-l-i
dožili	do-ži-l-i
vynaložili	vy-na-lož-i-l-i
založili	za-lož-i-l-i
položili	po-lož-i-l-i
složili	s-lož-i-l-i
uložili	u-lož-i-l-i
sdružili	s-druž-i-l-i
medajli	medajl-i
lekli	lek-l-i
oblékli	ob-lék-l-i
řekli	řek-l-i
neřekli	ne-řek-l-i
rozutekli	roz-u-tek-l-i
vyřkikli	vy-řkik-l-i
vykřikli	vy-křik-l-i
zamkli	za-mk-l-i
mrkli	mrk-l-i
odpráskli	od-prásk-l-i
leskli	lesk-l-i
zatkli	za-tk-l-i
koukli	kouk-l-i
zvykli	z-vyk-l-i
zvyklí	z-vyk-l-í
zanelli	zanelli
chilli	chilli
munzemli	munzeml-i
žemli	žeml-i
nevšimli	ne-všim-l-i
povšimli	po-všim-l-i
bolí	bol-í
neboli	nebo-li
nebolí	ne-bol-í
údolí	ú-dol-í
holí	hol-í
jakákoli	jak-á-koli
ačkoli	ač-koli
kdekoli	kde-koli
nikoli	ni-koli
jakkoli	jak-koli
čemkoli	č-em-koli
okolí	o-kol-í
makrookolí	makro-o-kol-í
kdykoli	kdy-koli
cherimoli	cherimoli
drmolí	drmol-í
poli	pol-i
metropoli	metro-pol-i
roli	rol-i
rolí	rol-í
dvojroli	dv-oj-rol-i
pistoli	pistol-i
pistolí	pistol-í
volí	vol-í
dovolí	do-vol-í
nepovolí	ne-po-vol-í
čapli	čap-l-i
kapli	kapl-i
orlí	orl-í
nevrlí	ne-vr-l-í
třásli	třás-l-i
potřásli	po-třás-l-i
nestřásli	ne-s-třás-l-i
odnesli	od-nes-l-i
přinesli	při-nes-l-i
donesli	do-nes-l-i
kreslí	kresl-í
závislí	zá-vis-l-í
oslí	osl-í
mysli	mysl-i
myslí	mysl-í
šli	š-l-i
mašlí	mašl-í
našli	na-š-l-i
nenašli	ne-na-š-l-i
vynašli	vy-naš-l-i
obešli	obe-š-l-i
neodešli	ne-ode-š-l-i
sešli	se-š-l-i
přišli	při-š-l-i
nepřišli	ne-při-š-l-i
zamýšlí	za-mýšl-í
přemýšlí	pře-mýšl-í
nepřemýšlí	ne-pře-mýšl-í
ulétli	u-lét-l-i
procitli	pro-cit-l-i
rozlítli	roz-lít-l-i
odmítli	od-mít-l-i
pentli	pentl-i
pentlí	pentl-í
jestli	jest-li
chytli	chyt-l-i
nechytli	ne-chyt-l-i
pytli	pytl-i
inkunábulí	in-kunábul-í
tabuli	tabul-i
tabulí	tabul-í
kulí	kul-í
čikulí	čikulí
neřkuli	ne-řk-u-li
pluli	plu-l-i
dopluli	do-plu-l-i
formulí	form-ul-í
vyhnuli	vy-h-nu-l-i
vyvinuli	vy-vi-nu-l-i
hrnuli	hr-nu-l-i
nahrnuli	na-hr-nu-l-i
shrnuli	s-hr-nu-l-i
polokouli	polo-koul-i
půli	půl-i
vůli	vůl-i
vůlí	vůl-í
kvůli	kvůli
libovůli	lib-o-vůl-i
blahovůli	blah-o-vůl-i
zlovůlí	zl-o-vůl-í
mávli	máv-l-i
šavlí	šavl-í
byli	by-l-i
nebyli	ne-by-l-i
přibyli	při-by-l-i
dobyli	do-by-l-i
zbyli	z-by-l-i
mýlí	mýl-í
kryli	kry-l-i
vyli	vy-l-i
zlí	zl-í
nemazlí	ne-maz-l-í
nalezli	na-lez-l-i
vezli	vez-l-i
odvezli	od-vez-l-i
promrzli	pro-mrz-l-i
nežli	než-li
mi	m-i
potřebami	po-třeb-ami
volbami	vol-b-ami
osobami	osob-ami
službami	služ-b-ami
tužbami	tuž-b-ami
adami	adami
zásadami	zá-sad-ami
vědami	věd-ami
sekundami	sekund-ami
metodami	metod-ami
pravdami	prav-d-ami
hvězdami	hvězd-ami
snahami	snah-ami
přísahami	pří-sah-ami
poruchami	po-ruch-ami
ostruhami	ostruh-ami
miami	miami
sedačkami	sed-a-čk-ami
paničkami	pan-ič-k-ami
cestičkami	cest-ičk-ami
svíčkami	svíč-k-ami
prohlídkami	pro-hlíd-k-ami
technikami	techn-ik-ami
spojkami	s-poj-k-ami
bankami	bank-ami
duběnkami	dub-ěn-k-ami
zarděnkami	za-rd-ě-n-k-ami
myšlenkami	myšl-e-n-k-ami
hodinkami	hodin-k-ami
podmínkami	pod-mín-k-ami
nálepkami	ná-lep-k-ami
otýpkami	o-týp-k-ami
puškami	puš-k-ami
jatkami	jatk-ami
výčitkami	vý-čit-k-ami
parukami	paruk-ami
křivkami	křiv-k-ami
ukázkami	u-káz-k-ami
otázkami	o-táz-k-ami
schůzkami	s-chůz-k-ami
předložkami	před-lož-k-ami
silami	sil-ami
mami	mam-i
firmami	firm-ami
námi	n-ámi
stranami	stran-ami
vranami	vran-ami
tečnami	teč-n-ami
cenami	cen-ami
změnami	z-měn-ami
veličinami	vel-ič-in-ami
příčinami	pří-čin-ami
skupinami	s-kup-in-ami
pěšinami	pěš-in-ami
potravinami	po-trav-in-ami
lucernami	lucer-n-ami
korunami	korun-ami
seznámí	se-znám-í
oznámí	o-znám-í
věrami	věr-ami
horami	hor-ami
mikrosporami	mikro-spor-ami
sami	sam-i
finesami	fines-ami
pusami	pus-ami
raketami	raket-ami
plachtami	placht-ami
aktivitami	akt-iv-it-ami
sektami	sekt-ami
hodnotami	hod-n-ot-ami
cestami	cest-ami
minutami	minut-ami
vámi	v-ámi
obavami	o-ba-v-ami
soustavami	sou-stav-ami
kopřivami	kopřiv-ami
alternativami	alter-n-at-iv-ami
protivami	protiv-ami
barvami	barv-ami
svámí	svám-í
slzami	slz-ami
věcmi	věc-mi
sedmi	sedm-i
lidmi	lid-mi
operacemi	oper-ac-emi
hranicemi	hran-ic-emi
loděnicemi	lod-ěn-ic-emi
štěpnicemi	štěp-n-ic-emi
směrnicemi	s-měr-n-ic-emi
jitrnicemi	jitr-nic-emi
injekcemi	in-jek-c-emi
sankcemi	sankc-emi
protisankcemi	proti-sankc-emi
funkcemi	funkc-emi
rekonstrukcemi	re-kon-strukc-emi
subvencemi	sub-venc-emi
nemocemi	ne-moc-emi
koncepcemi	kon-cep-c-emi
loděmi	lod-ěmi
studiemi	stud-i-emi
kaméliemi	kamél-i-emi
rafineriemi	rafin-eri-emi
kategoriemi	kategor-i-emi
nadějemi	na-děj-emi
chvílemi	chvíl-emi
brýlemi	brýl-emi
zeměmi	zem-ěmi
snídaněmi	s-níd-a-n-ěmi
zbraněmi	z-bran-ěmi
jedněmi	jedn-ěmi
třemi	tř-emi
profesemi	pro-fes-emi
všemi	vš-emi
těmi	t-ěmi
pouštěmi	poušt-ěmi
kovohutěmi	kov-o-hut-ěmi
zemi	zem-i
zemí	zem-í
zázemí	zá-zem-í
přízemí	pří-zem-í
vnitrozemí	v-nitr-o-zem-í
území	ú-zem-í
obtížemi	ob-tíž-emi
potížemi	po-tíž-emi
kůžemi	kůž-emi
sdělovacími	s-děl-ova-c-ími
souvisejícími	sou-vis-ej-íc-ími
zakazujícími	za-kaz-uj-íc-ími
šicími	ši-c-ími
jimi	j-imi
jejími	jej-ími
nimi	n-imi
jednáními	jedn-á-n-ími
přáními	přá-n-ími
hudebními	hud-eb-n-ími
obecními	obec-n-ími
relaxačními	relax-ač-n-ími
zahraničními	za-hran-ič-n-ími
investičními	in-vest-ič-n-ími
korespondenčními	ko-re-spond-enč-n-ími
základními	zá-klad-n-ími
západními	zá-pad-n-ími
posledními	po-sled-n-ími
obchodními	ob-chod-n-ími
opatřeními	o-patř-en-ími
ustanoveními	u-stanov-en-ími
tvrzeními	tvrz-en-ími
neformálními	ne-form-ál-n-ími
banálními	banál-n-ími
generálními	generál-n-ími
intelektuálními	intelekt-uál-n-ími
mimoškolními	mimo-škol-n-ími
mimovolními	mimo-vol-n-ími
prozatímními	pro-za-t-ím-n-ími
poloautonomními	polo-auto-nom-n-ími
několikadenními	ně-kolik-a-den-n-ími
vícedenními	více-den-n-ími
lesními	les-n-ími
ostatními	o-sta-t-n-ími
účetními	ú-čet-n-ími
kapacitními	kapacit-n-ími
abstraktními	abs-trakt-n-ími
několikaprocentními	ně-kolik-a-pro-cent-n-ími
zdravotními	zdrav-ot-n-ími
životními	ži-v-ot-n-ími
hlavními	hlav-n-ími
mravními	mrav-n-ími
negativními	negat-iv-n-ími
vegetativními	veget-at-iv-n-ími
preventivními	pre-vent-iv-n-ími
prvními	prv-n-ími
provozními	pro-voz-n-ími
peněžními	peněž-n-ími
husími	hus-ími
našimi	naš-imi
vašimi	vaš-imi
jistějšími	jist-ějš-ími
dalšími	dal-š-ími
nejmenšími	nej-men-š-ími
vyššími	vyš-š-ími
nejkratšími	nej-krat-š-ími
většími	vět-š-ími
největšími	nej-vět-š-ími
mamutími	mamut-ími
rukojmí	ruk-o-jm-í
velmi	velmi
převelmi	pře-vel-mi
vědomí	věd-om-í
podvědomí	pod-věd-om-í
sebevědomí	seb-e-věd-om-í
povědomí	po-věd-om-í
svědomí	s-věd-om-í
uvědomí	u-věd-om-í
chromí	chrom-í
dveřmi	dveř-mi
hřmí	hřm-í
smí	sm-í
nesmí	ne-sm-í
osmi	osm-i
dětmi	dět-mi
částmi	část-mi
slabostmi	slab-ost-mi
žádostmi	žád-ost-mi
známostmi	zn-á-m-ost-mi
vědomostmi	věd-om-ost-mi
okolnostmi	o-kol-n-ost-mi
činnostmi	čin-n-ost-mi
schopnostmi	s-chop-n-ost-mi
zvláštnostmi	zvlášt-n-ost-mi
možnostmi	mož-n-ost-mi
umí	um-í
neumí	ne-um-í
šumí	šum-í
rozumí	roz-um-í
nerozumí	ne-roz-um-í
mladými	mlad-ými
tichými	tich-ými
mnohými	mnoh-ými
dlouhými	dlouh-ými
nějakými	ně-jak-ými
vědeckými	věd-ec-k-ými
celoněmeckými	cel-o-něm-ec-k-ými
filozofickými	fil-o-zof-ic-k-ými
logickými	log-ic-k-ými
organickými	organ-ic-k-ými
severoamerickými	sever-o-americ-k-ými
estetickými	estet-ic-k-ými
politickými	polit-ic-k-ými
praktickými	prakt-ic-k-ými
protikapitalistickými	proti-kapital-ist-ick-ými
fyzickými	fyzi-c-k-ými
velikými	vel-ik-ými
velkými	vel-k-ými
hlubokými	hlub-ok-ými
vysokými	vys-ok-ými
arabskými	arab-sk-ými
lidskými	lid-sk-ými
českými	čes-k-ými
thajskými	thaj-sk-ými
italskými	ital-sk-ými
protikubánskými	proti-kub-án-sk-ými
slovenskými	slov-en-sk-ými
náboženskými	ná-bož-en-sk-ými
perskými	pers-k-ými
lékařskými	lék-ař-sk-ými
mužskými	muž-sk-ými
těžkými	těž-k-ými
červenokřídlými	červen-o-křídl-ými
umělými	um-ě-l-ými
širokoúhlými	šir-ok-o-úhl-ými
bílými	bíl-ými
ušlechtilými	u-šlecht-i-l-ými
nezvyklými	ne-z-vyk-l-ými
nezávislými	ne-zá-vis-l-ými
mými	m-ými
známými	zn-á-m-ými
neznámými	ne-zn-á-m-ými
samými	sam-ými
přímými	přím-ými
vědomými	věd-om-ými
soukromými	sou-krom-ými
uspořádanými	u-s-po-řád-a-n-ými
vyvolanými	vy-vol-a-n-ými
vybranými	vy-br-a-n-ými
datovanými	dat-ova-n-ými
organizovanými	organ-iz-ova-n-ými
hedvábnými	hedváb-n-ými
drobnými	drob-n-ými
vzácnými	vzácn-ými
mocnými	moc-n-ými
užitečnými	u-ži-t-eč-n-ými
částečnými	část-eč-n-ými
věčnými	věč-n-ými
jinojazyčnými	jin-o-jazyč-n-ými
žádnými	žádn-ými
ctihodnými	ct-i-hod-n-ými
zpocenými	z-poc-en-ými
promočenými	pro-moč-en-ými
roztříděnými	roz-tříd-ěn-ými
promyšlenými	pro-myšl-e-n-ými
umírněnými	u-mír-n-ěn-ými
nezjištěnými	ne-z-jišt-ěn-ými
infračervenými	infra-červen-ými
podřízenými	pod-říz-en-ými
zježenými	z-jež-en-ými
uloženými	u-lož-en-ými
jinými	jin-ými
použitelnými	po-u-ži-teln-ými
smrtelnými	s-mr-teln-ými
vypnutelnými	vy-p-nu-teln-ými
kouzelnými	kouzel-n-ými
plnými	pln-ými
temnými	tem-n-ými
přítomnými	pří-t-om-n-ými
rádobyvtipnými	rád-o-by-vtip-n-ými
marnými	mar-n-ými
stříbrnými	stříbr-n-ými
věrnými	věr-n-ými
odbornými	od-bor-n-ými
černěhumornými	čern-ě-humor-n-ými
úspornými	ú-spor-n-ými
krásnými	krás-n-ými
útěšnými	ú-těš-n-ými
třícestnými	tř-í-cest-n-ými
milostnými	mil-ost-n-ými
nezbytnými	ne-z-by-t-n-ými
dávnými	dávn-ými
plnoprávnými	pln-o-práv-n-ými
různými	různ-ými
kterými	kter-ými
některými	ně-kter-ými
bohatými	boh-at-ými
očitými	oč-it-ými
určitými	u-rč-it-ými
vyhrnutými	vy-hr-nu-t-ými
pravdivými	prav-d-iv-ými
jednotlivými	jedn-ot-liv-ými
šestnáctipalcovými	šest-náct-i-palc-ov-ými
případovými	pří-pad-ov-ými
takovými	tak-ov-ými
tříhvězdičkovými	tř-í-hvězd-ičk-ov-ými
půlstránkovými	půl-strán-k-ov-ými
křišťálovými	křišťál-ov-ými
vrcholovými	vrch-ol-ov-ými
smyslovými	s-mysl-ov-ými
vysokoobjemovými	vys-ok-o-ob-jem-ov-ými
novými	nov-ými
smetanovými	s-met-an-ov-ými
světovými	svět-ov-ými
svými	sv-ými
mrtvými	mr-tv-ými
vezmi	vez-m-i
ni	n-i
ní	n-í
ani	ani
zulíbání	z-u-líb-á-n-í
zobání	zob-á-n-í
hýbání	hýb-á-n-í
angličani	angl-ič-an-i
dani	dan-i
daní	dan-í
badání	bad-á-n-í
bádání	bád-á-n-í
hádání	hád-á-n-í
nakládání	na-klád-á-n-í
předkládání	před-klád-á-n-í
ukládání	u-klád-á-n-í
ovládání	o-vlád-á-n-í
nadání	na-d-á-n-í
pořádání	po-řád-á-n-í
uspořádání	u-s-po-řád-á-n-í
požádání	po-žád-á-n-í
vyžádání	vy-žád-á-n-í
poddaní	pod-d-a-n-í
hledání	hled-á-n-í
předání	pře-d-á-n-í
zasedání	za-sed-á-n-í
snídani	s-níd-a-n-i
snídaní	s-níd-a-n-í
střídání	stříd-á-n-í
podání	po-d-á-n-í
udání	u-d-á-n-í
vydání	vy-d-á-n-í
zdání	zd-á-n-í
dobrozdání	dobr-o-zd-á-n-í
díkuvzdání	dík-u-vz-d-á-n-í
díkůvzdání	dík-ů-vz-d-á-n-í
doufání	douf-á-n-í
vymáhání	vy-máh-á-n-í
necháni	nech-á-n-i
obléhání	ob-léh-á-n-í
spoléhání	s-po-léh-á-n-í
stříhání	stříh-á-n-í
