word	etymology	is_loan
hele(ď)		native
helikon	ell	loan
helikoptéra	fra,ell	loan
heliocentrismus	lat,ell	loan
helium	ell	loan
helma	gmh	loan
helvet	lat	loan
hematologie	ell	loan
hemeroidy	lat,ell	loan
hemisféra	ell	loan
hemo-	ell	loan
hemoglobin	lat	loan
hemoroidy	lat,ell	loan
hemžit se		native
hena	fra,ara	loan
hepatitida	lat,ell	loan
hepta-	ell	loan
heraldika	lat	loan
herbář	lat	loan
herberk	deu	loan
herbicid	lat	loan
herdek	hun	loan
heredita	lat	loan
hereze	lat,ell	loan
hergot	deu	loan
herka	deu	loan
herkules	ell	loan
hermafrodit	ell	loan
hermelín	deu,goh	loan
hermeneutika	ell	loan
hermetický	ell	loan
heroický	lat,ell	loan
herold	gmh,frm,gem	loan
heryn(e)k	gmh	loan
heřmánek	lat,ell	loan
heslo		native
hetero-	ell	loan
heterogenní	ell	loan
heterosexuál	eng,lat	loan
heuristika	ell	loan
hever	deu	loan
hex(e)nšus	deu	loan
hexa-	ell	loan
hexametr	fra,ell	loan
hezký		native
hiát	lat	loan
hic	deu	loan
hierarchie	lat,ell	loan
hieroglyf	fra,ell	loan
hihňat se		native
hiphip(hurá)	eng	loan
hipodrom	ell	loan
hippie	eng	loan
histologie	ell	loan
historie	lat,ell	loan
hit	eng	loan
hlad		native
hladký		native
hladomor		native
hlahol		native
hlaholice		native
hlas		native
hlava		native
hlaveň		native
hle		native
hledat		native
hledět		native
hlemýžď		native
hlen		native
hlesnout		native
hlezno	pol,chu,ine	loan
hlídat		native
hlína		native
hliník		native
hlíst(a)		native
hlíva	dsb	loan
hlíza	ine	loan
hlodat		native
hloh		native
hlomozit		native
hloubat		native
hloupý		native
hltat		native
hluboký		native
hluchý		native
hluk		native
hmatat		native
hmitat		native
hmota		native
hmoždit se		native
hmyz		native
hňáca		native
hnát1		native
hnát2		native
hned		native
hnědý		native
hněv		native
hnida		native
hnilička		native
hnípat	ang	loan
hnis		native
hníst		native
hnít		native
hnízdo		native
hnout		native
hnůj		native
hnus		native
hobby	eng	loan
hoblík	deu	loan
hoboj	deu,fra,lat	loan
hod		native
hodina		native
hodit		native
hodit se		native
hodlat		native
hodný		native
hofmistr	deu	loan
hoch		native
hochštapler	deu	loan
hoj		native
hojit (se)		native
hojný		native
hokej	eng	loan
hokynář	gmh	loan
hola	ell	loan
holba	deu	loan
hold	gmh	loan
holeček		native
holeň		native
holka		native
holocaust	eng,fro,lat,ell	loan
holocén	ell	loan
hologram	ell	loan
holomek		native
holota		native
holport	deu	loan
holt	deu,gmh,goh	loan
holub		native
holý		native
homeopatie	ell	loan
homilie	lat,ell	loan
homo-	ell	loan
homogenní	ell	loan
homole		native
homonymum	ell	loan
homosexuál	eng,lat	loan
homunkulus	lat	loan
honit		native
honorace	deu,lat	loan
honorář	lat	loan
honosit se		native
hop		native
hora	pol	loan
horda	tat	loan
horentní	deu,lat	loan
horizont	deu,lat,ell	loan
horký		native
horlit	hsb	loan
hormon	eng	loan
horna	deu	loan
horník	deu	loan
horor	eng,lat	loan
horoskop	lat,ell	loan
horovat	pol	loan
horší		native
hortenzie	fra	loan
hořčice		native
hořčík		native
hoře	pol,chu	loan
hořec		native
hořet		native
hořký		native
hosana	lat,ell,heb	loan
hospic	deu,lat	loan
hospitalizovat	eng,lat	loan
hospitovat	lat	loan
hospoda		native
Hospodin		native
host		native
hosteska	eng,fro,lat	loan
hostie	lat	loan
hot	hsb,deu,fra,hun	loan
hotdog	eng	loan
hotel	deu,fra,fro,lat	loan
hotentot		native
hotový		native
houba		native
houf	gmh	loan
houfnice	deu	loan
houkat		native
houně		native
houpat		native
housenka		native
houser		native
houska		native
housle		native
housti		native
houští		native
houžev		native
hovado	hsb,chu	loan
hovět	hsb,chu	loan
hovězí		native
hovno		native
hovor		native
hra		native
hrabat		native
hrabě	goh	loan
hrábě		native
hrabivý		native
hrad		native
hradit		native
hrách		native
hrachor		native
hrana1		native
hrana2	hsb,dsb,chu	loan
hranostaj		native
hrát		native
hráz		native
hrazda		native
hrb		native
hrčet		native
hrdina		native
hrdlička	pol,chu	loan
hrdlo		native
hrdý		native
hrkat		native
hrma		native
hrnec		native
hrnout		native
hrob		native
hroch		native
hromada		native
hrot		native
hrouda		native
hroutit se		native
hrozen		native
hrozinka		native
hrozit		native
hrst		native
hrtan		native
hrubián	deu	loan
hrubý		native
hruď		native
hruška		native
hrůza		native
hryzat		native
hřad(a)		native
hřát		native
hřbet		native
hřbitov	goh	loan
hřeb		native
hřebec		native
hřebelec		native
hřeben		native
hřebíček		native
hřebík		native
hřešit		native
hřib		native
hříbě		native
hřídel		native
hřích		native
hříva		native
hřivna		native
hřmět		native
huba		native
hubený		native
hubit		native
hučet		native
hudba		native
hudlařit	deu	loan
hudrovat		native
hugenot	deu	loan
huhlat		native
hukot		native
hůl		native
hulákat		native
hulán	pol	loan
hulit		native
humanismus	lat	loan
humbuk	eng	loan
humidita	lat	loan
humno		native
humor	lat	loan
humr	deu,isl	loan
humus	lat	loan
huňatý		native
hunt	deu	loan
hup		native
hurá		native
hurikán	eng,spa	loan
huriska	pes,ara	loan
hurtem	gmh,fro	loan
hůř(e)		native
husa		native
husar	hun	loan
huspenina		native
hustý		native
huť	gmh	loan
hutný		native
hvězda		native
hvízdat		native
hvozd	hsb,pol	loan
hvozdík	pol	loan
hyacint	lat,ell	loan
hýbat (se)		native
hybrid	lat	loan
hydra	ell	loan
hydrant	eng,ell	loan
hydrát	ell	loan
hydraulický	ell	loan
hydro-	ell	loan
hydrolýza	ell	loan
hydroplán	ell	loan
hydroxid	deu,fra,ell	loan
hyena	lat,ell	loan
hygiena	deu,fra,ell	loan
hygroskopický	ell	loan
hyje	hsb,deu,fra,hun	loan
hýkat		native
hýl		native
hymen	ell	loan
hymna	lat,ell	loan
hynout		native
hyper-	ell	loan
hyperbola	ell	loan
hypermangan	deu,ita	loan
hypertenze	lat	loan
hypertrofie	ell	loan
hypnóza	ell	loan
hypo-	ell	loan
hypofýza	lat,ell	loan
hypochondrie	ell	loan
hypokoristikon	ell	loan
hypotaxe	ell	loan
hypotéka	lat,ell	loan
hypotéza	ell	loan
hýřit		native
hysterie	lat,ell	loan
hytlák	deu	loan
hyzdit		native
hýždě	dsb	loan
chabrus	deu,heb	loan
chabý		native
chalcedon	lat,ell	loan
chaluha	srp,hrv,chu	loan
chalupa	hsb	loan
chám2		native
chameleon	lat,ell	loan
chamraď		native
chamtivý		native
chán	tur	loan
chaos	ell	loan
chápat		native
charakter	deu,lat,ell	loan
chargé d’ affaires	fra	loan
charisma	ell	loan
charita	lat	loan
charta	lat,ell	loan
chasa		native
chata		loan
chátrat		native
chatrč		native
-cházet		native
chcát	pol,chu	loan
chcípat		native
chechtat se	lat,ell	loan
chemie	deu,lat,ell	loan
cherubín	lat,ell,heb	loan
chichotat se		native
chiliasmus	lat,ell	loan
chiméra	deu,lat,ell	loan
chinin	deu,ita,spa	loan
chiromantie	ell	loan
chirurg	lat,ell	loan
chitin	fra,ell	loan
chlad		native
chlácholit		native
chlap		native
chlastat		native
chléb		native
chlemtat		native
chlév		native
chlípný		native
chlopeň		native
chlór	ell	loan
chloroform		loan
chlorofyl	fra,ell	loan
chlubit se		native
chlum	hsb,chu	loan
chlup		native
chmatat		native
chmel		native
chmura	hsb	loan
chňapat	deu	loan
chobot	srp,hrv	loan
chodit		native
chochol		native
cholera	deu,lat,ell	loan
cholerik	ell	loan
cholesterol	ell	loan
chomáč		native
chomout		native
chopit (se)		native
chór	lat,ell	loan
chorál		native
choreografie	ell	loan
choroba	ine	loan
choroš	pol	loan
chorý	ine	loan
choť		native
choulit se		native
choulostivý		native
choutka		native
chovat		native
chrabrý	rus	loan
chrám	dsb,chu	loan
chramstnout		native
chránit		native
chrápat		native
chrást		native
chrastavec		native
chrastit		native
chrčet		native
chrestomatie	lat,ell	loan
chrchlat		native
chrlit		native
chrnět		native
chrobák		native
chrochtat		native
chrom	ell	loan
chromatika	ell	loan
chromozom	ell	loan
chromý		native
chronický	lat,ell	loan
chronologie	ell	loan
chronometr	ell	loan
chroptět		native
chroupat		native
chroust		native
chroustat		native
chrpa		native
chrstnout		native
chrt		native
chrupat		native
chryzantéma	lat,ell	loan
chřadnout		native
chřástal		native
chřest		native
chřestit		native
chřípí		native
chřipka		native
chřtán		native
chtít		native
chudý		native
chůdy		native
chuj	pol	loan
chuligán	rus,eng,gle	loan
chumáč		native
chumel		native
churavý		native
chuť		native
chůva		native
chvála		native
chvástat se		native
chvátat		native
-chvátit		native
chvět se	hsb	loan
chvíle	dsb	loan
chvojí		native
chvost		native
chyba		native
chýlit (se)		native
chystat (se)		native
chýše		native
chytat		native
chytrý		native
i		native
ibis	ell	loan
ibišek	lat,ell	loan
idea	lat,ell	loan
ideál	lat	loan
identifikace	lat	loan
identita	lat	loan
ideologie	lat,ell	loan
idio-	ell	loan
idiolekt	eng	loan
idiom	ell	loan
idiosynkrazie	ell	loan
idiot	lat,ell	loan
idol	lat,ell	loan
idyla	deu,fra,lat,ell	loan
igelit	deu	loan
iglú	eng	loan
ignorovat	lat	loan
ihned		native
ichtyologie	ell	loan
ikebana	jpn	loan
ikona	rus,chu,ell	loan
ikonoklasmus	ell	loan
ikonostas	ell	loan
ilegální	lat	loan
iluminace	lat	loan
ilustrovat	lat	loan
iluze	lat	loan
image	eng,fra,lat	loan
imaginace	lat	loan
imám	ara	loan
imanentní	deu,lat	loan
imatrikulace	lat	loan
imbecil	lat	loan
imigrace	lat	loan
imitovat	lat	loan
imortelka	fra,lat	loan
imperativ	lat	loan
imperfektum	lat	loan
impérium	lat	loan
impertinentní	deu,lat	loan
implantace	lat	loan
implicitní	lat	loan
implikovat	lat	loan
imponovat	fra	loan
import	eng,lat	loan
impotence	lat	loan
impozantní	fra,lat	loan
impregnovat	lat	loan
impresário	ita,lat	loan
impresionismus	fra,lat	loan
imprimatur	lat	loan
improvizovat	ita,lat	loan
impuls	deu,lat	loan
imunita	lat	loan
in-1	lat	loan
in-2	lat	loan
in flagranti	lat	loan
inaugurovat	lat	loan
incest	lat	loan
incident	deu,lat	loan
index	lat	loan
indicie	lat	loan
indiferentní	deu,fra,lat	loan
indigo		native
indikativ	lat	loan
indikovat	lat	loan
indiskrétní	lat	loan
indispozice	lat	loan
individuum	lat	loan
indukce	lat	loan
industriální	fra,lat	loan
infant	spa,lat	loan
infanterie	deu,ita	loan
infantilní	deu,lat	loan
infarkt	deu,lat	loan
infekce	lat	loan
infiltrovat	lat	loan
infinitiv	lat	loan
inflace	lat	loan
informovat	lat	loan
infra-	lat	loan
infúze	lat	loan
ingot	eng	loan
ingredience	lat	loan
inhalovat	lat	loan
inherentní	deu,lat	loan
iniciála	lat	loan
iniciativa	fra,lat	loan
injekce	lat	loan
inkarnace	lat	loan
inkaso	ita	loan
inklinovat	lat	loan
inkognito	ita,lat	loan
inkoust	lat,ell	loan
inkriminovaný	lat	loan
inkubace	lat	loan
inkvizice	lat	loan
inovace	lat	loan
inscenovat	lat,ell	loan
insekticid	lat	loan
inseminace	lat	loan
insignie	lat	loan
inspekce	lat	loan
inspicient	deu,lat	loan
inspirovat	lat	loan
instalovat	fra	loan
instance	lat	loan
instantní	eng,fra,lat	loan
instinkt	lat	loan
instituce	lat	loan
instrukce	rus	loan
instrument	lat	loan
instrumentál	lat	loan
intarzie	ita	loan
integrovat	lat	loan
intelekt	lat	loan
inteligence	lat	loan
intence	lat	loan
intendant	deu,fra,lat	loan
intenzita	lat	loan
inter-1	lat	loan
inter-2	fra	loan
interakce		native
interdikt	lat	loan
interes	fra,lat	loan
interference	eng,fro,lat	loan
interiér	fra,lat	loan
interjekce	lat	loan
intermezzo	ita,lat	loan
interna	lat	loan
internacionální	fra	loan
internát	deu,fra,lat	loan
interní	lat	loan
internovat	fra,lat	loan
interpelovat	lat	loan
interpretovat	lat	loan
interpunkce	lat	loan
interrupce	lat	loan
interval	lat	loan
intervence	lat	loan
interview	eng,fra,lat	loan
intimní	lat	loan
intoxikace	lat	loan
intráda	deu,ita,lat	loan
intrika	fra,ita,lat	loan
intro-	lat	loan
introspekce	lat	loan
intuice	lat	loan
invalida	fra,lat	loan
invaze	lat	loan
invektiva	fra,lat	loan
invence	lat	loan
inventář	lat	loan
inventura	lat	loan
inverze	lat	loan
investovat	lat	loan
inzerát	deu	loan
inzulin	fra,lat	loan
inzultovat	lat	loan
inženýr	fra,fro,lat	loan
ion(t)	eng,ell	loan
iracionální	lat	loan
irelevantní	lat	loan
iridium	lat	loan
iritovat	lat	loan
ironie	lat,ell	loan
ischemie	lat,ell	loan
ischias	lat,ell	loan
islám	ara	loan
itinerář	lat	loan
izo-	ell	loan
izobara	ell	loan
izoglosa	lat,ell	loan
izolovat	fra,ita,lat	loan
izomorfní	ell	loan
izotop	ell	loan
já		native
jablko		native
jádro		native
jaguár	por	loan
jáhen	goh,lat,ell	loan
jáhla		native
jahoda		native
jachta	eng,nld	loan
jak1		native
jakmile		native
jakobín	fra	loan
jaký		native
jalovec		native
jalový		native
jáma		native
jamb	lat,ell	loan
janek	ell	loan
janovec	gmh	loan
jantar	rus,lit	loan
jarmark	deu	loan
jaro		native
jarý		native
jářku		native
jařmo		native
jasan		native
jásat	hsb	loan
jasný		native
jaspis	lat,ell	loan
jaterník		native
jatky		native
játra		native
javor		native
jazyk		native
jazz	eng	loan
jebat		native
ječet		native
ječmen		native
jed		native
jeden		native
jedle		native
jednat		native
jégrovky	deu	loan
jehla		native
jehně		native
jehněda		native
jeho		native
její		native
jektat		native
jelen		native
jelikož		native
jelito		native
-jem		native
jémine	lat	loan
jemný	mkd	loan
jen(om)		native
jenž		native
jepice		native
jeptiška	goh,lat	loan
jer		native
jeřáb1		native
jeřáb2		native
jeřábek		native
jeseň	slk,pol,chu	loan
jeseter		native
jeskyně		native
jesle		native
jestli(že)		native
jestřáb		native
ješitný	ine	loan
ještě		native
ještěr		native
jet	hsb,dsb,chu	loan
jetel		native
jevit (se)		native
jez		native
jezdit		native
jezero		native
jezevec		native
jezinka		native
jezuita	lat	loan
jezulátko	lat	loan
ježdík		native
ježek		native
ježibaba		native
ježíšek		native
ježto		native
jho		native
jícen		native
jidáš		native
jidiš	deu	loan
jih		native
jíkavec		native
jikra		native
jíl		native
jilec	goh,gmh	loan
jilm	pol,chu	loan
jímat		native
jinan	jpn,zho	loan
jíní		native
jinoch		native
jinovatka		native
jiný		native
jircha	gmh,lat	loan
jírovec	hsb,dsb	loan
jiřička		native
jiřina	deu	loan
jiskra		native
jíst		native
jistý		native
jíška		native
jít		native
jitrnice		native
jitro1		native
jitro2		native
jitrocel		native
jitřit	pol	loan
jíva		native
jizba		native
jízda		native
jízlivý		native
jizva		native
již		native
jmelí		native
jmění		native
jméno		native
jmout		native
jo	deu	loan
jód	fra,ell	loan
jódlovat	deu	loan
jóga	ine	loan
jogurt	tur	loan
jola	deu,gml	loan
jonák	deu	loan
jota	ell,heb	loan
joule	eng	loan
jsem		native
jubileum	lat	loan
judikát	lat	loan
judo	eng,jpn	loan
juchta	deu,rus	loan
juka	spa	loan
jukat		native
junák	srp,hrv	loan
junda		native
junior	lat	loan
junker	deu,gmh	loan
junta	spa,lat	loan
jura2		native
jurisdikce	lat	loan
jurta	rus,tat	loan
jury	fra,eng,fro,lat	loan
just	deu,eng,fra,lat	loan
justice	lat	loan
juta	eng	loan
juvenilie	lat	loan
juxtapozice	lat	loan
k		native
kabala	fra	loan
kabanos	ron	loan
kabaret	fra	loan
kabát		native
kabel	deu,dum,fra	loan
kabela	gmh	loan
kabina	deu,fra,eng,frm,lat	loan
kabinet	fra	loan
kabonit (se)		native
kabriolet	fra,ita,lat	loan
kácet		native
kacíř	hsb,gmh	loan
kačena		native
káď		native
kadence	ita,lat	loan
kadeř		native
kadet	fra,lat	loan
kadidlo		native
kadit		native
kadlub		native
kadmium	ell	loan
kádr	deu,fra,ita,lat	loan
kafe	deu,fra,hye,tur,ara	loan
kafilerie	deu	loan
kafr	gmh,lat,ara	loan
kaftan	tur,ara,pes	loan
kahan		native
kachel	deu,goh,lat,ell	loan
kachna		native
kajícný		native
kajman	spa	loan
kajuta	deu,dum	loan
kakabus	lat	loan
kakadu	deu,nld,zlm	loan
kakao	spa	loan
kakat		native
kakofonie	ell	loan
kakost		native
kaktus	lat,ell	loan
kal		native
kalafuna	ita,ell	loan
kalamajka	slk,hun,ukr	loan
kalamář	lat	loan
kalambúr	fra	loan
kalamita	lat	loan
kalcium	lat	loan
kaleidoskop	ell	loan
kalendář	lat	loan
kálet		native
kalhoty		native
kalibr	deu,fra	loan
kalif	ara	loan
kaligrafie	ell	loan
kalich	gmh,lat	loan
kaliko	fra,eng	loan
kalina		native
kalit		native
kalium	ara	loan
kalk	fra,lat	loan
kalkulovat	lat	loan
kaloň	eng	loan
kalorie	fra,lat	loan
kaloun	fra	loan
kalous		native
kalumet	fra,lat	loan
kalup	deu,ita,fro,frk	loan
kaluž		native
kalvárie	lat	loan
kam		native
kamarád		loan
kamarila	spa	loan
kamaše	deu,fra,spa,ara	loan
kambala	rus,fin	loan
kamej	fra,fro	loan
kamelot	fra	loan
kámen		native
kamera	deu	loan
kamikadze	jpn	loan
kamion	fra	loan
kamizola	fra,lat	loan
kamna		native
kampaň	fra,lat	loan
kampanila	ita,lat	loan
kampelička		native
kamrlík	deu,lat	loan
kamuflovat	fra,ita	loan
kamzík	deu,lat	loan
kanafas	deu,fra,fro,lat	loan
kanál	lat,ell	loan
kanálie	fra,ita,lat	loan
kanape	deu,fra,lat,ell	loan
kanár	spa	loan
kanasta	spa,lat,ell	loan
kanava	fra	loan
kancelář	lat	loan
kancerogenní	lat	loan
kancionál	lat	loan
kancléř	deu,lat	loan
kandelábr	deu,fra,lat	loan
kandidát	lat	loan
kandovaný	ita,ara	loan
káně		native
kanec		native
kanibal	spa	loan
kanička		native
kanimůra	jpn	loan
kankán	fra	loan
kanoe	eng,spa	loan
kanon	deu,fra,ita,lat	loan
kaňon	spa,lat	loan
kánon	lat,ell	loan
kanout		native
kanovník	lat	loan
kantáta	ita,lat	loan
kantiléna	ita,lat	loan
kanton	fra,ita	loan
kantor	lat	loan
kantýna	deu,fra,ita	loan
kanystr	eng	loan
kaolin	fra,zho	loan
kapacita	lat	loan
kapary	lat,ell	loan
kapat		native
kápě	lat	loan
kapela	ita	loan
kapie	bul,tur	loan
kapilára	deu,lat	loan
kapírovat	deu,lat	loan
kapitál	deu,ita,lat	loan
kapitán	gmh,lat	loan
kapitola	lat	loan
kapitula	lat	loan
kapitulovat	fra,lat	loan
kaple	gmh,lat	loan
kápo	ita,lat	loan
kapota	fra,lat	loan
kapoun	gmh,fro,lat	loan
kapr		native
kapraď		native
kaprál	fra,ita,lat	loan
kapric	deu,fra,ita	loan
kapsa	lat	loan
kapsle	deu,lat	loan
kapuce	deu,ita,lat	loan
kapusta	gmh,lat	loan
kaput	deu,fra	loan
kar	deu,goh,gem	loan
kára	gmh,lat	loan
karabáč		native
karabina	fra	loan
karafa	ita,ara	loan
karafiát		native
karambol	fra,spa,por	loan
karamel	fra,spa	loan
karanténa	fra	loan
karas		native
karát	deu,fra,ita,ara,ell	loan
kárat		native
karate	jpn	loan
karavan	eng	loan
karavana	ita,pes	loan
karavela	ita,spa,lat,ell	loan
karban		native
karbanátek	deu,fra,ita,lat	loan
karbid	lat	loan
karbol	lat	loan
karbon	lat	loan
karborundum	lat	loan
karburátor	fra,lat	loan
karcer	lat	loan
karcinom	lat,ell	loan
kardan	ita	loan
kardiak	lat,ell	loan
kardinál	lat	loan
kardinální	lat	loan
kardio-	ell	loan
karfiol	ita,lat	loan
kargo	spa,lat	loan
kari	eng	loan
kariéra	fra,ita,lat	loan
karikatura	ita,lat	loan
karkule		native
karmín	deu,fra,lat,ara	loan
karneval	ita,lat	loan
káro	deu,fra,lat	loan
karoserie	fra,ita	loan
karotka	deu,fra,lat,ell	loan
karta	ita,lat	loan
kartáč	deu,ita,lat	loan
kartel	deu,fra,ita	loan
kartezián	fra	loan
kartografie	ita,lat	loan
karton	deu,fra,ita	loan
kartotéka	deu	loan
kartoun	deu,nld,ara	loan
kartuzián	fra	loan
karusel	fra,ita	loan
karyatida	ell	loan
kasa	deu,ita,lat	loan
kasárna	deu,fra,lat	loan
kasat (se)		native
kasematy	deu,fra,ita	loan
kasino	ita,lat	loan
kaskáda	fra,ita,lat	loan
kaskadér	fra	loan
kasta	deu,fra,por,lat	loan
kastaněty	spa	loan
kastelán	lat	loan
kastlík	deu	loan
kastrace	lat	loan
kastrol	fra,lat	loan
kaše		native
kašel		native
kašírovaný	deu,fra,lat	loan
kašna	deu	loan
kašpárek	deu	loan
kaštan	lat,ell	loan
kat		native
kát se		native
kata-	ell	loan
katafalk	deu,fra,ita,lat	loan
katakomby	ita,lat	loan
katalog	lat,ell	loan
katalýza	eng,ell	loan
katamaran	eng	loan
katan	hun,cat	loan
katapult	lat,ell	loan
katar	lat,ell	loan
katarze	ell	loan
katastr	deu,ita,ell	loan
katastrofa	ell	loan
kaťata		native
katedra	lat,ell	loan
katedrála	lat	loan
kategorie	lat,ell	loan
katechismus	lat,ell	loan
katétr	ell	loan
katoda	eng,ell	loan
katolický	lat,ell	loan
katr	deu	loan
kauce	lat	loan
kaučuk	fra,spa	loan
kauza	lat	loan
káva	tur,ara	loan
kavalec	fra,ita,lat	loan
kavalerie	fra,ita,lat	loan
kavalír	deu,fra,ita	loan
kaviár	deu,fra,ita	loan
kavka		native
kázat		native
kázeň	pol,chu	loan
kazeta	ita	loan
kazit		native
každý		native
kbelík	goh,lat	loan
kdákat		native
kde		native
kdo		native
kdoule		native
kdy		native
kebule		native
kecat		native
kecky		loan
kečup	eng,zho	loan
kedluben	deu	loan
kefír	bul,rus	loan
kejhat		native
kejkle	deu	loan
keks	eng	loan
kel		native
kelímek	pol	loan
kemp	eng,lat	loan
kentaur	ell	loan
kepr	deu,nld	loan
keramika	fra,ell	loan
keř		native
keser	eng	loan
keson	fra,lat	loan
kešú	eng,fra,por	loan
keťas	deu,lat	loan
kéž		native
khaki	eng,pes	loan
kibic	deu	loan
kiks	deu,eng	loan
kilo-	ell	loan
kimono	jpn	loan
kinematografie	fra,ell	loan
kinetický	ell	loan
kino	fra,ell	loan
kinžál	rus,tat	loan
kiosk	deu,fra,ita,tur,pes	loan
kisna	deu,lat	loan
kivi1		native
klábosit		native
klacek	deu	loan
kláda		native
kladivo		native
kladný		native
klaka	fra	loan
klakson	eng	loan
klamat		native
klan	eng	loan
klandr	bar	loan
klanět se		native
klání		native
klapat		native
klapka	deu	loan
klaret	fro,lat	loan
klarinet	ita,lat	loan
klas		native
klasa	deu	loan
klasicismus	deu,fra,lat	loan
klasický	deu,fra,lat	loan
klasifikace	fra	loan
klást		native
klášter	gmh,goh,lat	loan
klatba		native
kláti		native
klátit (se)		native
klaun	eng,isl,swe,dan,lat	loan
klaustrofobie	lat	loan
klauzule	lat	loan
klauzura	lat	loan
klávesa	lat	loan
klavichord	lat	loan
klavír	deu,fra,lat	loan
klec		native
kleč		native
klečet		native
klekánice		native
klematis	ell	loan
klempírovat	deu,ita,lat	loan
klen		native
klencák	deu	loan
klenot	gmh	loan
klenout		native
klepat		native
klepeto		native
kleptomanie	ell	loan
klérus	lat,ell	loan
klesat		native
klestit		native
kleště		native
kletba		loan
kleveta		native
klíč		native
klíčit		native
klid	ine	loan
klient	deu,lat	loan
klih		native
klika1		native
klika2	fra	loan
klika3	deu	loan
klikva	rus	loan
klima	deu,lat,ell	loan
klimakterium	ell	loan
klímat		native
klimpr	deu	loan
klín		native
klinč	eng	loan
klinika	deu,fra,ell	loan
klinkat		native
klip	eng	loan
klips(n)a	eng	loan
klisna		native
klišé	fra	loan
klíště		native
klít	ine	loan
klitoris	ell	loan
klk		native
klnout		native
kloaka	lat,ine	loan
klobása		native
klobouk		native
klohnit		native
klokoč		native
klokotat		native
kloktat		native
klon	eng,ell	loan
klonit (se)		native
klopit		native
klopotit se		native
klopýtat		native
klot	eng	loan
kloub		native
kloudný		native
klouzat		native
klovat		native
klovatina		native
klozet	eng,fro,lat	loan
klub	eng	loan
klubko		native
klůcek	deu	loan
klučit		native
kluk		native
klusat		native
klystýr	lat,ell	loan
kmán	deu	loan
kmen	dsb	loan
kmet		native
kmín	heb	loan
kmitat		native
kmotr		native
knajpa	deu	loan
knajpovat	deu	loan
knap	deu	loan
knedlík	gmh	loan
kněz		native
kniha		native
kníkat		native
knír		native
kníže		native
knoflík	gmh	loan
knokaut	eng	loan
knot	gmh	loan
kňourat	lit,deu	loan
kňučet	lit,deu	loan
knuta	rus,isl	loan
ko-1	lit,lav	loan
ko-2	lat	loan
koalice	lat	loan
kobalt	deu	loan
koberec	lat	loan
kobka	gmh	loan
kobra	por,lat	loan
kobyla		native
kocour	hsb	loan
kocovina	deu	loan
kočí	hun	loan
kočka	hsb,dsb	loan
kočkodan	pol	loan
kočovat	pol,rus,tat	loan
kód	eng,fra,lat	loan
kodein	fra,ell	loan
kodex	lat	loan
kodifikace	lat	loan
kodrcat		native
koedukace	lat	loan
koeficient	lat	loan
koexistence	lat	loan
kofein	deu	loan
koflík	gmh,lat	loan
kognitivní	eng,lat	loan
koherence	lat	loan
kohout		native
kochat se	dsb	loan
koitus	lat	loan
kóje	deu,nld,dum,lat	loan
kojit (se)	hsb	loan
kojot	eng,spa	loan
koka	spa	loan
kokain		loan
kokarda	deu,fra	loan
koketa	fra	loan
kokila	fra,lat,ell	loan
kokon	fra,lat,ell	loan
kokořík		native
kokos	deu,por,fra,lat	loan
kokot	dsb,pol,chu,slk	loan
kokpit	eng	loan
kokrhat		native
kokršpaněl	eng,fro,lat	loan
koks	deu,eng	loan
koktat		native
koktejl	eng	loan
kolaborovat	lat	loan
kolaps	lat	loan
kolárek	lat	loan
kolaudovat	lat	loan
koláž	fra,lat,ell	loan
kolébat (se)		native
koleda		native
kolega	lat	loan
kolej2	lat	loan
kolekce	lat	loan
kolektiv	lat	loan
koleno		native
koleso		native
-koli		native
koliba	hun,ron	loan
kolibřík	fra	loan
kolidovat	lat	loan
kolie	eng	loan
kolik		native
kolika	lat,ell	loan
kolísat		native
kolize	lat	loan
koljuška	rus	loan
kolna		native
kolo		native
koloděj		native
kolohnát		native
kolokvium	lat	loan
kolomaz		native
kolona	fra,lat	loan
kolonáda	fra,ita	loan
kolonie	lat	loan
kolorit	ita	loan
kolorovat	lat	loan
kolos	lat,ell	loan
kolouch		native
kolovrat		native
kolportovat	fra,lat	loan
kolt		native
kom-	lat	loan
kóma	ell	loan
komando	deu,ita	loan
komandovat	fra,lat	loan
komár		native
kombajn	rus,eng,lat	loan
kombi	deu	loan
kombinačky	lat	loan
kombinát	rus,lat	loan
kombiné	fra,lat	loan
kombinéza	fra,lat	loan
kombinovat	lat	loan
komedie	lat,ell	loan
komentovat	lat	loan
komerce	fra,lat	loan
kometa	lat,ell	loan
komfort	eng,fro,lat	loan
komický	lat,ell	loan
komíhat		native
komiks	eng	loan
komín		native
komise	lat	loan
komité(t)	fra,eng,lat	loan
komnata	goh,lat	loan
komoda	fra	loan
komodita	eng,lat	loan
komolit		native
komolý		native
komoň		native
komora	lat	loan
kompaktáta	lat	loan
kompaktní	lat	loan
kompanie	deu,fra,lat	loan
komparace	lat	loan
kompars	deu,fra,ita,lat	loan
kompas	ita,lat	loan
kompendium	lat	loan
kompenzovat	lat	loan
kompetence	lat	loan
kompilace	lat	loan
komplementární	fra,lat	loan
kompletní	deu,fra,lat	loan
komplex	lat	loan
komplic	deu,fra,lat	loan
komplikovat	lat	loan
kompliment	deu,fra,spa,lat	loan
komplot	deu,fra,fro	loan
komponent	deu,lat	loan
komponovat	lat	loan
kompost	deu,fra,eng,fro,lat	loan
