novy par: afakie --> afakický	 pravidlo: N-e --> A-cký
novy par: tajga --> tajgový	 pravidlo: N-a --> A-ový
novy par: takt --> taktový	 pravidlo: N- --> A-ový
novy par: tala --> talový	 pravidlo: N-a --> A-ový
novy par: talent --> talentový	 pravidlo: N- --> A-ový
novy par: talíř --> talířový	 pravidlo: N- --> A-ový
novy par: tandem --> tandemový	 pravidlo: N- --> A-ový
novy par: tanin --> taninový	 pravidlo: N- --> A-ový
novy par: tanker --> tankerový	 pravidlo: N- --> A-ový
novy par: tank --> tankový	 pravidlo: N- --> A-ový
novy par: tantal --> tantalový	 pravidlo: N- --> A-ový
novy par: tapeta --> tapetový	 pravidlo: N-a --> A-ový
novy par: tarok --> tarokový	 pravidlo: N- --> A-ový
novy par: tarot --> tarotový	 pravidlo: N- --> A-ový
novy par: tartan --> tartanový	 pravidlo: N- --> A-ový
novy par: taška --> taškový	 pravidlo: N-a --> A-ový
novy par: tečka --> tečkový	 pravidlo: N-a --> A-ový
novy par: tečna --> tečnový	 pravidlo: N-a --> A-ový
novy par: teflon --> teflonový	 pravidlo: N- --> A-ový
novy par: tekutina --> tekutinový	 pravidlo: N-a --> A-ový
novy par: těla --> tělový	 pravidlo: N-a --> A-ový
novy par: telefax --> telefaxový	 pravidlo: N- --> A-ový
novy par: telegram --> telegramový	 pravidlo: N- --> A-ový
novy par: telemarketing --> telemarketingový	 pravidlo: N- --> A-ový
novy par: teleshopping --> teleshoppingový	 pravidlo: N- --> A-ový
novy par: teleskop --> teleskopový	 pravidlo: N- --> A-ový
novy par: teletext --> teletextový	 pravidlo: N- --> A-ový
novy par: teletina --> teletinový	 pravidlo: N-a --> A-ový
novy par: telex --> telexový	 pravidlo: N- --> A-ový
novy par: témbr --> témbrový	 pravidlo: N- --> A-ový
novy par: tempera --> temperový	 pravidlo: N-a --> A-ový
novy par: tempus --> tempusový	 pravidlo: N- --> A-ový
novy par: tenata --> tenatový	 pravidlo: N-a --> A-ový
novy par: tendr --> tendrový	 pravidlo: N- --> A-ový
novy par: tenis --> tenisový	 pravidlo: N- --> A-ový
novy par: tenorsaxofon --> tenorsaxofonový	 pravidlo: N- --> A-ový
novy par: tenor --> tenorový	 pravidlo: N- --> A-ový
novy par: tenzor --> tenzorový	 pravidlo: N- --> A-ový
novy par: teploměrný --> teploměrový	 pravidlo: A-ný --> A-ový
novy par: tep --> tepový	 pravidlo: N- --> A-ový
novy par: terakota --> terakotový	 pravidlo: N-a --> A-ový
novy par: terasa --> terasový	 pravidlo: N-a --> A-ový
novy par: terč --> terčový	 pravidlo: N- --> A-ový
novy par: terej --> terejový	 pravidlo: N- --> A-ový
novy par: terminál --> terminálový	 pravidlo: N- --> A-ový
novy par: terminátor --> terminátorový	 pravidlo: N- --> A-ový
novy par: termín --> termínový	 pravidlo: N- --> A-ový
novy par: termistor --> termistorový	 pravidlo: N- --> A-ový
novy par: termit --> termitový	 pravidlo: N- --> A-ový
novy par: terpen --> terpenový	 pravidlo: N- --> A-ový
novy par: terpentýn --> terpentýnový	 pravidlo: N- --> A-ový
novy par: tér --> térový	 pravidlo: N- --> A-ový
novy par: testosteron --> testosteronový	 pravidlo: N- --> A-ový
novy par: těstovina --> těstovinový	 pravidlo: N-a --> A-ový
novy par: test --> testový	 pravidlo: N- --> A-ový
novy par: tetan --> tetanový	 pravidlo: N- --> A-ový
novy par: tětiva --> tětivový	 pravidlo: N-a --> A-ový
novy par: tetracyklin --> tetracyklinový	 pravidlo: N- --> A-ový
novy par: text --> textový	 pravidlo: N- --> A-ový
novy par: textura --> texturový	 pravidlo: N-a --> A-ový
novy par: tíha --> tíhový	 pravidlo: N-a --> A-ový
novy par: tiol --> tiolový	 pravidlo: N- --> A-ový
novy par: tisícina --> tisícinový	 pravidlo: N-a --> A-ový
novy par: tisíc --> tisícový	 pravidlo: N- --> A-ový
novy par: tisk --> tiskový	 pravidlo: N- --> A-ový
novy par: tis --> tisový	 pravidlo: N- --> A-ový
novy par: titan --> titanový	 pravidlo: N- --> A-ový
novy par: tkanina --> tkaninový	 pravidlo: N-a --> A-ový
novy par: tkáň --> tkáňový	 pravidlo: N- --> A-ový
novy par: tlak --> tlakový	 pravidlo: N- --> A-ový
novy par: tlampač --> tlampačový	 pravidlo: N- --> A-ový
novy par: tlapka --> tlapkový	 pravidlo: N-a --> A-ový
novy par: tloušťka --> tloušťkový	 pravidlo: N-a --> A-ový
novy par: tlumivka --> tlumivkový	 pravidlo: N-a --> A-ový
novy par: toast --> toastový	 pravidlo: N- --> A-ový
novy par: tóga --> tógový	 pravidlo: N-a --> A-ový
novy par: tok --> tokový	 pravidlo: N- --> A-ový
novy par: tolar --> tolarový	 pravidlo: N- --> A-ový
novy par: toluen --> toluenový	 pravidlo: N- --> A-ový
novy par: tomograf --> tomografový	 pravidlo: N- --> A-ový
novy par: toner --> tonerový	 pravidlo: N- --> A-ový
novy par: tón --> tónový	 pravidlo: N- --> A-ový
novy par: topas --> topasový	 pravidlo: N- --> A-ový
novy par: topol --> topolový	 pravidlo: N- --> A-ový
novy par: totem --> totemový	 pravidlo: N- --> A-ový
novy par: toust --> toustový	 pravidlo: N- --> A-ový
novy par: toxin --> toxinový	 pravidlo: N- --> A-ový
novy par: tracking --> trackingový	 pravidlo: N- --> A-ový
novy par: trachyt --> trachytový	 pravidlo: N- --> A-ový
novy par: trajekt --> trajektový	 pravidlo: N- --> A-ový
novy par: traktor --> traktorový	 pravidlo: N- --> A-ový
novy par: trambus --> trambusový	 pravidlo: N- --> A-ový
novy par: trám --> trámový	 pravidlo: N- --> A-ový
novy par: tramvaj --> tramvajový	 pravidlo: N- --> A-ový
novy par: transfer --> transferový	 pravidlo: N- --> A-ový
novy par: transformátor --> transformátorový	 pravidlo: N- --> A-ový
novy par: trans --> transový	 pravidlo: N- --> A-ový
novy par: tranzistor --> tranzistorový	 pravidlo: N- --> A-ový
novy par: trapéza --> trapézový	 pravidlo: N-a --> A-ový
novy par: trapný --> trapový	 pravidlo: A-ný --> A-ový
novy par: trasa --> trasový	 pravidlo: N-a --> A-ový
novy par: trať --> traťový	 pravidlo: N- --> A-ový
novy par: tráva --> trávový	 pravidlo: N-a --> A-ový
novy par: travertin --> travertinový	 pravidlo: N- --> A-ový
novy par: traverz --> traverzový	 pravidlo: N- --> A-ový
novy par: trávník --> trávníkový	 pravidlo: N- --> A-ový
novy par: trefný --> trefový	 pravidlo: A-ný --> A-ový
novy par: trekking --> trekkingový	 pravidlo: N- --> A-ový
novy par: trenažér --> trenažérový	 pravidlo: N- --> A-ový
novy par: trend --> trendový	 pravidlo: N- --> A-ový
novy par: trénink --> tréninkový	 pravidlo: N- --> A-ový
novy par: trepka --> trepkový	 pravidlo: N-a --> A-ový
novy par: treska --> treskový	 pravidlo: N-a --> A-ový
novy par: trezor --> trezorový	 pravidlo: N- --> A-ový
novy par: trhlina --> trhlinový	 pravidlo: N-a --> A-ový
novy par: trh --> trhový	 pravidlo: N- --> A-ový
novy par: triak --> triakový	 pravidlo: N- --> A-ový
novy par: trias --> triasový	 pravidlo: N- --> A-ový
novy par: triatlon --> triatlonový	 pravidlo: N- --> A-ový
novy par: tribun --> tribunový	 pravidlo: N- --> A-ový
novy par: trikot --> trikotový	 pravidlo: N- --> A-ový
novy par: trik --> trikový	 pravidlo: N- --> A-ový
novy par: trioda --> triodový	 pravidlo: N-a --> A-ový
novy par: triplet --> tripletový	 pravidlo: N- --> A-ový
novy par: trnka --> trnkový	 pravidlo: N-a --> A-ový
novy par: trn --> trnový	 pravidlo: N- --> A-ový
novy par: trojka --> trojkový	 pravidlo: N-a --> A-ový
novy par: trojnožka --> trojnožkový	 pravidlo: N-a --> A-ový
novy par: trojúhelník --> trojúhelníkový	 pravidlo: N- --> A-ový
novy par: trolejbus --> trolejbusový	 pravidlo: N- --> A-ový
novy par: trolej --> trolejový	 pravidlo: N- --> A-ový
novy par: trouba --> troubový	 pravidlo: N-a --> A-ový
novy par: trubička --> trubičkový	 pravidlo: N-a --> A-ový
novy par: trubka --> trubkový	 pravidlo: N-a --> A-ový
novy par: truhlík --> truhlíkový	 pravidlo: N- --> A-ový
novy par: trumf --> trumfový	 pravidlo: N- --> A-ový
novy par: trumpeta --> trumpetový	 pravidlo: N-a --> A-ový
novy par: trup --> trupový	 pravidlo: N- --> A-ový
novy par: trust --> trustový	 pravidlo: N- --> A-ový
novy par: trvalka --> trvalkový	 pravidlo: N-a --> A-ový
novy par: trychtýř --> trychtýřový	 pravidlo: N- --> A-ový
novy par: tryskáč --> tryskáčový	 pravidlo: N- --> A-ový
novy par: trysk --> tryskový	 pravidlo: N- --> A-ový
novy par: třasořitka --> třasořitkový	 pravidlo: N-a --> A-ový
novy par: třetinka --> třetinkový	 pravidlo: N-a --> A-ový
novy par: třezalka --> třezalkový	 pravidlo: N-a --> A-ový
novy par: třílitr --> třílitrový	 pravidlo: N- --> A-ový
novy par: třináctka --> třináctkový	 pravidlo: N-a --> A-ový
novy par: třípísmenný --> třípísmenový	 pravidlo: A-ný --> A-ový
novy par: tříska --> třískový	 pravidlo: N-a --> A-ový
novy par: třmen --> třmenový	 pravidlo: N- --> A-ový
novy par: třtina --> třtinový	 pravidlo: N-a --> A-ový
novy par: tuberkulin --> tuberkulinový	 pravidlo: N- --> A-ový
novy par: tuberkulóza --> tuberkulózový	 pravidlo: N-a --> A-ový
novy par: tubulin --> tubulinový	 pravidlo: N- --> A-ový
novy par: tuf --> tufový	 pravidlo: N- --> A-ový
novy par: tuha --> tuhový	 pravidlo: N-a --> A-ový
novy par: tuk --> tukový	 pravidlo: N- --> A-ový
novy par: tulej --> tulejový	 pravidlo: N- --> A-ový
novy par: tulipán --> tulipánový	 pravidlo: N- --> A-ový
novy par: tumor --> tumorový	 pravidlo: N- --> A-ový
novy par: tuňák --> tuňákový	 pravidlo: N- --> A-ový
novy par: tundra --> tundrový	 pravidlo: N-a --> A-ový
novy par: tunel --> tunelový	 pravidlo: N- --> A-ový
novy par: tung --> tungový	 pravidlo: N- --> A-ový
novy par: tuning --> tuningový	 pravidlo: N- --> A-ový
novy par: tun --> tunový	 pravidlo: N- --> A-ový
novy par: turbína --> turbínový	 pravidlo: N-a --> A-ový
novy par: turbodiesel --> turbodieselový	 pravidlo: N- --> A-ový
novy par: turnaj --> turnajový	 pravidlo: N- --> A-ový
novy par: turniket --> turniketový	 pravidlo: N- --> A-ový
novy par: turnus --> turnusový	 pravidlo: N- --> A-ový
novy par: tuš --> tušový	 pravidlo: N- --> A-ový
novy par: tužka --> tužkový	 pravidlo: N-a --> A-ový
novy par: tvárnic --> tvárnicový	 pravidlo: N- --> A-ový
novy par: tvaroh --> tvarohový	 pravidlo: N- --> A-ový
novy par: tvar --> tvarový	 pravidlo: N- --> A-ový
novy par: tvářný --> tvářový	 pravidlo: A-ný --> A-ový
novy par: tvíd --> tvídový	 pravidlo: N- --> A-ový
novy par: tvrdokov --> tvrdokovový	 pravidlo: N- --> A-ový
novy par: twist --> twistový	 pravidlo: N- --> A-ový
novy par: tyčinka --> tyčinkový	 pravidlo: N-a --> A-ový
novy par: tyčka --> tyčkový	 pravidlo: N-a --> A-ový
novy par: tyč --> tyčový	 pravidlo: N- --> A-ový
novy par: týk --> týkový	 pravidlo: N- --> A-ový
novy par: týk --> týkový	 pravidlo: N- --> A-ový
novy par: tyl --> tylový	 pravidlo: N- --> A-ový
novy par: týl --> týlový	 pravidlo: N- --> A-ový
novy par: tymián --> tymiánový	 pravidlo: N- --> A-ový
novy par: tým --> týmový	 pravidlo: N- --> A-ový
novy par: typ --> typový	 pravidlo: N- --> A-ový
novy par: tyristor --> tyristorový	 pravidlo: N- --> A-ový
novy par: tyrkys --> tyrkysový	 pravidlo: N- --> A-ový
novy par: účelný --> účelový	 pravidlo: A-ný --> A-ový
novy par: účtenka --> účtenkový	 pravidlo: N-a --> A-ový
novy par: údajný --> údajový	 pravidlo: A-ný --> A-ový
novy par: úderný --> úderový	 pravidlo: A-ný --> A-ový
novy par: údržba --> údržbový	 pravidlo: N-a --> A-ový
novy par: úhelník --> úhelníkový	 pravidlo: N- --> A-ový
novy par: uhličitan --> uhličitanový	 pravidlo: N- --> A-ový
novy par: uhlík --> uhlíkový	 pravidlo: N- --> A-ový
novy par: uhlohydrát --> uhlohydrátový	 pravidlo: N- --> A-ový
novy par: úhlopříčka --> úhlopříčkový	 pravidlo: N-a --> A-ový
novy par: uhlovodan --> uhlovodanový	 pravidlo: N- --> A-ový
novy par: uhlovodík --> uhlovodíkový	 pravidlo: N- --> A-ový
novy par: úhorný --> úhorový	 pravidlo: A-ný --> A-ový
novy par: úhrada --> úhradový	 pravidlo: N-a --> A-ový
novy par: úhybný --> úhybový	 pravidlo: A-ný --> A-ový
novy par: úchopný --> úchopový	 pravidlo: A-ný --> A-ový
novy par: úchytný --> úchytový	 pravidlo: A-ný --> A-ový
novy par: ukázka --> ukázkový	 pravidlo: N-a --> A-ový
novy par: úklid --> úklidový	 pravidlo: N- --> A-ový
novy par: úkol --> úkolový	 pravidlo: N- --> A-ový
novy par: úlet --> úletový	 pravidlo: N- --> A-ový
novy par: úlevný --> úlevový	 pravidlo: A-ný --> A-ový
novy par: ultramarin --> ultramarinový	 pravidlo: N- --> A-ový
novy par: ultramarín --> ultramarínový	 pravidlo: N- --> A-ový
novy par: ultrazvuk --> ultrazvukový	 pravidlo: N- --> A-ový
novy par: úl --> úlový	 pravidlo: N- --> A-ový
novy par: umakart --> umakartový	 pravidlo: N- --> A-ový
novy par: umbra --> umbrový	 pravidlo: N-a --> A-ový
novy par: únavný --> únavový	 pravidlo: A-ný --> A-ový
novy par: underground --> undergroundový	 pravidlo: N- --> A-ový
novy par: únik --> únikový	 pravidlo: N- --> A-ový
novy par: unix --> unixový	 pravidlo: N- --> A-ový
novy par: únor --> únorový	 pravidlo: N- --> A-ový
novy par: upír --> upírový	 pravidlo: N- --> A-ový
novy par: úplet --> úpletový	 pravidlo: N- --> A-ový
novy par: upomínka --> upomínkový	 pravidlo: N-a --> A-ový
novy par: úponka --> úponkový	 pravidlo: N-a --> A-ový
novy par: úpon --> úponový	 pravidlo: N- --> A-ový
novy par: uran --> uranový	 pravidlo: N- --> A-ový
novy par: urát --> urátový	 pravidlo: N- --> A-ový
novy par: úraz --> úrazový	 pravidlo: N- --> A-ový
novy par: urážka --> urážkový	 pravidlo: N-a --> A-ový
novy par: urna --> urnový	 pravidlo: N-a --> A-ový
novy par: úrok --> úrokový	 pravidlo: N- --> A-ový
novy par: usazenina --> usazeninový	 pravidlo: N-a --> A-ový
novy par: úsek --> úsekový	 pravidlo: N- --> A-ový
novy par: usenet --> usenetový	 pravidlo: N- --> A-ový
novy par: ústupný --> ústupový	 pravidlo: A-ný --> A-ový
novy par: útěk --> útěkový	 pravidlo: N- --> A-ový
novy par: útes --> útesový	 pravidlo: N- --> A-ový
novy par: útlum --> útlumový	 pravidlo: N- --> A-ový
novy par: útvar --> útvarový	 pravidlo: N- --> A-ový
novy par: úvaha --> úvahový	 pravidlo: N-a --> A-ový
novy par: úvazný --> úvazový	 pravidlo: A-ný --> A-ový
novy par: úvěr --> úvěrový	 pravidlo: N- --> A-ový
novy par: úvodník --> úvodníkový	 pravidlo: N- --> A-ový
novy par: úvoz --> úvozový	 pravidlo: N- --> A-ový
novy par: uzávěrka --> uzávěrkový	 pravidlo: N-a --> A-ový
novy par: uzávěr --> uzávěrový	 pravidlo: N- --> A-ový
novy par: uzda --> uzdový	 pravidlo: N-a --> A-ový
novy par: uzdička --> uzdičkový	 pravidlo: N-a --> A-ový
novy par: úžina --> úžinový	 pravidlo: N-a --> A-ový
novy par: václavka --> václavkový	 pravidlo: N-a --> A-ový
novy par: vačka --> vačkový	 pravidlo: N-a --> A-ový
novy par: vagón --> vagónový	 pravidlo: N- --> A-ový
novy par: vagón --> vagónový	 pravidlo: N- --> A-ový
novy par: váh --> váhový	 pravidlo: N- --> A-ový
novy par: vaječník --> vaječníkový	 pravidlo: N- --> A-ový
novy par: vakcína --> vakcínový	 pravidlo: N-a --> A-ový
novy par: vak --> vakový	 pravidlo: N- --> A-ový
novy par: valba --> valbový	 pravidlo: N-a --> A-ový
novy par: valčík --> valčíkový	 pravidlo: N- --> A-ový
novy par: válečka --> válečkový	 pravidlo: N-a --> A-ový
novy par: valník --> valníkový	 pravidlo: N- --> A-ový
novy par: valný --> valový	 pravidlo: A-ný --> A-ový
novy par: valuta --> valutový	 pravidlo: N-a --> A-ový
novy par: vál --> válový	 pravidlo: N- --> A-ový
novy par: vanad --> vanadový	 pravidlo: N- --> A-ový
novy par: vanila --> vanilový	 pravidlo: N-a --> A-ový
novy par: vanilka --> vanilkový	 pravidlo: N-a --> A-ový
novy par: van --> vanový	 pravidlo: N- --> A-ový
novy par: vápník --> vápníkový	 pravidlo: N- --> A-ový
novy par: vatra --> vatrový	 pravidlo: N-a --> A-ový
novy par: vat --> vatový	 pravidlo: N- --> A-ový
novy par: vavřín --> vavřínový	 pravidlo: N- --> A-ový
novy par: vázanka --> vázankový	 pravidlo: N-a --> A-ový
novy par: vazba --> vazbový	 pravidlo: N-a --> A-ový
novy par: vazný --> vazový	 pravidlo: A-ný --> A-ový
novy par: vážka --> vážkový	 pravidlo: N-a --> A-ový
novy par: vdech --> vdechový	 pravidlo: N- --> A-ový
novy par: večerka --> večerkový	 pravidlo: N-a --> A-ový
novy par: vějíř --> vějířový	 pravidlo: N- --> A-ový
novy par: vejmutovka --> vejmutovkový	 pravidlo: N-a --> A-ový
novy par: vektor --> vektorový	 pravidlo: N- --> A-ový
novy par: věk --> věkový	 pravidlo: N- --> A-ový
novy par: velín --> velínový	 pravidlo: N- --> A-ový
novy par: velkorážný --> velkorážový	 pravidlo: A-ný --> A-ový
novy par: velkorozměrný --> velkorozměrový	 pravidlo: A-ný --> A-ový
novy par: velocipéd --> velocipédový	 pravidlo: N- --> A-ový
novy par: velur --> velurový	 pravidlo: N- --> A-ový
novy par: ventilátor --> ventilátorový	 pravidlo: N- --> A-ový
novy par: ventil --> ventilový	 pravidlo: N- --> A-ový
novy par: vepř --> vepřový	 pravidlo: N- --> A-ový
novy par: veranda --> verandový	 pravidlo: N-a --> A-ový
novy par: verbena --> verbenový	 pravidlo: N-a --> A-ový
novy par: vernisáž --> vernisážový	 pravidlo: N- --> A-ový
novy par: verš --> veršový	 pravidlo: N- --> A-ový
novy par: vesta --> vestový	 pravidlo: N-a --> A-ový
novy par: větévka --> větévkový	 pravidlo: N-a --> A-ový
novy par: větrák --> větrákový	 pravidlo: N- --> A-ový
novy par: větrný --> větrový	 pravidlo: A-ný --> A-ový
novy par: většina --> většinový	 pravidlo: N-a --> A-ový
novy par: větvička --> větvičkový	 pravidlo: N-a --> A-ový
novy par: věž --> věžový	 pravidlo: N- --> A-ový
novy par: vchod --> vchodový	 pravidlo: N- --> A-ový
novy par: vícerozměrný --> vícerozměrový	 pravidlo: A-ný --> A-ový
novy par: vícesměrný --> vícesměrový	 pravidlo: A-ný --> A-ový
novy par: videotext --> videotextový	 pravidlo: N- --> A-ový
novy par: videozáznam --> videozáznamový	 pravidlo: N- --> A-ový
novy par: vid --> vidový	 pravidlo: N- --> A-ový
novy par: vigvam --> vigvamový	 pravidlo: N- --> A-ový
novy par: vichrný --> vichrový	 pravidlo: A-ný --> A-ový
novy par: vika --> vikový	 pravidlo: N-a --> A-ový
novy par: víkend --> víkendový	 pravidlo: N- --> A-ový
novy par: vikýř --> vikýřový	 pravidlo: N- --> A-ový
novy par: vilka --> vilkový	 pravidlo: N-a --> A-ový
novy par: vilný --> vilový	 pravidlo: A-ný --> A-ový
novy par: vín --> vínový	 pravidlo: N- --> A-ový
novy par: vinylacetát --> vinylacetátový	 pravidlo: N- --> A-ový
novy par: vinyl --> vinylový	 pravidlo: N- --> A-ový
novy par: viola --> violový	 pravidlo: N-a --> A-ový
novy par: virus --> virusový	 pravidlo: N- --> A-ový
novy par: vir --> virový	 pravidlo: N- --> A-ový
novy par: vír --> vírový	 pravidlo: N- --> A-ový
novy par: visačka --> visačkový	 pravidlo: N-a --> A-ový
novy par: viskóza --> viskózový	 pravidlo: N-a --> A-ový
novy par: vitamín --> vitamínový	 pravidlo: N- --> A-ový
novy par: vitráž --> vitrážový	 pravidlo: N- --> A-ový
novy par: vitriol --> vitriolový	 pravidlo: N- --> A-ový
novy par: vizmut --> vizmutový	 pravidlo: N- --> A-ový
novy par: vjem --> vjemový	 pravidlo: N- --> A-ový
novy par: vjezd --> vjezdový	 pravidlo: N- --> A-ový
novy par: vklad --> vkladový	 pravidlo: N- --> A-ový
novy par: vláha --> vláhový	 pravidlo: N-a --> A-ový
novy par: vlajka --> vlajkový	 pravidlo: N-a --> A-ový
novy par: vláknina --> vlákninový	 pravidlo: N-a --> A-ový
novy par: vlak --> vlakový	 pravidlo: N- --> A-ový
novy par: vlas --> vlasový	 pravidlo: N- --> A-ový
novy par: vlečka --> vlečkový	 pravidlo: N-a --> A-ový
novy par: vlet --> vletový	 pravidlo: N- --> A-ový
novy par: vlk --> vlkový	 pravidlo: N- --> A-ový
novy par: vlna --> vlnový	 pravidlo: N-a --> A-ový
novy par: vlnka --> vlnkový	 pravidlo: N-a --> A-ový
novy par: vlnovka --> vlnovkový	 pravidlo: N-a --> A-ový
novy par: vlnovodný --> vlnovodový	 pravidlo: A-ný --> A-ový
novy par: vločka --> vločkový	 pravidlo: N-a --> A-ový
novy par: vnějška --> vnějškový	 pravidlo: N-a --> A-ový
novy par: vodička --> vodičkový	 pravidlo: N-a --> A-ový
novy par: vodič --> vodičový	 pravidlo: N- --> A-ový
novy par: vodík --> vodíkový	 pravidlo: N- --> A-ový
novy par: vodka --> vodkový	 pravidlo: N-a --> A-ový
novy par: vodný --> vodový	 pravidlo: A-ný --> A-ový
novy par: vodopád --> vodopádový	 pravidlo: N- --> A-ový
novy par: vodotisk --> vodotiskový	 pravidlo: N- --> A-ový
novy par: vodotrysk --> vodotryskový	 pravidlo: N- --> A-ový
novy par: vojna --> vojnový	 pravidlo: N-a --> A-ový
novy par: vojtěška --> vojtěškový	 pravidlo: N-a --> A-ový
novy par: volán --> volánový	 pravidlo: N- --> A-ový
novy par: volejbal --> volejbalový	 pravidlo: N- --> A-ový
novy par: volný --> volový	 pravidlo: A-ný --> A-ový
novy par: volta --> voltový	 pravidlo: N-a --> A-ový
novy par: voluta --> volutový	 pravidlo: N-a --> A-ový
novy par: voňavka --> voňavkový	 pravidlo: N-a --> A-ový
novy par: vor --> vorový	 pravidlo: N- --> A-ový
novy par: vosk --> voskový	 pravidlo: N- --> A-ový
novy par: voština --> voštinový	 pravidlo: N-a --> A-ový
novy par: vozík --> vozíkový	 pravidlo: N- --> A-ový
novy par: vpich --> vpichový	 pravidlo: N- --> A-ový
novy par: vrak --> vrakový	 pravidlo: N- --> A-ový
novy par: vráska --> vráskový	 pravidlo: N-a --> A-ový
novy par: vratič --> vratičový	 pravidlo: N- --> A-ový
novy par: vrátník --> vrátníkový	 pravidlo: N- --> A-ový
novy par: vrbka --> vrbkový	 pravidlo: N-a --> A-ový
novy par: vrbný --> vrbový	 pravidlo: A-ný --> A-ový
novy par: vrcholný --> vrcholový	 pravidlo: A-ný --> A-ový
novy par: vrstva --> vrstvový	 pravidlo: N-a --> A-ový
novy par: vrták --> vrtákový	 pravidlo: N- --> A-ový
novy par: vrtulník --> vrtulníkový	 pravidlo: N- --> A-ový
novy par: vrub --> vrubový	 pravidlo: N- --> A-ový
novy par: vřed --> vředový	 pravidlo: N- --> A-ový
novy par: vřes --> vřesový	 pravidlo: N- --> A-ový
novy par: vřeten --> vřetenový	 pravidlo: N- --> A-ový
novy par: vsádka --> vsádkový	 pravidlo: N-a --> A-ový
novy par: vsázka --> vsázkový	 pravidlo: N-a --> A-ový
novy par: vstřik --> vstřikový	 pravidlo: N- --> A-ový
novy par: všesměrný --> všesměrový	 pravidlo: A-ný --> A-ový
novy par: vteřina --> vteřinový	 pravidlo: N-a --> A-ový
novy par: vtipný --> vtipový	 pravidlo: A-ný --> A-ový
novy par: vtok --> vtokový	 pravidlo: N- --> A-ový
novy par: vulkán --> vulkánový	 pravidlo: N- --> A-ový
novy par: výběh --> výběhový	 pravidlo: N- --> A-ový
novy par: výběr --> výběrový	 pravidlo: N- --> A-ový
novy par: výbojka --> výbojkový	 pravidlo: N-a --> A-ový
novy par: výbojný --> výbojový	 pravidlo: A-ný --> A-ový
novy par: výborný --> výborový	 pravidlo: A-ný --> A-ový
novy par: výbuch --> výbuchový	 pravidlo: N- --> A-ový
novy par: výbušnina --> výbušninový	 pravidlo: N-a --> A-ový
novy par: vycpávka --> vycpávkový	 pravidlo: N-a --> A-ový
novy par: výcvik --> výcvikový	 pravidlo: N- --> A-ový
novy par: výdaj --> výdajový	 pravidlo: N- --> A-ový
novy par: výdech --> výdechový	 pravidlo: N- --> A-ový
novy par: výdej --> výdejový	 pravidlo: N- --> A-ový
novy par: vydra --> vydrový	 pravidlo: N-a --> A-ový
novy par: výfuk --> výfukový	 pravidlo: N- --> A-ový
novy par: výhledný --> výhledový	 pravidlo: A-ný --> A-ový
novy par: vyhlídka --> vyhlídkový	 pravidlo: N-a --> A-ový
novy par: výhybka --> výhybkový	 pravidlo: N-a --> A-ový
novy par: vycházka --> vycházkový	 pravidlo: N-a --> A-ový
novy par: východný --> východový	 pravidlo: A-ný --> A-ový
novy par: výjezd --> výjezdový	 pravidlo: N- --> A-ový
novy par: vyjížďka --> vyjížďkový	 pravidlo: N-a --> A-ový
novy par: výkal --> výkalový	 pravidlo: N- --> A-ový
novy par: výkaz --> výkazový	 pravidlo: N- --> A-ový
novy par: vykládka --> vykládkový	 pravidlo: N-a --> A-ový
novy par: výklad --> výkladový	 pravidlo: N- --> A-ový
novy par: výkonný --> výkonový	 pravidlo: A-ný --> A-ový
novy par: vykopávka --> vykopávkový	 pravidlo: N-a --> A-ový
novy par: výkop --> výkopový	 pravidlo: N- --> A-ový
novy par: výkres --> výkresový	 pravidlo: N- --> A-ový
novy par: výkrmný --> výkrmový	 pravidlo: A-ný --> A-ový
novy par: výlet --> výletový	 pravidlo: N- --> A-ový
novy par: výložník --> výložníkový	 pravidlo: N- --> A-ový
novy par: výluh --> výluhový	 pravidlo: N- --> A-ový
novy par: výmaz --> výmazový	 pravidlo: N- --> A-ový
novy par: výměník --> výměníkový	 pravidlo: N- --> A-ový
novy par: výnosný --> výnosový	 pravidlo: A-ný --> A-ový
novy par: výpad --> výpadový	 pravidlo: N- --> A-ový
novy par: výparník --> výparníkový	 pravidlo: N- --> A-ový
novy par: výplach --> výplachový	 pravidlo: N- --> A-ový
novy par: výplň --> výplňový	 pravidlo: N- --> A-ový
novy par: výprodej --> výprodejový	 pravidlo: N- --> A-ový
novy par: výpůjčka --> výpůjčkový	 pravidlo: N-a --> A-ový
novy par: výrazný --> výrazový	 pravidlo: A-ný --> A-ový
novy par: výrok --> výrokový	 pravidlo: N- --> A-ový
novy par: výsadba --> výsadbový	 pravidlo: N-a --> A-ový
novy par: výsadka --> výsadkový	 pravidlo: N-a --> A-ový
novy par: výsek --> výsekový	 pravidlo: N- --> A-ový
novy par: vysílačka --> vysílačkový	 pravidlo: N-a --> A-ový
novy par: výskyt --> výskytový	 pravidlo: N- --> A-ový
novy par: výslech --> výslechový	 pravidlo: N- --> A-ový
novy par: výsluha --> výsluhový	 pravidlo: N-a --> A-ový
novy par: vysokotlak --> vysokotlakový	 pravidlo: N- --> A-ový
novy par: výstelka --> výstelkový	 pravidlo: N-a --> A-ový
novy par: výstroj --> výstrojový	 pravidlo: N- --> A-ový
novy par: výstřik --> výstřikový	 pravidlo: N- --> A-ový
novy par: výstupný --> výstupový	 pravidlo: A-ný --> A-ový
