scenario: Load file=fulltest.tsv CS::ExtractCandidatesForUnexploitedRules
novy par: candid --> candida	 pravidlo: A- --> A-a
novy par: rozvod --> rozvodní	 pravidlo: N- --> A-ní
novy par: rychlost --> rychlostní	 pravidlo: N- --> A-ní
novy par: sabotáž --> sabotážní	 pravidlo: N- --> A-ní
novy par: salón --> salónní	 pravidlo: N- --> A-ní
novy par: saprofág --> saprofágní	 pravidlo: N- --> A-ní
novy par: satelit --> satelitní	 pravidlo: N- --> A-ní
novy par: senát --> senátní	 pravidlo: N- --> A-ní
novy par: senáž --> senážní	 pravidlo: N- --> A-ní
novy par: seniorát --> seniorátní	 pravidlo: N- --> A-ní
@	novy par: senzibil --> senzibilní	 pravidlo: N- --> A-ní
@	novy par: senzitiv --> senzitivní	 pravidlo: N- --> A-ní
@	novy par: separát --> separátní	 pravidlo: N- --> A-ní
novy par: servis --> servisní	 pravidlo: N- --> A-ní
novy par: severoseverovýchod --> severoseverovýchodní	 pravidlo: N- --> A-ní
novy par: severoseverozápad --> severoseverozápadní	 pravidlo: N- --> A-ní
novy par: severovýchod --> severovýchodní	 pravidlo: N- --> A-ní
novy par: severozápad --> severozápadní	 pravidlo: N- --> A-ní
novy par: sever --> severní	 pravidlo: N- --> A-ní
novy par: schopnost --> schopnostní	 pravidlo: N- --> A-ní
novy par: signál --> signální	 pravidlo: N- --> A-ní
novy par: siláž --> silážní	 pravidlo: N- --> A-ní
novy par: simplex --> simplexní	 pravidlo: N- --> A-ní
novy par: singulár --> singulární	 pravidlo: N- --> A-ní
novy par: skalár --> skalární	 pravidlo: N- --> A-ní
novy par: skandál --> skandální	 pravidlo: N- --> A-ní
novy par: sklad --> skladní	 pravidlo: N- --> A-ní
novy par: sklep --> sklepní	 pravidlo: N- --> A-ní
novy par: skutečnost --> skutečnostní	 pravidlo: N- --> A-ní
novy par: slavnost --> slavnostní	 pravidlo: N- --> A-ní
@	novy par: služeb --> služební	 pravidlo: N- --> A-ní
@	novy par: sociál --> sociální	 pravidlo: N- --> A-ní
novy par: solenoid --> solenoidní	 pravidlo: N- --> A-ní
novy par: solitér --> solitérní	 pravidlo: N- --> A-ní
@	novy par: sol --> solní	 pravidlo: N- --> A-ní
novy par: somnambul --> somnambulní	 pravidlo: N- --> A-ní
novy par: sondáž --> sondážní	 pravidlo: N- --> A-ní
novy par: sortiment --> sortimentní	 pravidlo: N- --> A-ní
novy par: součinnost --> součinnostní	 pravidlo: N- --> A-ní
novy par: soud --> soudní	 pravidlo: N- --> A-ní
novy par: soused --> sousední	 pravidlo: N- --> A-ní
novy par: soutěž --> soutěžní	 pravidlo: N- --> A-ní
novy par: speciál --> speciální	 pravidlo: N- --> A-ní
novy par: spermicid --> spermicidní	 pravidlo: N- --> A-ní
novy par: spirituál --> spirituální	 pravidlo: N- --> A-ní
novy par: společnost --> společnostní	 pravidlo: N- --> A-ní
novy par: spolehlivost --> spolehlivostní	 pravidlo: N- --> A-ní
novy par: spořitel --> spořitelní	 pravidlo: N- --> A-ní
@	novy par: stabil --> stabilní	 pravidlo: N- --> A-ní
novy par: stáj --> stájní	 pravidlo: N- --> A-ní
novy par: standard --> standardní	 pravidlo: N- --> A-ní
novy par: stát --> státní	 pravidlo: N- --> A-ní
novy par: step --> stepní	 pravidlo: N- --> A-ní
novy par: stereotyp --> stereotypní	 pravidlo: N- --> A-ní
novy par: steroid --> steroidní	 pravidlo: N- --> A-ní
novy par: stěžej --> stěžejní	 pravidlo: N- --> A-ní
novy par: stížnost --> stížnostní	 pravidlo: N- --> A-ní
novy par: stráž --> strážní	 pravidlo: N- --> A-ní
novy par: stroj --> strojní	 pravidlo: N- --> A-ní
novy par: strop --> stropní	 pravidlo: N- --> A-ní
novy par: struktur --> strukturní	 pravidlo: N- --> A-ní
novy par: středovýchod --> středovýchodní	 pravidlo: N- --> A-ní
novy par: středozápad --> středozápadní	 pravidlo: N- --> A-ní
novy par: střed --> střední	 pravidlo: N- --> A-ní
novy par: střiž --> střižní	 pravidlo: N- --> A-ní
novy par: sukulent --> sukulentní	 pravidlo: N- --> A-ní
@	novy par: superior --> superiorní	 pravidlo: N- --> A-ní
novy par: suterén --> suterénní	 pravidlo: N- --> A-ní
novy par: suverén --> suverénní	 pravidlo: N- --> A-ní
novy par: syndikát --> syndikátní	 pravidlo: N- --> A-ní
@	novy par: synchron --> synchronní	 pravidlo: N- --> A-ní
@	novy par: synod --> synodní	 pravidlo: N- --> A-ní
@	novy par: šat --> šatní	 pravidlo: N- --> A-ní
novy par: škandál --> škandální	 pravidlo: N- --> A-ní
novy par: špionáž --> špionážní	 pravidlo: N- --> A-ní
novy par: špitál --> špitální	 pravidlo: N- --> A-ní
novy par: štáb --> štábní	 pravidlo: N- --> A-ní
novy par: takt --> taktní	 pravidlo: N- --> A-ní
@	novy par: tam --> tamní	 pravidlo: N- --> A-ní
novy par: tarif --> tarifní	 pravidlo: N- --> A-ní
novy par: telefon --> telefonní	 pravidlo: N- --> A-ní
novy par: telegraf --> telegrafní	 pravidlo: N- --> A-ní
novy par: temperament --> temperamentní	 pravidlo: N- --> A-ní
novy par: teplovod --> teplovodní	 pravidlo: N- --> A-ní
novy par: teratogen --> teratogenní	 pravidlo: N- --> A-ní
novy par: terén --> terénní	 pravidlo: N- --> A-ní
novy par: terminál --> terminální	 pravidlo: N- --> A-ní
novy par: těsnost --> těsnostní	 pravidlo: N- --> A-ní
novy par: textil --> textilní	 pravidlo: N- --> A-ní
novy par: tiráž --> tirážní	 pravidlo: N- --> A-ní
novy par: titul --> titulní	 pravidlo: N- --> A-ní
novy par: tonáž --> tonážní	 pravidlo: N- --> A-ní
@	novy par: totál --> totální	 pravidlo: N- --> A-ní
novy par: tradicionál --> tradicionální	 pravidlo: N- --> A-ní
novy par: transfer --> transferní	 pravidlo: N- --> A-ní
novy par: transit --> transitní	 pravidlo: N- --> A-ní
@	novy par: transparent --> transparentní	 pravidlo: N- --> A-ní
novy par: transport --> transportní	 pravidlo: N- --> A-ní
novy par: transsexuál --> transsexuální	 pravidlo: N- --> A-ní
novy par: tranzit --> tranzitní	 pravidlo: N- --> A-ní
novy par: trest --> trestní	 pravidlo: N- --> A-ní
novy par: tribut --> tributní	 pravidlo: N- --> A-ní
novy par: trofej --> trofejní	 pravidlo: N- --> A-ní
novy par: trůn --> trůnní	 pravidlo: N- --> A-ní
novy par: turbidit --> turbiditní	 pravidlo: N- --> A-ní
novy par: týden --> týdenní	 pravidlo: N- --> A-ní
novy par: týl --> týlní	 pravidlo: N- --> A-ní
novy par: účet --> účetní	 pravidlo: N- --> A-ní
novy par: účinnost --> účinnostní	 pravidlo: N- --> A-ní
novy par: událost --> událostní	 pravidlo: N- --> A-ní
@	novy par: údol --> údolní	 pravidlo: N- --> A-ní
novy par: újezd --> újezdní	 pravidlo: N- --> A-ní
novy par: ultraliberál --> ultraliberální	 pravidlo: N- --> A-ní
novy par: úmrtnost --> úmrtnostní	 pravidlo: N- --> A-ní
novy par: unikát --> unikátní	 pravidlo: N- --> A-ní
@	novy par: univerzál --> univerzální	 pravidlo: N- --> A-ní
@	novy par: urgent --> urgentní	 pravidlo: N- --> A-ní
novy par: úřad --> úřadní	 pravidlo: N- --> A-ní
novy par: ústav --> ústavní	 pravidlo: N- --> A-ní
@	novy par: ústroj --> ústrojní	 pravidlo: N- --> A-ní
novy par: úvěr --> úvěrní	 pravidlo: N- --> A-ní
novy par: úvod --> úvodní	 pravidlo: N- --> A-ní
@	novy par: vara --> varaní	 pravidlo: N- --> A-ní
novy par: var --> varní	 pravidlo: N- --> A-ní
novy par: věc --> věcní	 pravidlo: N- --> A-ní
novy par: večer --> večerní	 pravidlo: N- --> A-ní
novy par: vědomost --> vědomostní	 pravidlo: N- --> A-ní
novy par: velikost --> velikostní	 pravidlo: N- --> A-ní
novy par: velkoobchod --> velkoobchodní	 pravidlo: N- --> A-ní
novy par: velkoprodej --> velkoprodejní	 pravidlo: N- --> A-ní
novy par: venkov --> venkovní	 pravidlo: N- --> A-ní
novy par: věrnost --> věrnostní	 pravidlo: N- --> A-ní
novy par: vertikál --> vertikální	 pravidlo: N- --> A-ní
@	novy par: věst --> věstní	 pravidlo: N- --> A-ní
novy par: věž --> věžní	 pravidlo: N- --> A-ní
novy par: videofon --> videofonní	 pravidlo: N- --> A-ní
novy par: videotelefon --> videotelefonní	 pravidlo: N- --> A-ní
novy par: vikariát --> vikariátní	 pravidlo: N- --> A-ní
novy par: vinohrad --> vinohradní	 pravidlo: N- --> A-ní
novy par: virtuál --> virtuální	 pravidlo: N- --> A-ní
novy par: virtuóz --> virtuózní	 pravidlo: N- --> A-ní
novy par: vklad --> vkladní	 pravidlo: N- --> A-ní
novy par: vlád --> vládní	 pravidlo: N- --> A-ní
novy par: vlast --> vlastní	 pravidlo: N- --> A-ní
novy par: vlhkost --> vlhkostní	 pravidlo: N- --> A-ní
novy par: vodivost --> vodivostní	 pravidlo: N- --> A-ní
novy par: vodovod --> vodovodní	 pravidlo: N- --> A-ní
novy par: vokál --> vokální	 pravidlo: N- --> A-ní
novy par: vokativ --> vokativní	 pravidlo: N- --> A-ní
novy par: vrch --> vrchní	 pravidlo: N- --> A-ní
novy par: vrt --> vrtní	 pravidlo: N- --> A-ní
novy par: vřeten --> vřetenní	 pravidlo: N- --> A-ní
novy par: vstup --> vstupní	 pravidlo: N- --> A-ní
novy par: výběr --> výběrní	 pravidlo: N- --> A-ní
novy par: výčep --> výčepní	 pravidlo: N- --> A-ní
novy par: výčet --> výčetní	 pravidlo: N- --> A-ní
novy par: výdej --> výdejní	 pravidlo: N- --> A-ní
novy par: východojihovýchod --> východojihovýchodní	 pravidlo: N- --> A-ní
novy par: východoseverovýchod --> východoseverovýchodní	 pravidlo: N- --> A-ní
novy par: východ --> východní	 pravidlo: N- --> A-ní
novy par: výjezd --> výjezdní	 pravidlo: N- --> A-ní
novy par: výklad --> výkladní	 pravidlo: N- --> A-ní
novy par: výkonnost --> výkonnostní	 pravidlo: N- --> A-ní
novy par: výkup --> výkupní	 pravidlo: N- --> A-ní
novy par: výlet --> výletní	 pravidlo: N- --> A-ní
novy par: výlov --> výlovní	 pravidlo: N- --> A-ní
novy par: výpad --> výpadní	 pravidlo: N- --> A-ní
novy par: výpočet --> výpočetní	 pravidlo: N- --> A-ní
novy par: výpust --> výpustní	 pravidlo: N- --> A-ní
novy par: výsev --> výsevní	 pravidlo: N- --> A-ní
novy par: výslovnost --> výslovnostní	 pravidlo: N- --> A-ní
novy par: výsost --> výsostní	 pravidlo: N- --> A-ní
novy par: výstav --> výstavní	 pravidlo: N- --> A-ní
novy par: výstroj --> výstrojní	 pravidlo: N- --> A-ní
novy par: výstup --> výstupní	 pravidlo: N- --> A-ní
novy par: vytrvalost --> vytrvalostní	 pravidlo: N- --> A-ní
novy par: vývod --> vývodní	 pravidlo: N- --> A-ní
novy par: vývoz --> vývozní	 pravidlo: N- --> A-ní
novy par: výzbroj --> výzbrojní	 pravidlo: N- --> A-ní
novy par: vzájemnost --> vzájemnostní	 pravidlo: N- --> A-ní
novy par: vzdálenost --> vzdálenostní	 pravidlo: N- --> A-ní
novy par: vzdělanost --> vzdělanostní	 pravidlo: N- --> A-ní
@	novy par: xenofob --> xenofobní	 pravidlo: N- --> A-ní
novy par: zájezd --> zájezdní	 pravidlo: N- --> A-ní
novy par: základ --> základní	 pravidlo: N- --> A-ní
novy par: zákrov --> zákrovní	 pravidlo: N- --> A-ní
novy par: zaměstnanost --> zaměstnanostní	 pravidlo: N- --> A-ní
novy par: západojihozápad --> západojihozápadní	 pravidlo: N- --> A-ní
novy par: západoseverozápad --> západoseverozápadní	 pravidlo: N- --> A-ní
novy par: západ --> západní	 pravidlo: N- --> A-ní
novy par: zápis --> zápisní	 pravidlo: N- --> A-ní
@	novy par: zásad --> zásadní	 pravidlo: N- --> A-ní
@	novy par: zásob --> zásobní	 pravidlo: N- --> A-ní
novy par: zástup --> zástupní	 pravidlo: N- --> A-ní
novy par: závislost --> závislostní	 pravidlo: N- --> A-ní
novy par: závod --> závodní	 pravidlo: N- --> A-ní
novy par: záznam --> záznamní	 pravidlo: N- --> A-ní
novy par: zbroj --> zbrojní	 pravidlo: N- --> A-ní
novy par: zdvořilost --> zdvořilostní	 pravidlo: N- --> A-ní
novy par: zkušenost --> zkušenostní	 pravidlo: N- --> A-ní
novy par: znalost --> znalostní	 pravidlo: N- --> A-ní
novy par: zpěv --> zpěvní	 pravidlo: N- --> A-ní
novy par: zrnitost --> zrnitostní	 pravidlo: N- --> A-ní
novy par: zub --> zubní	 pravidlo: N- --> A-ní
novy par: zvyklost --> zvyklostní	 pravidlo: N- --> A-ní
novy par: žalář --> žalářní	 pravidlo: N- --> A-ní
novy par: živel --> živelní	 pravidlo: N- --> A-ní
novy par: životnost --> životnostní	 pravidlo: N- --> A-ní
novy par: život --> životní	 pravidlo: N- --> A-ní
novy par: almužna --> almužník	 pravidlo: N-a --> N-ík
novy par: Bala --> Balík	 pravidlo: N-a --> N-ík
novy par: Bana --> Baník	 pravidlo: N-a --> N-ík
novy par: barevna --> barevník	 pravidlo: N-a --> N-ík
novy par: Barva --> Barvík	 pravidlo: N-a --> N-ík
novy par: bavlna --> bavlník	 pravidlo: N-a --> N-ík
novy par: Blahna --> Blahník	 pravidlo: N-a --> N-ík
novy par: Buba --> Bubík	 pravidlo: N-a --> N-ík
novy par: Bubna --> Bubník	 pravidlo: N-a --> N-ík
novy par: bula --> bulík	 pravidlo: N-a --> N-ík
novy par: Bursa --> Bursík	 pravidlo: N-a --> N-ík
novy par: cela --> celík	 pravidlo: N-a --> N-ík
novy par: cena --> ceník	 pravidlo: N-a --> N-ík
novy par: čajovna --> čajovník	 pravidlo: N-a --> N-ík
novy par: Čepela --> Čepelík	 pravidlo: N-a --> N-ík
novy par: da --> dík	 pravidlo: N-a --> N-ík
novy par: dopravna --> dopravník	 pravidlo: N-a --> N-ík
novy par: družina --> družiník	 pravidlo: N-a --> N-ík
novy par: Duda --> Dudík	 pravidlo: N-a --> N-ík
novy par: Dula --> Dulík	 pravidlo: N-a --> N-ík
novy par: Faba --> Fabík	 pravidlo: N-a --> N-ík
novy par: Fanta --> Fantík	 pravidlo: N-a --> N-ík
novy par: Flora --> Florík	 pravidlo: N-a --> N-ík
novy par: Franta --> Frantík	 pravidlo: N-a --> N-ík
novy par: Gusta --> Gustík	 pravidlo: N-a --> N-ík
novy par: halapartna --> halapartník	 pravidlo: N-a --> N-ík
novy par: Haluza --> Haluzík	 pravidlo: N-a --> N-ík
novy par: Hola --> Holík	 pravidlo: N-a --> N-ík
novy par: Honza --> Honzík	 pravidlo: N-a --> N-ík
novy par: horna --> horník	 pravidlo: N-a --> N-ík
novy par: Hruda --> Hrudík	 pravidlo: N-a --> N-ík
novy par: hudebna --> hudebník	 pravidlo: N-a --> N-ík
novy par: Hula --> Hulík	 pravidlo: N-a --> N-ík
novy par: Chmela --> Chmelík	 pravidlo: N-a --> N-ík
novy par: Janča --> Jančík	 pravidlo: N-a --> N-ík
novy par: Janda --> Jandík	 pravidlo: N-a --> N-ík
novy par: Jena --> Jeník	 pravidlo: N-a --> N-ík
novy par: Jirsa --> Jirsík	 pravidlo: N-a --> N-ík
novy par: Jura --> Jurík	 pravidlo: N-a --> N-ík
novy par: Jurča --> Jurčík	 pravidlo: N-a --> N-ík
novy par: Jursa --> Jursík	 pravidlo: N-a --> N-ík
novy par: kapradina --> kapradiník	 pravidlo: N-a --> N-ík
novy par: karabina --> karabiník	 pravidlo: N-a --> N-ík
novy par: kavárna --> kavárník	 pravidlo: N-a --> N-ík
novy par: knihovna --> knihovník	 pravidlo: N-a --> N-ík
novy par: kola --> kolík	 pravidlo: N-a --> N-ík
novy par: kona --> koník	 pravidlo: N-a --> N-ík
novy par: Konopa --> Konopík	 pravidlo: N-a --> N-ík
novy par: kormidelna --> kormidelník	 pravidlo: N-a --> N-ík
novy par: Kosma --> Kosmík	 pravidlo: N-a --> N-ík
novy par: Krajča --> Krajčík	 pravidlo: N-a --> N-ík
novy par: Krejča --> Krejčík	 pravidlo: N-a --> N-ík
novy par: kuba --> kubík	 pravidlo: N-a --> N-ík
novy par: Kuba --> Kubík	 pravidlo: N-a --> N-ík
novy par: Kubala --> Kubalík	 pravidlo: N-a --> N-ík
novy par: Kudla --> Kudlík	 pravidlo: N-a --> N-ík
novy par: kuchta --> kuchtík	 pravidlo: N-a --> N-ík
novy par: kukla --> kuklík	 pravidlo: N-a --> N-ík
novy par: Kukla --> Kuklík	 pravidlo: N-a --> N-ík
novy par: Kula --> Kulík	 pravidlo: N-a --> N-ík
novy par: kuželna --> kuželník	 pravidlo: N-a --> N-ík
novy par: května --> květník	 pravidlo: N-a --> N-ík
novy par: lakýrna --> lakýrník	 pravidlo: N-a --> N-ík
novy par: Lána --> Láník	 pravidlo: N-a --> N-ík
novy par: latina --> latiník	 pravidlo: N-a --> N-ík
novy par: ledvina --> ledviník	 pravidlo: N-a --> N-ík
novy par: lékárna --> lékárník	 pravidlo: N-a --> N-ík
novy par: lodna --> lodník	 pravidlo: N-a --> N-ík
novy par: Lojza --> Lojzík	 pravidlo: N-a --> N-ík
novy par: Ludva --> Ludvík	 pravidlo: N-a --> N-ík
novy par: luna --> luník	 pravidlo: N-a --> N-ík
novy par: Mala --> Malík	 pravidlo: N-a --> N-ík
novy par: malina --> maliník	 pravidlo: N-a --> N-ík
novy par: Ma --> Mík	 pravidlo: N-a --> N-ík
novy par: Mandela --> Mandelík	 pravidlo: N-a --> N-ík
novy par: Maša --> Mašík	 pravidlo: N-a --> N-ík
novy par: Matula --> Matulík	 pravidlo: N-a --> N-ík
novy par: Mikula --> Mikulík	 pravidlo: N-a --> N-ík
novy par: nálevna --> nálevník	 pravidlo: N-a --> N-ík
novy par: nocležna --> nocležník	 pravidlo: N-a --> N-ík
novy par: opatrovna --> opatrovník	 pravidlo: N-a --> N-ík
novy par: Orla --> Orlík	 pravidlo: N-a --> N-ík
novy par: ostružina --> ostružiník	 pravidlo: N-a --> N-ík
novy par: Ota --> Otík	 pravidlo: N-a --> N-ík
novy par: papírna --> papírník	 pravidlo: N-a --> N-ík
novy par: Pavla --> Pavlík	 pravidlo: N-a --> N-ík
novy par: pepa --> pepík	 pravidlo: N-a --> N-ík
novy par: Pepa --> Pepík	 pravidlo: N-a --> N-ík
novy par: perla --> perlík	 pravidlo: N-a --> N-ík
novy par: perna --> perník	 pravidlo: N-a --> N-ík
novy par: pikola --> pikolík	 pravidlo: N-a --> N-ík
novy par: pokladna --> pokladník	 pravidlo: N-a --> N-ík
novy par: polda --> poldík	 pravidlo: N-a --> N-ík
novy par: porodna --> porodník	 pravidlo: N-a --> N-ík
novy par: posuvna --> posuvník	 pravidlo: N-a --> N-ík
novy par: poustevna --> poustevník	 pravidlo: N-a --> N-ík
novy par: pracovna --> pracovník	 pravidlo: N-a --> N-ík
novy par: prádelna --> prádelník	 pravidlo: N-a --> N-ík
novy par: pupa --> pupík	 pravidlo: N-a --> N-ík
novy par: rašelina --> rašeliník	 pravidlo: N-a --> N-ík
novy par: Repa --> Repík	 pravidlo: N-a --> N-ík
novy par: Rohla --> Rohlík	 pravidlo: N-a --> N-ík
novy par: rolna --> rolník	 pravidlo: N-a --> N-ík
novy par: rozdělovna --> rozdělovník	 pravidlo: N-a --> N-ík
novy par: rula --> rulík	 pravidlo: N-a --> N-ík
novy par: řepa --> řepík	 pravidlo: N-a --> N-ík
novy par: Skobla --> Skoblík	 pravidlo: N-a --> N-ík
novy par: slezina --> sleziník	 pravidlo: N-a --> N-ík
novy par: směnárna --> směnárník	 pravidlo: N-a --> N-ík
novy par: Smola --> Smolík	 pravidlo: N-a --> N-ík
novy par: soda --> sodík	 pravidlo: N-a --> N-ík
novy par: spoluvina --> spoluviník	 pravidlo: N-a --> N-ík
novy par: strana --> straník	 pravidlo: N-a --> N-ík
novy par: struna --> struník	 pravidlo: N-a --> N-ík
novy par: šatna --> šatník	 pravidlo: N-a --> N-ík
novy par: Šebesta --> Šebestík	 pravidlo: N-a --> N-ík
novy par: Špidla --> Špidlík	 pravidlo: N-a --> N-ík
novy par: Šula --> Šulík	 pravidlo: N-a --> N-ík
novy par: Švehla --> Švehlík	 pravidlo: N-a --> N-ík
novy par: tata --> tatík	 pravidlo: N-a --> N-ík
novy par: taxa --> taxík	 pravidlo: N-a --> N-ík
novy par: továrna --> továrník	 pravidlo: N-a --> N-ík
novy par: truhla --> truhlík	 pravidlo: N-a --> N-ík
novy par: úpravna --> úpravník	 pravidlo: N-a --> N-ík
novy par: Vaca --> Vacík	 pravidlo: N-a --> N-ík
novy par: Vila --> Vilík	 pravidlo: N-a --> N-ík
novy par: vinárna --> vinárník	 pravidlo: N-a --> N-ík
novy par: vina --> viník	 pravidlo: N-a --> N-ík
novy par: vlna --> vlník	 pravidlo: N-a --> N-ík
novy par: voda --> vodík	 pravidlo: N-a --> N-ík
novy par: Vojta --> Vojtík	 pravidlo: N-a --> N-ík
novy par: výměna --> výměník	 pravidlo: N-a --> N-ík
novy par: výrobna --> výrobník	 pravidlo: N-a --> N-ík
novy par: vzorkovna --> vzorkovník	 pravidlo: N-a --> N-ík
novy par: záložna --> záložník	 pravidlo: N-a --> N-ík
novy par: zásobna --> zásobník	 pravidlo: N-a --> N-ík
novy par: zastavárna --> zastavárník	 pravidlo: N-a --> N-ík
novy par: Zeta --> Zetík	 pravidlo: N-a --> N-ík
novy par: zkušebna --> zkušebník	 pravidlo: N-a --> N-ík
novy par: Aa --> Ain	 pravidlo: N-a --> N-in
novy par: alka --> alkin	 pravidlo: N-a --> N-in
novy par: Alva --> Alvin	 pravidlo: N-a --> N-in
novy par: atropa --> atropin	 pravidlo: N-a --> N-in
novy par: Babuška --> Babuškin	 pravidlo: N-a --> N-in
novy par: Basa --> Basin	 pravidlo: N-a --> N-in
novy par: Baza --> Bazin	 pravidlo: N-a --> N-in
novy par: Bega --> Begin	 pravidlo: N-a --> N-in
novy par: biota --> biotin	 pravidlo: N-a --> N-in
novy par: Boda --> Bodin	 pravidlo: N-a --> N-in
novy par: Buchara --> Bucharin	 pravidlo: N-a --> N-in
novy par: Buna --> Bunin	 pravidlo: N-a --> N-in
novy par: Ca --> Cin	 pravidlo: N-a --> N-in
novy par: celesta --> celestin	 pravidlo: N-a --> N-in
novy par: Cola --> Colin	 pravidlo: N-a --> N-in
novy par: cysta --> cystin	 pravidlo: N-a --> N-in
novy par: ča --> čin	 pravidlo: N-a --> N-in
novy par: Čunka --> Čunkin	 pravidlo: N-a --> N-in
novy par: Danda --> Dandin	 pravidlo: N-a --> N-in
novy par: Della --> Dellin	 pravidlo: N-a --> N-in
novy par: Deva --> Devin	 pravidlo: N-a --> N-in
novy par: Dubina --> Dubinin	 pravidlo: N-a --> N-in
novy par: Edda --> Eddin	 pravidlo: N-a --> N-in
novy par: efedra --> efedrin	 pravidlo: N-a --> N-in
novy par: Elka --> Elkin	 pravidlo: N-a --> N-in
novy par: Era --> Erin	 pravidlo: N-a --> N-in
novy par: Flora --> Florin	 pravidlo: N-a --> N-in
novy par: Foma --> Fomin	 pravidlo: N-a --> N-in
novy par: Galka --> Galkin	 pravidlo: N-a --> N-in
novy par: gama --> gamin	 pravidlo: N-a --> N-in
novy par: Gama --> Gamin	 pravidlo: N-a --> N-in
novy par: Gara --> Garin	 pravidlo: N-a --> N-in
novy par: Hajda --> Hajdin	 pravidlo: N-a --> N-in
novy par: Harda --> Hardin	 pravidlo: N-a --> N-in
novy par: hospoda --> hospodin	 pravidlo: N-a --> N-in
novy par: Ilja --> Iljin	 pravidlo: N-a --> N-in
novy par: Irma --> Irmin	 pravidlo: N-a --> N-in
novy par: Isa --> Isin	 pravidlo: N-a --> N-in
novy par: Jarda --> Jardin	 pravidlo: N-a --> N-in
novy par: Jula --> Julin	 pravidlo: N-a --> N-in
novy par: Kalina --> Kalinin	 pravidlo: N-a --> N-in
novy par: Kara --> Karin	 pravidlo: N-a --> N-in
novy par: Kosta --> Kostin	 pravidlo: N-a --> N-in
novy par: kurkuma --> kurkumin	 pravidlo: N-a --> N-in
novy par: Kuzma --> Kuzmin	 pravidlo: N-a --> N-in
novy par: Lada --> Ladin	 pravidlo: N-a --> N-in
novy par: La --> Lin	 pravidlo: N-a --> N-in
novy par: Lana --> Lanin	 pravidlo: N-a --> N-in
novy par: Laura --> Laurin	 pravidlo: N-a --> N-in
novy par: Lena --> Lenin	 pravidlo: N-a --> N-in
novy par: Luka --> Lukin	 pravidlo: N-a --> N-in
novy par: Luža --> Lužin	 pravidlo: N-a --> N-in
novy par: Mala --> Malin	 pravidlo: N-a --> N-in
novy par: ma --> min	 pravidlo: N-a --> N-in
novy par: Ma --> Min	 pravidlo: N-a --> N-in
novy par: Marina --> Marinin	 pravidlo: N-a --> N-in
novy par: Maryla --> Marylin	 pravidlo: N-a --> N-in
novy par: Mata --> Matin	 pravidlo: N-a --> N-in
novy par: Matura --> Maturin	 pravidlo: N-a --> N-in
novy par: Merta --> Mertin	 pravidlo: N-a --> N-in
novy par: Mucha --> Muchin	 pravidlo: N-a --> N-in
novy par: Nanka --> Nankin	 pravidlo: N-a --> N-in
novy par: Nikita --> Nikitin	 pravidlo: N-a --> N-in
novy par: Oda --> Odin	 pravidlo: N-a --> N-in
novy par: Ola --> Olin	 pravidlo: N-a --> N-in
novy par: Palata --> Palatin	 pravidlo: N-a --> N-in
novy par: parafa --> parafin	 pravidlo: N-a --> N-in
novy par: pastva --> pastvin	 pravidlo: N-a --> N-in
novy par: Pepa --> Pepin	 pravidlo: N-a --> N-in
novy par: Perka --> Perkin	 pravidlo: N-a --> N-in
novy par: petra --> petrin	 pravidlo: N-a --> N-in
novy par: Pipa --> Pipin	 pravidlo: N-a --> N-in
novy par: Pira --> Pirin	 pravidlo: N-a --> N-in
novy par: plazma --> plazmin	 pravidlo: N-a --> N-in
novy par: potrava --> potravin	 pravidlo: N-a --> N-in
novy par: Raba --> Rabin	 pravidlo: N-a --> N-in
novy par: Radka --> Radkin	 pravidlo: N-a --> N-in
novy par: ra --> rin	 pravidlo: N-a --> N-in
novy par: Repa --> Repin	 pravidlo: N-a --> N-in
novy par: Roda --> Rodin	 pravidlo: N-a --> N-in
novy par: Rosa --> Rosin	 pravidlo: N-a --> N-in
novy par: Ruda --> Rudin	 pravidlo: N-a --> N-in
novy par: Santora --> Santorin	 pravidlo: N-a --> N-in
novy par: Sava --> Savin	 pravidlo: N-a --> N-in
novy par: Severa --> Severin	 pravidlo: N-a --> N-in
novy par: Sipa --> Sipin	 pravidlo: N-a --> N-in
novy par: Sira --> Sirin	 pravidlo: N-a --> N-in
novy par: ska --> skin	 pravidlo: N-a --> N-in
novy par: Sura --> Surin	 pravidlo: N-a --> N-in
novy par: Šiška --> Šiškin	 pravidlo: N-a --> N-in
novy par: Tala --> Talin	 pravidlo: N-a --> N-in
novy par: Tamara --> Tamarin	 pravidlo: N-a --> N-in
novy par: Tama --> Tamin	 pravidlo: N-a --> N-in
novy par: Tema --> Temin	 pravidlo: N-a --> N-in
novy par: Tesla --> Teslin	 pravidlo: N-a --> N-in
novy par: Tessa --> Tessin	 pravidlo: N-a --> N-in
novy par: Toba --> Tobin	 pravidlo: N-a --> N-in
novy par: Tonka --> Tonkin	 pravidlo: N-a --> N-in
novy par: tromba --> trombin	 pravidlo: N-a --> N-in
novy par: Troška --> Troškin	 pravidlo: N-a --> N-in
novy par: Tura --> Turin	 pravidlo: N-a --> N-in
novy par: úča --> účin	 pravidlo: N-a --> N-in
novy par: urea --> urein	 pravidlo: N-a --> N-in
novy par: Vorona --> Voronin	 pravidlo: N-a --> N-in
novy par: Wa --> Win	 pravidlo: N-a --> N-in
