lemma	Best_parents	Annotated	sorted_parents	Best_parents_reversed	lemma_reversed	candidate_sorting_score	one_parent_in_lexicon	one_parent_in_lexicon_nosuffix	space_in_parent_candidates	PaReNT_Compound_probability	is_comp_w_known_parents	is_comp_w_known_status	all_parents_in_data_source	annotation_score
bilirubinometr	bilirubin metr	True	['bilirubin metr', '-bilirubin metr', 'bilirubin metret', 'bilirubinometr', 'bilirubino metr', 'bilirubin nemetr', 'bilirubin metrný', 'bilir ubin metr', 'bilirubin metrý', 'bilirubin nometr', 'libirubin metr', 'bilirubin imetr', 'bilirubinometrie', 'bilirubinómetr', 'biliur inometr']	rtem niburilib	rtemoniburilib	[21.0, 10.333333333333334, 10.25, 10.2, 10.142857142857142, 10.125, 10.11111111111111, 10.1, 10.090909090909092, 10.083333333333334, 10.071428571428571, 10.066666666666666, 0.5, 0.16666666666666666, 0.07692307692307693]	True	False	True	0.99677	True	True	True	3.99677
bílkovinotvorný	bílkovina tvořit	True	['bílkovinový tvorný', 'bílkovinový intvorný', 'bílkovinový vorný', 'bílkovinný vorný', 'bílkovinový intový', 'bílkovinový intovorný', 'bílkovina vorný', 'bílkovinový rný', 'bílkovinotvorný', 'bílkovinový intorný', 'bílkovinový chorný', 'bílkovinový jorný', 'bílkovinotvor', 'bílký vinotvorný', 'bílkovino vorný']	ýnrovt ývonivoklíb	ýnrovtonivoklíb	[21.0, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.1, 10.090909090909092, 10.083333333333334, 10.066666666666666, 0.5, 0.07692307692307693, 0.07142857142857142]	True	False	True	0.99746	False	True	True	2.99746
bíločernočervený	bílý černý červený	True	['bílý černočervený', 'bíločerný červený', 'bíl černočervený', 'bílčerný červený', 'bílčer červený', 'bílýčerný červený', 'bílý kernočervený', 'bílčýr červený', 'bílčer černoverný', 'bílčer červoní', 'bílčer červočníný', 'bílčer červočerný', 'bílčer černývený', 'bílčer černvený', 'bílčernočervený']	ýnevrečonreč ýlíb	ýnevrečonrečolíb	[21.0, 20.166666666666668, 19.071428571428573, 10.5, 10.333333333333334, 10.142857142857142, 10.11111111111111, 10.1, 0.25, 0.2, 0.125, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.06666666666666667]	True	True	True	0.97531	False	True	True	2.97531
bíločernomodrý	bílý černý modrý	True	['bílý černý modrý', 'bílý čern modrý', 'bíl černý modrý', 'bílý černí modrý', 'bílý černa modrý', 'bílý černomodrý', 'bílýa černý modrý', '-bílý- černý modrý', 'řílý černý modrý', 'Bílý černomodrý', 'bílý černmodrý', 'bílý čern-modrý', 'bílý', 'bílýčerný modrý', 'bílý čermonomodrý']	ýrdom ýnreč ýlíb	ýrdomonrečolíb	[31.0, 29.166666666666668, 29.11111111111111, 29.083333333333332, 29.071428571428573, 20.5, 20.142857142857142, 20.125, 20.076923076923077, 10.333333333333334, 10.25, 10.2, 10.1, 10.090909090909092, 10.066666666666666]	True	True	True	0.99462	True	True	True	3.99462
bíločernožlutý	bílý černý žlutý	True	['bílý černý žlutý', 'bílý černo žlutý', 'bílý černý žlut', 'bílý černožlutý', 'bílý černý žluty', 'bílý černý žlustý', 'bílý černožlut', 'bílý černožluštý', 'bílý černožluý', 'bílý černožlout', 'bílý černolžut', 'bílý černolžit', 'bílý černohlutý', 'bílý černožlustý', 'bílý černozlut']	ýtulž ýnreč ýlíb	ýtulžonrečolíb	[30.333333333333332, 30.25, 29.5, 21.0, 20.2, 20.1, 19.166666666666668, 10.142857142857142, 10.125, 10.11111111111111, 10.090909090909092, 10.083333333333334, 10.076923076923077, 10.071428571428571, 10.066666666666666]	True	True	True	0.99591	False	True	True	2.99591
bíločerný	bílý černý	True	['bílý černý', 'bílý černí', 'bílý černa', 'bílý čer', '-bílý černý', 'bílý černný', 'bílý čera', 'hílý černý', 'šílý černý', 'Bílý černa', 'líčer', 'líčerný', 'ébločer', 'šíločer', 'cíločerný']	ýnreč ýlíb	ýnrečolíb	[21.0, 19.5, 19.333333333333332, 19.1, 10.25, 10.125, 10.11111111111111, 10.083333333333334, 10.076923076923077, 9.2, 0.16666666666666666, 0.14285714285714285, 0.09090909090909091, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.98821	True	True	True	3.98821
bíločervenočerný	bílý červený černý	True	['bílý červený černý', 'bílý červenočerný', 'bílý červený očerný', 'bílý červený serní', 'bílý červený terný', 'bílý červený orní', 'bílý červený nečerný', 'bílý červený serverný', 'bílý červený nekerný', 'bílý červený servenný', 'bílý červený sterní', 'bílý červený', 'bílý červenný', 'bílý červení očerný', 'bílý červenokerný']	ýnreč ýnevreč ýlíb	ýnrečonevrečolíb	[30.333333333333332, 21.0, 20.5, 20.25, 20.2, 20.142857142857142, 20.11111111111111, 20.1, 20.09090909090909, 20.083333333333332, 20.071428571428573, 20.066666666666666, 10.166666666666666, 10.125, 10.076923076923077]	True	False	True	0.99363	False	True	True	2.99363
bíločervený	bílý červený	True	['bílý červený', 'bíl červený', 'bíločervený', 'bílý kervený', 'bíločerven', 'bílýčervený', 'bíločervena', 'bíločervení', 'bílýčerven', 'bílýčervení', 'víločervený', 'bílýčervit', 'bílečerven', 'bíločervet', 'bílýčervena']	ýnevreč ýlíb	ýnevrečolíb	[21.0, 19.11111111111111, 10.333333333333334, 10.166666666666666, 9.25, 0.5, 0.2, 0.14285714285714285, 0.125, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.9573	False	True	True	2.9573
bílohnědočervený	bílý hnědý červený	True	['bílý hnědý červený', 'bílohnědý červený', 'bílý hnědočervený', 'bílohněd červený', 'bílohnídý červený', 'bílohnědočervený', 'bilohnědý červený', 'bílohníd červený', 'bilohněd červený', 'bílohníde červený', 'bílohní dečervený', 'bílohní dočervený', 'bílohnídočervený', 'bílohnědočervení', 'bilohnědočervený']	ýnevreč ýděnh ýlíb	ýnevrečoděnholíb	[30.09090909090909, 21.0, 20.125, 19.5, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.076923076923077, 10.071428571428571, 0.14285714285714285, 0.1111111111111111, 0.1, 0.08333333333333333, 0.06666666666666667]	True	True	True	0.97806	False	True	True	2.97806
bílohnědozelený	bílý hnědý zelený	True	['bílý hnědý zelený', 'bílohnědý zelený', 'bílý hnědozelený', 'bíla hnědý zelený', 'bílý hnězdý zelený', 'bílohněd zelený', 'bílohnídý zelený', 'bíla hnědozelený', 'bílohnědozelený', 'bílohnízdý zelený', 'bílohnězdý zelený', 'bílohníd zelený', 'bílohnídozelený', 'bílohnízda mezelený', 'bílohnízel dezený']	ýnelez ýděnh ýlíb	ýnelezoděnholíb	[30.2, 21.0, 20.5, 20.11111111111111, 20.071428571428573, 19.076923076923077, 10.333333333333334, 10.25, 10.166666666666666, 10.125, 10.1, 10.090909090909092, 0.14285714285714285, 0.08333333333333333, 0.06666666666666667]	True	True	True	0.99042	False	True	True	2.99042
bílomodročerný	bílý modrý černý	True	['bílý modrý černý', 'bílý modr černý', 'bílý modra černý', 'bílý modročerný', 'bílomodrý černý', 'bílomodr černý', 'bílýmodr černý', 'bílý modróčerný', 'bílomodročerný', 'bílý modrčerný', 'bílý modrýčerný', 'bílýmodrý černý', 'bílomodročer', 'bílýmodročer', 'bílýmodročerný']	ýnreč ýrdom ýlíb	ýnrečordomolíb	[30.5, 29.2, 29.076923076923077, 21.0, 20.083333333333332, 19.11111111111111, 10.333333333333334, 10.142857142857142, 10.1, 10.090909090909092, 10.071428571428571, 10.066666666666666, 0.25, 0.16666666666666666, 0.125]	True	True	True	0.97284	False	True	True	2.97284
bílomodrozelený	bílý modrý zelený	True	['bílý modrozelený', 'bílo modrozelený', 'bílomodr zelený', 'bílomodrozelený', 'bílý modrozlený', 'bílomodrozelit', 'bílomo drozelený', 'mítolodrozelený', 'mítole drozelený', 'mílodrozelený', 'bílomodrozelenný', 'oblomodrozelený', 'mínodrozelený', 'bílomý drozelený', 'bílomodrozelena']	ýnelezordom ýlíb	ýnelezordomolíb	[21.0, 20.25, 19.071428571428573, 10.5, 10.076923076923077, 0.3333333333333333, 0.2, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.08333333333333333, 0.06666666666666667]	True	True	True	0.97813	False	True	True	2.97813
bílomodrý	bílý modrý	True	['bílý modrý', 'mílý modrý', 'mítlo modrý', 'bílý omodrý', 'bílý drom', 'bílý mödrý', 'lodomrý', 'bímý lodrý', 'šílomodrý', 'lodomý', 'mítlomodrý', 'mítlorý', 'mítlodomidrý', 'lodmor', 'mítlorýdý']	ýrdom ýlíb	ýrdomolíb	[21.0, 10.5, 10.333333333333334, 10.166666666666666, 10.1, 10.066666666666666, 0.25, 0.2, 0.14285714285714285, 0.125, 0.1111111111111111, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142]	True	False	True	0.94985	True	True	True	3.94985
bílomourovatý	bílý mourovatý	True	['bílý mourovatý', 'bílomourovatý', 'mourovatý', 'bilý mourovatý', 'bílýmourovatý', 'bílomour', 'bílmoourovatý', 'bélomourovatý', 'bilomourovatý', 'bílomourovátý', 'bílomourom', 'bilýmourovatý', 'bjelomourovatý', 'lomourovatý', 'bílomourový']	ýtavoruom ýlíb	ýtavoruomolíb	[20.5, 11.0, 10.11111111111111, 10.1, 0.3333333333333333, 0.25, 0.2, 0.16666666666666666, 0.14285714285714285, 0.125, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.94233	False	True	True	2.94233
bílooranžovo	bílý oranžový	True	['bílý oranžový', 'bílý oranžovo', 'bíl oranžový', 'bílý oranžovů', 'bílooranžový', 'bílý', 'bílý oranžové', 'bílý oranžová', 'bílý oranžovál', 'bílý oranžoví', 'bílýoranžový', 'bílýooranžový', 'bílýrooranžový', 'looranžový', 'bílýro arnáržový']	ývožnaro ýlíb	ovožnaroolíb	[21.0, 20.5, 19.066666666666666, 10.333333333333334, 10.25, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.1, 0.2, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142]	True	True	True	0.94752	True	True	True	3.94752
bílooranžový	bílý oranžový	True	['bílý oranžový', 'bílo oranžový', 'bíl oranžový', 'bílý oranžnový', 'bílý ranžový', 'bílý', 'bílooranž', 'bílýoranž', 'bílooranže', 'looranžový', 'líroonaržový', 'bíloranž', 'lírooranžový', 'rílooranžový', 'líroanžový']	ývožnaro ýlíb	ývožnaroolíb	[21.0, 20.076923076923077, 19.2, 10.25, 10.11111111111111, 10.090909090909092, 0.5, 0.3333333333333333, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1, 0.08333333333333333, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.99914	False	True	True	2.99914
bílošedooranžový	bílý šedý oranžový	True	['bílý šedý oranžový', 'bílošedý oranžový', 'bílý šedooranžový', 'bílýšedý oranžový', 'bílýšed oranžový', 'bílýšedooranž', 'bílýše dooranžový', 'bílýšedooranže', 'bílýšedooranžový', 'bílýšed ooranžový', 'bílošedooranž', 'bíloše dooranžový', 'bílýše dooranž', 'bílšoedooranž', 'bílýšedooranža']	ývožnaro ýdeš ýlíb	ývožnaroodešolíb	[30.11111111111111, 20.25, 20.2, 11.0, 10.1, 0.5, 0.3333333333333333, 0.16666666666666666, 0.14285714285714285, 0.125, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.99129	False	True	True	2.99129
bílostříbřitý	bílý stříbřitý	True	['bílý stříbřit', 'bílý stříbří', '-bilý- stříbřit', '-bilý stříbřit', 'bíl stříbří', 'bílostříbří', 'bílostříb', 'bílostříbek', '-bilý stříbří', '-bilý- tříbří', '-bilý- tříbřit', '-bilý- tříbřít', 'bílostříba', '-bilý- stříbří', 'bíla stříbří']	tiřbířts ýlíb	ýtiřbířtsolíb	[20.5, 10.333333333333334, 10.1, 10.090909090909092, 9.142857142857142, 1.0, 0.25, 0.2, 0.16666666666666666, 0.125, 0.1111111111111111, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.97936	False	True	True	2.97936
bílozelenočerný	bílý zelený černý	True	['bílý zelený černý', 'bílý zelena černý', 'bílý zele černý', 'bílý zelenočerný', 'Bílý zelený černý', 'bílýzele ný černý', 'bílýzelený černý', 'bílýzelen černý', 'bílýzele černý', 'bílýzele nčerný', 'bílýzele nečerný', 'bílýzele nočerný', 'bílýzele nečko', 'bílýzele nýčerný', 'bílýzele něčerný']	ýnreč ýnelez ýlíb	ýnrečonelezolíb	[31.0, 29.11111111111111, 29.076923076923077, 20.166666666666668, 20.1, 19.09090909090909, 10.5, 10.333333333333334, 10.25, 0.2, 0.14285714285714285, 0.125, 0.08333333333333333, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.995	False	True	True	2.995
bílozelenočervený	bílý zelený červený	True	['bílý zelený červený', 'bílý zelen červený', 'bílý zele červený', 'bílozelený červený', 'bílý zelenočervený', 'bílozelen červený', 'bílý zele čenočvervý', 'bílýzelen červený', 'bílýzelený červený', 'bílýzele červený', 'bílýzolene červený', 'bílozelenočervený', 'bílýzelenočervený', 'bílýzele nčervený', 'bílozele nčervený']	ýnevreč ýnelez ýlíb	ýnevrečonelezolíb	[31.0, 29.125, 29.071428571428573, 20.25, 20.166666666666668, 19.2, 19.066666666666666, 10.5, 10.333333333333334, 10.11111111111111, 10.083333333333334, 10.076923076923077, 0.14285714285714285, 0.1, 0.09090909090909091]	True	True	True	0.9935	False	True	True	2.9935
bílozelenozlatý	bílý zelený zlatý	True	['bílý zelený zlatý', 'bílý zelena zlatý', 'bílý zele zlatý', 'bílý zelenozlatý', 'bílý zelený zlaty', 'bílý zelený zlatí', 'bílý zelený zlata', 'bílý zele nozlatý', 'bílý zelenozlátý', 'bílý zelenozlost', 'Bílý zelenozlatý', 'bílý zelenzlatý', 'bílý zelenozlostý', 'bílý zelenozlostatý', 'lízelenozlatý']	ýtalz ýnelez ýlíb	ýtalzonelezolíb	[30.5, 29.125, 29.066666666666666, 21.0, 20.333333333333332, 20.2, 20.076923076923077, 19.09090909090909, 10.25, 10.166666666666666, 10.142857142857142, 10.11111111111111, 10.1, 10.071428571428571, 0.08333333333333333]	True	True	True	0.98536	False	True	True	2.98536
bílozelenožlutý	bílý zeleno žlutý	True	['bílý zeleno žlutý', 'bílý zelený žlut', 'bílý zeleno žlut', 'bílý zelena žlut', 'bílý zelenožlutý', 'bílý zelený žlout', 'bílý zelený luže', 'bílý zelený žlút', 'bílý zelený žlát', 'bílý zelený žlátut', 'bílý zeleno žlout', 'bílý zelený lžut', 'bílý zelenožlut', 'bílý zele ložlout', 'bílý zelenožlout']	ýtulž onelez ýlíb	ýtulžonelezolíb	[30.166666666666668, 30.0, 29.5, 28.083333333333332, 20.333333333333332, 20.25, 20.142857142857142, 20.11111111111111, 20.1, 20.09090909090909, 20.076923076923077, 20.071428571428573, 19.125, 19.066666666666666, 10.2]	True	True	True	0.9757	False	True	True	2.9757
bílozelený	bílý zelený	True	['bílý zelený', 'zelený', 'šílený', '-bleý zelený', 'zílený', 'éblozelit', 'élozelený', 'élezený', '-lezený', 'ilozelený', 'vílozelený', 'zíleý', 'zíle zený', 'ílozelený', 'zíleděný']	ýnelez ýlíb	ýnelezolíb	[21.0, 10.5, 10.166666666666666, 10.083333333333334, 0.3333333333333333, 0.25, 0.2, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.87233	True	True	True	3.87233
bílozlatý	bílý zlatý	True	['bílý zlatý', 'bílý zlaty', 'tílý zlatý', 'vílozl', 'cloatý', 'cloata', 'clatý', 'cloaz', 'lízatý', 'cloat', 'cloazatý', 'cloazutý', 'ébloze', 'éblozla', 'élozlatý']	ýtalz ýlíb	ýtalzolíb	[21.0, 10.5, 10.090909090909092, 0.3333333333333333, 0.25, 0.2, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.29458	True	True	True	3.29458
bíložlutočerný	bílý žlutý černý	True	['bíložlutý černý', 'bílý žlutočerný', 'bíllý žlutočerný', 'bílý luž točerný', 'bílý lužlotčerný', 'bílý lužlotočerný', 'bílý lužotčerný', 'bílý-žlutý černý', 'bílý lužcoterný', 'bílý luž tčerný', 'bílý lužtočerný', 'bílý-lutý černý', 'bílý lužcotčerný', 'bíllý žulotočerný', 'bíllý žulotčerný']	ýnreč ýtulžolíb	ýnrečotulžolíb	[21.0, 20.333333333333332, 10.5, 10.25, 10.2, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.090909090909092, 10.083333333333334, 10.071428571428571, 10.066666666666666, 0.1, 0.07692307692307693]	True	False	True	0.98065	False	True	True	2.98065
bíložlutý	bílý žlutý	True	['bílý lože', 'bílý ležet', 'bílý ložit', 'bílý lož', 'bílý žlut', 'bílý luže', 'bílý luž', 'bílý lužit', 'bílý lúže', 'bílý lažit', 'bílý ložo', 'bílý ložek', 'bílý lužlo', 'bílý lůže', 'bílý ložutý']	ežol ýlíb	ýtulžolíb	[20.333333333333332, 20.2, 20.11111111111111, 19.25, 19.125, 11.0, 10.5, 10.166666666666666, 10.142857142857142, 10.1, 10.090909090909092, 10.083333333333334, 10.076923076923077, 10.071428571428571, 10.066666666666666]	True	True	True	0.98494	True	True	True	3.98494
bioarcheologie	-bio- archeologie	True	['-bio- archeologie', 'bioarcheologie', '-biar archeologie', '-bio-', '-piaro- archeologie', '-piar- archeologie', '-biarcheologie', '-bioarcheologie', '-bioarcheologní', '-eiarcheologie', '-niarcheologie', '-bio-archeologie', '-biar acheologie', '-biar ancheologie', '-biar aceologie']	eigoloehcra -oib-	eigoloehcraoib	[21.0, 10.333333333333334, 10.2, 10.125, 10.083333333333334, 10.066666666666666, 0.5, 0.25, 0.16666666666666666, 0.14285714285714285, 0.1111111111111111, 0.1, 0.09090909090909091, 0.07692307692307693, 0.07142857142857142]	True	False	True	0.91146	True	True	True	3.91146
bioberan	-bio- beran	True	['-bio- beran', '-bio beran', '-bio  beran', 'bioberan', '-bio Beran', '-bioberan', '-bioberanie', '-bioberanus', 'obieran', '-bioberania', '-bioberanovat', 'Obier', '-bioBeran', 'obiaran', 'bioberanie']	nareb -oib-	nareboib	[20.5, 19.25, 19.166666666666668, 10.142857142857142, 9.2, 1.0, 0.3333333333333333, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.46016	True	True	True	3.46016
biochemie	-bio- chemie	True	['-bio- chemie', 'biochemie', 'chemie', '-bio- cemie', 'obio- chemie', '-bio- céchmie', '-bio- cemovie', '-bio- cémie', '-pio- chemie', '-bio- cemí', 'obiochemie', 'obehický', 'obemie', 'obio-', 'obeo-']	eimehc -oib-	eimehcoib	[21.0, 10.5, 10.333333333333334, 10.25, 10.2, 10.142857142857142, 10.090909090909092, 10.076923076923077, 10.071428571428571, 10.066666666666666, 0.16666666666666666, 0.125, 0.1111111111111111, 0.1, 0.08333333333333333]	True	False	True	0.51193	True	True	True	3.51193
biočip	-bio- čip	True	['-bio- čip', '-bio čip', 'biočip', '-bio- číp', '-biočip', '-biočipa', '-biočipan', '-biočipace', 'Biočip', 'biočipat', 'obiočip', '-biočep', '-biočipanit', '-biočipacký pročep', '-biočipacký proubák']	pič -oib-	pičoib	[21.0, 19.2, 10.5, 10.083333333333334, 0.3333333333333333, 0.25, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.96439	False	True	True	2.96439
biočistička	-bio- čistička	True	['-bio- čistička', '-biočistik', '-biočista', '-biočmista', 'biočista', '-bioč stička', '-bioč-stik', '-biočьstik', '-biočestik', '-biočtiska', '-biočistika', '-bioč stikka', '-biočmosta', '-biočmostik', '-bioč istička']	akčitsič -oib-	akčitsičoib	[21.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.08027	True	True	True	3.08027
biodoplněk	-bio- doplněk	True	['-bio- doplněk', '-bio- doplnění', '-bio- doplněný', '-bio doplněk', '-bio- doplněnec', '-bio- oplněk', '-bio- doplněnk', '-bio- doplněnka', '-bio- doplnět', '-biodoplný', 'biodoplný', 'dioplněk', '-biodooplný', '-biodouplný', '-bio-doplný']	kěnlpod -oib-	kěnlpodoib	[21.0, 20.333333333333332, 20.25, 19.066666666666666, 10.142857142857142, 10.11111111111111, 10.1, 10.076923076923077, 10.071428571428571, 0.5, 0.2, 0.16666666666666666, 0.125, 0.09090909090909091, 0.08333333333333333]	True	True	True	0.14391	True	True	True	3.14391
biodožínky	-bio- dožínky	True	['-bio- dožínky', '-bio dožínky', 'biodožínky', '-bio- dožínek', '-bio- důžínky', '-bio- dožinky', '-bio-', '-bio- dohínky', '-bio-dožínky', '-biodožínek', '-biodožínky', '-bio-dožínek', 'biodožínek', '-bio-dožínkynky', '-biodožínkynky']	yknížod -oib-	yknížodoib	[21.0, 19.066666666666666, 10.166666666666666, 10.125, 10.090909090909092, 10.083333333333334, 10.076923076923077, 10.071428571428571, 0.5, 0.3333333333333333, 0.25, 0.2, 0.14285714285714285, 0.1111111111111111, 0.1]	True	True	True	0.81584	True	True	True	3.81584
bioeidam	-bio- eidam	True	['-bio- eidam', 'bio eidam', '-bio eidam', 'bioeidam', '-bio-eidam', '-bioeidam', 'bioeidamie', 'bioaidam', 'bioeidAm', 'bioeoidam', 'bioeidám', 'vioeidam', 'bioe', '-bioeidamie', 'bioeidamny']	madie -oib-	madieoib	[20.5, 20.066666666666666, 19.166666666666668, 11.0, 0.3333333333333333, 0.25, 0.2, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142]	True	True	True	0.03435	True	True	True	3.03435
biofarmacie	-bio- farmacie	True	['-bio- farmacie', '-bio- farmovacie', '-bio- farmmacie', 'biofarma', '-biofarma', '-bioformacie', '-bioformatika', '-biofarmatizmus', '-biofarmatický', '-bioformace', '-biofarmacie', '-biofarmazie', '-biofarmatika', '-bioforma', '-bioformatický']	eicamraf -oib-	eicamrafoib	[21.0, 10.166666666666666, 10.090909090909092, 10.071428571428571, 0.5, 0.3333333333333333, 0.25, 0.2, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.08333333333333333, 0.07692307692307693, 0.06666666666666667]	True	False	True	0.1696	True	True	True	3.1696
bioforma	-bio- forma	True	['-bio- forma', '-bio forma', 'bioforma', '-bio- form-fa', '-bio- form-', '-bio- form-a', '-bioforma', 'obioframie', 'fiorma', 'fioforma', '-bioformie', '-bioformní', '-biof-roma', 'bioformie', 'obioforma']	amrof -oib-	amrofoib	[21.0, 19.25, 10.333333333333334, 10.2, 10.125, 10.071428571428571, 0.5, 0.16666666666666666, 0.14285714285714285, 0.1111111111111111, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.06666666666666667]	True	True	True	0.08072	True	True	True	3.08072
biogranule	-bio- granule	True	['-bio- granule', 'bio granule', '-bio  granule', 'biogranule', '-bio- gran- ule', '-bio- gran-ule', '-bio- gran-', '-bio- grannule', '-bio- granulèče', '-gio- granule', '-bio- -granule', '-bia- granule', '-bio- gran- leule', 'biogranula', 'pbiogranule']	elunarg -oib-	elunargoib	[21.0, 20.142857142857142, 19.09090909090909, 10.5, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.125, 10.11111111111111, 10.076923076923077, 10.071428571428571, 10.066666666666666, 0.1, 0.08333333333333333]	True	True	True	0.57545	True	True	True	3.57545
biohrnec	-bio- hrnec	True	['-bio- hrnec', 'biohrnec', '-bio- hrnova', '-bio- hrnce', '-bio- hrníc', '-biohrnec', 'biohrn', '-biohrn', 'Biohrn', '-biohrní', '-biohrník', 'biohrnský', '-biohernovat', '-biohern', '-biohrnovský']	cenrh -oib-	cenrhoib	[20.333333333333332, 10.142857142857142, 10.11111111111111, 10.071428571428571, 10.066666666666666, 1.0, 0.5, 0.25, 0.2, 0.16666666666666666, 0.125, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693]	True	False	True	0.00018	True	True	True	3.00018
biokampaň	-bio- kampaň	True	['-bio- kampaň', 'bio kampaň', '-bio  kampaň', 'biokampan', 'biokompampaň', 'Biokampan', 'biokampanovat', 'biokompampaný', 'biokampano', 'biokompaň', 'biokampanový', 'biokampanovať', 'biokompaný', 'biokompaňa', 'biokompampat']	ňapmak -oib-	ňapmakoib	[20.5, 20.11111111111111, 19.125, 1.0, 0.3333333333333333, 0.25, 0.2, 0.16666666666666666, 0.14285714285714285, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.9575	False	True	True	2.9575
biokapr	-bio- kapr	True	['-bio- kapr', 'bio kapr', 'biokapr', 'bio apr', '-bio- apr', '-bio- kaprp', 'bio akpr', '-bio- kaprep', '-bio- appr', 'biokapfr', 'biogapr', 'biokappr', 'Biokapr', 'capr', 'karp']	rpak -oib-	rpakoib	[20.5, 20.11111111111111, 11.0, 10.333333333333334, 10.25, 10.125, 10.1, 10.076923076923077, 10.066666666666666, 0.2, 0.16666666666666666, 0.14285714285714285, 0.09090909090909091, 0.08333333333333333, 0.07142857142857142]	True	False	True	0.95854	False	True	True	2.95854
bioklimatologie	-bio- klimatologie	True	['-bio- klimatologie', '-bio  klimatologie', 'bioklimatologie', 'klimatologie', '-bio- klimatologiela', '-bio- klimátologie', '-dio- klimatologie', '-bio- klimatologmie', '-bio- klimatologielat-mie', 'obiklimatologie', '-bioklimatologie', 'rioklimatologie', 'hioklimatologie', 'clamito-', '-miko- limatologie']	eigolotamilk -oib-	eigolotamilkoib	[21.0, 19.09090909090909, 10.5, 10.333333333333334, 10.2, 10.142857142857142, 10.1, 10.083333333333334, 10.066666666666666, 0.25, 0.16666666666666666, 0.125, 0.1111111111111111, 0.07692307692307693, 0.07142857142857142]	True	True	True	0.28537	True	True	True	3.28537
biokoenzym	-bio- koenzym	True	['-bio- koenzym', 'bio koenzym', 'biokoenzym', '-bio- kenzym', 'bioko enzym', 'bioteka enzym', 'biokeno sym', 'biokoen sym', 'biokeonsym', 'biotoen zym', 'biokeenzym', 'biočeon zym', 'biokenoeszym', 'biogenoenzym', 'biogekonsym']	myzneok -oib-	myzneokoib	[20.166666666666668, 20.125, 11.0, 10.25, 10.1, 10.071428571428571, 0.5, 0.3333333333333333, 0.2, 0.14285714285714285, 0.1111111111111111, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.06666666666666667]	True	False	True	0.01497	True	True	True	3.01497
