limitovat_V	limit_N
spektrální_A	spektrum_N
participiální_A	participium_N
ovariální_A	ovarium_N
maximální_A	maximum_N

Charvát_N	Charvátsko_N
Břeclav_N	Břeclavsko_N
Pelhřimov_N	Pelhřimovsko_N
Hodonín_N	Hodonínsko_N
Litvínov_N	Litvínovsko_N
Čáslav_N	Čáslavsko_N
Bruntál_N	Bruntálsko_N
Třebíč_N	Třebíčsko_N
Gottwaldov_N	Gottwaldovsko_N

kyselinka_N	kyselina_N
Hanka_N	Hana_N
řepka_N	řepa_N
výpravka_N	výprava_N
Sobotka_N	Sobota_N
Jurka_N	Jura_N
štětinka_N	štětina_N
Agátka_N	Agáta_N
Věrka_N	Věra_N

Kábulan_N	Kábul_None
Šanghajan_N	Šanghaj_None
Trutnovan_N	Trutnov_None
Kodaňan_N	Kodaň_None
Tachovan_N	Tachov_None
Záhřeban_N	Záhřeb_None
Kansasan_N	Kansas_None
Havajan_N	Havaj_None
Bombajan_N	Bombaj_None

mlýnice_N	mlýn_N
hadice_N	had_N
Ratibořice_N	Ratiboř_N
Přibyslavice_N	Přibyslav_N
čápice_N	čáp_N
rysice_N	rys_N
gepardice_N	gepard_N
denice_N	den_N
hlaholice_N	hlahol_N

kafovat_V	kafe_N
rýžovat_V	rýže_N
rolovat_V	role_N
koulovat_V	koule_N
porcovat_V	porce_N
licencovat_V	licence_N
formulovat_V	formule_N
šavlovat_V	šavle_N
rašplovat_V	rašple_N

rigorózum_N	rigorózní_A
negativum_N	negativní_A
adjektivum_N	adjektivní_A
kolektivum_N	kolektivní_A
pozitivum_N	pozitivní_A
abstraktum_N	abstraktní_A
intranzitivum_N	intranzitivní_A
tranzitivum_N	tranzitivní_A

máselný_A	máslo_N
číselný_A	číslo_N
strašidelný_A	strašidlo_N
pekelný_A	peklo_N
sádelný_A	sádlo_N
prvočíselný_A	prvočíslo_N
skelný_A	sklo_N
světelný_A	světlo_N

rebel_N	rebelie_N
pederast_N	pederastie_N
Abcház_N	Abcházie_N
Viktor_N	Viktorie_N
pediatr_N	pediatrie_N
demagog_N	demagogie_N
anatom_N	anatomie_N
Gal_N	Galie_N

rumíček_N	rum_N
páníček_N	pán_N
kamarádíček_N	kamarád_N
olejíček_N	olej_N
ksichtíček_N	ksicht_N
jetelíček_N	jetel_N
přítelíček_N	přítel_N
hladíček_N	hlad_N

disko_N	disk_N
brko_N	brk_N
septeto_N	septet_N
noneto_N	nonet_N
kvinteto_N	kvintet_N
prso_N	prs_N
okteto_N	oktet_N
sako_N	sak_N

planetární_A	planeta_N
utilitární_A	utilita_N
molekulární_A	molekula_N
kometární_A	kometa_N
legendární_A	legenda_N
proprietární_A	proprieta_N
lunární_A	luna_N
placentární_A	placenta_N

zpěvník_N	zpěv_N
výletník_N	výlet_N
sokolník_N	sokol_N
prsník_N	prs_N
kadeřník_N	kadeř_N
revírník_N	revír_N
jestřábník_N	jestřáb_N
koláčník_N	koláč_N

léčebný_A	léčba_N
vazebný_A	vazba_N
bohoslužebný_A	bohoslužba_N
skladebný_A	skladba_N
prosebný_A	prosba_N
malebný_A	malba_N
hrozebný_A	hrozba_N
služebný_A	služba_N

kursovní_A	kurs_N
erbovní_A	erb_N
plukovní_A	pluk_N
duchovní_A	duch_N
festovní_A	fest_N
kultovní_A	kult_N
klubovní_A	klub_N
gruntovní_A	grunt_N

taškář_N	taška_N
jirchář_N	jircha_N
civilkář_N	civilka_N
arendář_N	arenda_N
srandičkář_N	srandička_N
podlahář_N	podlaha_N
občankář_N	občanka_N
časovkář_N	časovka_N

konsorcium_N	konsorciální_A
labium_N	labiální_A
adverbium_N	adverbiální_A
individuum_N	individuální_A
neutrum_N	neutrální_A
optimum_N	optimální_A
teritorium_N	teritoriální_A
medium_N	mediální_A

mořit_V	mor_N
vířit_V	vír_N
vejřit_V	vejr_N
sejřit_V	sejr_N
magořit_V	magor_N
frajeřit_V	frajer_N
výřit_V	výr_N
bratřit_V	bratr_N

debata_N	debatovat_V
šikana_N	šikanovat_V
gilotina_N	gilotinovat_V
spára_N	spárovat_V
pila_N	pilovat_V
decima_N	decimovat_V
eskorta_N	eskortovat_V

zájemce_N	zájem_N
sumace_N	suma_N
jotace_N	jota_N
úvodce_N	úvod_N
nástupce_N	nástup_N
návodce_N	návod_N
parcelace_N	parcela_N

kultura_N	kult_N
oponentura_N	oponent_N
komandantura_N	komandant_N
receptura_N	recept_N
docentura_N	docent_N
prefektura_N	prefekt_N
textura_N	text_N

okvětí_N	okvětní_A
příručí_N	příruční_A
úmrtí_N	úmrtní_A
ústředí_N	ústřední_A
území_N	územní_A
obilí_N	obilní_A
doživotí_N	doživotní_A

úsečka_N	úsek_N
dyslektička_N	dyslektik_N
Masaryčka_N	Masaryk_N
maniačka_N	maniak_N
přesmyčka_N	přesmyk_N
zvučka_N	zvuk_N
česnečka_N	česnek_N

lučební_A	lučba_N
hradební_A	hradba_N
vazební_A	vazba_N
plavební_A	plavba_N
těžební_A	těžba_N
svatební_A	svatba_N
dražební_A	dražba_N

vervní_A	verva_N
aritní_A	arita_N
trávní_A	tráva_N
fakturní_A	faktura_N
subretní_A	subreta_N
stodolní_A	stodola_N
zásobní_A	zásoba_N

lyrika_N	lyra_N
rusistika_N	rusista_N
metodika_N	metoda_N
artistika_N	artista_N
germanistika_N	germanista_N
nordistika_N	nordista_N
slavistika_N	slavista_N

váhat_V	váha_N
črtat_V	črta_N
budovat_V	budova_N
sochat_V	socha_N
tlapat_V	tlapa_N
pýchat_V	pýcha_N
čárat_V	čára_N

začáteční_A	začátek_N
boční_A	bok_N
sváteční_A	svátek_N
půlroční_A	půlrok_N
potoční_A	potok_N
pupeční_A	pupek_N
žaludeční_A	žaludek_N

skočit_V	skok_N
tlačit_V	tlak_N
zračit_V	zrak_N
otročit_V	otrok_N
sočit_V	sok_N
léčit_V	lék_N
mračit_V	mrak_N

propanol_N	propan_N
hrbol_N	hrb_N
butanol_N	butan_N
oktanol_N	oktan_N
etanol_N	etan_N
pentanol_N	pentan_N
metanol_N	metan_N

Bhútánec_N	Bhútán_N
Jakubec_N	Jakub_N
Dunajec_N	Dunaj_N
Adamec_N	Adam_N
hadec_N	had_N
Salvadorec_N	Salvador_N
Martinec_N	Martin_N

kořeníčko_N	koření_N
péčko_N	pé_N
déčko_N	dé_N
pitíčko_N	pití_N
roštíčko_N	roští_N
listíčko_N	listí_N
céčko_N	cé_N

črta_N	črtat_V
duma_N	dumat_V
střída_N	střídat_V
říje_N	říjet_V
slinta_N	slintat_V
hoře_N	hořet_V
tříska_N	třískat_V

kaprař_N	kapr_N
bičař_N	bič_N
prsař_N	prs_N
kiksař_N	kiks_N
medař_N	med_N
pecař_N	pec_N
pstruhař_N	pstruh_N

osmačka_N	osmák_N
kamioňačka_N	kamioňák_N
sprosťačka_N	sprosťák_N
pijačka_N	piják_N
kádrovačka_N	kádrovák_N
Kladeňačka_N	Kladeňák_N
kozačka_N	kozák_N

závětní_A	závěť_N
hutní_A	huť_N
pouštní_A	poušť_N
pečetní_A	pečeť_N
pamětní_A	paměť_N
řitní_A	řiť_N
obětní_A	oběť_N

hřebenář_N	hřeben_N
česnekář_N	česnek_N
bufetář_N	bufet_N
kaktusář_N	kaktus_N
instrumentář_N	instrument_N
knoflíkář_N	knoflík_N

konzulát_N	konzul_N
magistrát_N	magistr_N
kalifát_N	kalif_N
protektorát_N	protektor_N
seniorát_N	senior_N
protestát_N	protest_N

štuleček_N	štulec_N
krmeleček_N	krmelec_N
vdoveček_N	vdovec_N
Zajíček_N	Zajíc_N
novorozeneček_N	novorozenec_N
uječek_N	ujec_N

habrovec_N	habr_N
pepřovec_N	pepř_N
drátovec_N	drát_N
rákosovec_N	rákos_N
býkovec_N	býk_N
Přemyslovec_N	Přemysl_N

židovna_N	žid_N
Maximovna_N	Maxim_N
Přemyslovna_N	Přemysl_N
štěrkovna_N	štěrk_N
serverovna_N	server_N
klubovna_N	klub_N

sdělný_A	sdělit_V
platný_A	platit_V
štěpný_A	štěpit_V
příčný_A	příčit_V
mluvný_A	mluvit_V
povolný_A	povolit_V

burzovní_A	burza_N
kasovní_A	kasa_N
poštovní_A	pošta_N
kastovní_A	kasta_N
srandovní_A	sranda_N
menzovní_A	menza_N

prokurista_N	prokura_N
citerista_N	citera_N
fujarista_N	fujara_N
gambista_N	gamba_N
katastrofista_N	katastrofa_N
aférista_N	aféra_N

příkře_D	příkrý_A
pestře_D	pestrý_A
jaře_D	jarý_A
chrabře_D	chrabrý_A
dobře_D	dobrý_A
bystře_D	bystrý_A

antagonizovat_V	antagonismus_N
automatizovat_V	automatismus_N
magnetizovat_V	magnetismus_N
bohemizovat_V	bohemismus_N
aktivizovat_V	aktivismus_N
byrokratizovat_V	byrokratismus_N

observatorní_A	observatoř_N
veterinární_A	veterinář_N
laboratorní_A	laboratoř_N
seminární_A	seminář_N
humanitární_A	humanitář_N
konzervatorní_A	konzervatoř_N

mourek_N	mour_N
krumpáček_N	krumpáč_N
šípek_N	šíp_N
Lounek_N	Loun_N
Arnoštek_N	Arnošt_N
Abrahámek_N	Abrahám_N

tvarohovina_N	tvaroh_N
chujovina_N	chuj_N
šusťákovina_N	šusťák_N
bukovina_N	buk_N
plášťovina_N	plášť_N
ptákovina_N	pták_N

ojnice_N	oj_N
chmelnice_N	chmel_N
hampejznice_N	hampejz_N
úvodnice_N	úvod_N
chobotnice_N	chobot_N
dopisnice_N	dopis_N

vřídelní_A	vřídlo_N
kormidelní_A	kormidlo_N
zřídelní_A	zřídlo_N
hrdelní_A	hrdlo_N
divadelní_A	divadlo_N
sídelní_A	sídlo_N

Ančincová_N	Ančinec_N
Vavřincová_N	Vavřinec_N
Klipcová_N	Klipec_N
Hadrbolcová_N	Hadrbolec_N
Zdichyncová_N	Zdichynec_N
Skurovcová_N	Skurovec_N

huťmistr_N	huť_N
strojmistr_N	stroj_N
cukrmistr_N	cukr_N
garážmistr_N	garáž_N
sbormistr_N	sbor_N
traťmistr_N	trať_N

savčí_A	savec_N
nosorožčí_A	nosorožec_N
samčí_A	samec_N
kančí_A	kanec_N
umrlčí_A	umrlec_N
sumčí_A	sumec_N

došek_N	doch_N
padoušek_N	padouch_N
smíšek_N	smích_N
úspěšek_N	úspěch_N
hrášek_N	hrách_N

absint_N	absintizmus_N
alkohol_N	alkoholizmus_N
amatér_N	amatérizmus_N
barbar_N	barbarizmus_N
kanibal_N	kanibalizmus_N

krámy_N	krám_N
anály_N	anál_N
hadry_N	hadr_N
Děčany_N	Děčan_N
Slovany_N	Slovan_N

štafl_N	štafle_N
financ_N	finance_N
pikl_N	pikle_N
reflex_N	reflexe_N
peníz_N	peníze_N

ječet_V	jek_N
pučet_V	puk_N
hrčet_V	hrk_N
zvučet_V	zvuk_N
ryčet_V	ryk_N

socializovat_V	sociální_A
medializovat_V	mediální_A
banalizovat_V	banální_A
aktualizovat_V	aktuální_A
materializovat_V	materiální_A

jeskyňka_N	jeskyně_N
kuchyňka_N	kuchyně_N
bachyňka_N	bachyně_N
hospodyňka_N	hospodyně_N
žákyňka_N	žákyně_N

džihádismus_N	džihád_N
chvostismus_N	chvost_N
fetišismus_N	fetiš_N
pozitivismus_N	pozitiv_N
somnambulismus_N	somnambul_N

mecháček_N	mech_N
chlupáček_N	chlup_N
rojáček_N	roj_N
špekáček_N	špek_N
pecháček_N	pech_N

lososárna_N	losos_N
tvarohárna_N	tvaroh_N
fízlárna_N	fízl_N
panelárna_N	panel_N
lehárna_N	leh_N

stranička_N	strana_N
rýmička_N	rýma_N
Evička_N	Eva_N
basička_N	basa_N
podkovička_N	podkova_N

archaizmus_N	archaický_A
erotizmus_N	erotický_A
eklektizmus_N	eklektický_A
synkretizmus_N	synkretický_A
romantizmus_N	romantický_A

hlukoměr_N	hluk_N
tukoměr_N	tuk_N
cukroměr_N	cukr_N
tlakoměr_N	tlak_N
krokoměr_N	krok_N

edukace_N	edukativní_A
atrakce_N	atraktivní_A
relace_N	relativní_A
intuice_N	intuitivní_A
konstituce_N	konstitutivní_A

stovečka_N	stovka_N
vrátečka_N	vrátka_N
aktovečka_N	aktovka_N
otýpečka_N	otýpka_N
kořalečka_N	kořalka_N

trýznit_V	trýzeň_N
žíznit_V	žízeň_N
rožnit_V	rožeň_N
básnit_V	báseň_N
tísnit_V	tíseň_N

stánek_N	stan_N
stojánek_N	stojan_N
hafánek_N	hafan_N
Zemánek_N	Zeman_N
Pražánek_N	Pražan_N

peprný_A	pepřit_V
pitvorný_A	pitvořit_V
šetrný_A	šetřit_V
marný_A	mařit_V
norný_A	nořit_V

žitovka_N	žito_N
masovka_N	maso_N
bradavka_N	brada_N
torpédovka_N	torpédo_N
kilovka_N	kilo_N

charitativní_A	charita_N
figurativní_A	figura_N
fakultativní_A	fakulta_N
autoritativní_A	autorita_N
taxativní_A	taxa_N

dluhopis_N	dluh_N
tiskopis_N	tisk_N
živočichopis_N	živočich_N
nerostopis_N	nerost_N
lékopis_N	lék_N

postřehnout_V	postřeh_N
koštnout_V	košt_N
šmrncnout_V	šmrnc_N
svitnout_V	svit_N
lesknout_V	lesk_N

metyl_N	metan_N
propyl_N	propan_N
butyl_N	butan_N
etyl_N	etan_N
pentyl_N	pentan_N

Vltavan_N	Vltava_N
Šumavan_N	Šumava_N
Kambodžan_N	Kambodža_N
Kazin_N	Kazi_N
Litvan_N	Litva_N

kulíšek_N	kulich_N
Jindříšek_N	Jindřich_N
ženíšek_N	ženich_N
živočíšek_N	živočich_N
mníšek_N	mnich_N

připuštění_N	připustit_V
dopuštění_N	dopustit_V
propuštění_N	propustit_V
rozpuštění_N	rozpustit_V
puštění_N	pustit_V

sorabista_N	sorabistika_N
apologeta_N	apologetika_N
germanista_N	germanistika_N
religionista_N	religionistika_N
afrikanista_N	afrikanistika_N

Kolumbijec_N	Kolumbie_N
Núbijec_N	Núbie_N
Galicijec_N	Galicie_N
Zambijec_N	Zambie_N
Namibijec_N	Namibie_N

exotika_N	exot_N
andělika_N	anděl_N
grafika_N	graf_N
fotonika_N	foton_N
symbolika_N	symbol_N

ústupný_A	ústupek_N
smutný_A	smutek_N
výsledný_A	výsledek_N
náramný_A	náramek_N
pořádný_A	pořádek_N

typizovat_V	typ_N
kolektivizovat_V	kolektiv_N
stylizovat_V	styl_N
katalogizovat_V	katalog_N
terorizovat_V	teror_N

kloboučník_N	klobouk_N
baráčník_N	barák_N
pátečník_N	pátek_N
zámečník_N	zámek_N
tabáčník_N	tabák_N

Timořan_N	Timor_N
Zaiřan_N	Zair_N
Madagaskařan_N	Madagaskar_N
Singapuřan_N	Singapur_N
Salvadořan_N	Salvador_N

baleťák_N	balet_N
byťák_N	byt_N
smrťák_N	smrt_N
čtvrťák_N	čtvrt_N
rafťák_N	raft_N

družit_V	druh_N
loužit_V	louh_N
tržit_V	trh_N
dlužit_V	dluh_N
soustružit_V	soustruh_N

plachtař_N	plachta_N
známkař_N	známka_N
tyčkař_N	tyčka_N
zprávař_N	zpráva_N
svíčkař_N	svíčka_N

štvavý_A	štvát_V
řvavý_A	řvát_V
žravý_A	žrát_V
spavý_A	spát_V
savý_A	sát_V

bokem_D	bok_N
obratem_D	obrat_N
dílem_D	díl_N
středem_D	střed_N
krokem_D	krok_N

sob_N	sobí_A
kojot_N	kojotí_A
krokodýl_N	krokodýlí_A
šimpanz_N	šimpanzí_A
holub_N	holubí_A

heslovitý_A	heslo_N
železovitý_A	železo_N
šídlovitý_A	šídlo_N
máslovitý_A	máslo_N

kvintet_N	kvinteto_N
nonet_N	noneto_N
oktet_N	okteto_N
septet_N	septeto_N

bohoslovec_N	bohosloví_N
utrpenec_N	utrpení_N
Záporožec_N	Záporoží_N
Polabec_N	Polabí_N

prosný_A	proso_N
žitný_A	žito_N
masný_A	maso_N
slovný_A	slovo_N

svor_N	svorka_N
Nor_N	Norka_N
záliv_N	zálivka_N
dým_N	dýmka_N

hlohyně_N	hloh_N
obryně_N	obr_N
sokyně_N	sok_N
žákyně_N	žák_N

asistence_N	asistovat_V
preference_N	preferovat_V
urgence_N	urgovat_V
existence_N	existovat_V

Žofka_N	Žofie_N
baterka_N	baterie_N
Natálka_N	Natálie_N
Lucka_N	Lucie_N

zlatohlavý_A	zlatohlav_N
ozimý_A	ozim_N
jaký_A	jak_N
pravěký_A	pravěk_N

přejezd_N	přejet_V
rozjezd_N	rozjet_V
nadjezd_N	nadjet_V
objezd_N	objet_V

gambler_N	gambling_N
busker_N	busking_N
curler_N	curling_N
spinner_N	spinning_N

nárok_N	náročný_A
hluk_N	hlučný_A
statek_N	statečný_A
opak_N	opačný_A

směneční_A	směnka_N
památeční_A	památka_N
kořaleční_A	kořalka_N
lebeční_A	lebka_N

recidiva_N	recidivista_N
kariéra_N	kariérista_N
komuna_N	komunista_N
droga_N	drogista_N

kompozit_N	kompozice_N
sekret_N	sekrece_N
ambit_N	ambice_N
recept_N	recepce_N

tvoreček_N	tvor_N
filmeček_N	film_N
výreček_N	výr_N
byteček_N	byt_N

synonymní_A	synonymum_N
pejorativní_A	pejorativum_N
adjektivní_A	adjektivum_N
substantivní_A	substantivum_N

močovod_N	moč_N
zvukovod_N	zvuk_N
chámovod_N	chám_N
kouřovod_N	kouř_N

plán_N	plánování_N
gril_N	grilování_N
respekt_N	respektování_N
stream_N	streamování_N

manifest_N	manifestace_N
port_N	portace_N
pastor_N	pastorace_N
konzum_N	konzumace_N

odpadky_N	odpad_N
tesilky_N	tesil_N
nůžky_N	nůž_N
golfky_N	golf_N

Srba_N	Srbová_N
Macka_N	Macková_N
Valenta_N	Valentová_N
Pěknica_N	Pěknicová_N

plivanec_N	plivat_V
kopanec_N	kopat_V
dlabanec_N	dlabat_V
cákanec_N	cákat_V

odpolední_A	odpoledne_N
dopolední_A	dopoledne_N
zmijí_A	zmije_N
polední_A	poledne_N

zubačka_N	zub_N
prdelačka_N	prdel_N
chocholačka_N	chochol_N
skotačka_N	skot_N

tvarůžek_N	tvaroh_N
parůžek_N	paroh_N
růžek_N	roh_N
batůžek_N	batoh_N

kosterní_A	kostra_N
veseloherní_A	veselohra_N
bederní_A	bedra_N
činoherní_A	činohra_N

kořalinka_N	kořalka_N
průdušinka_N	průduška_N
matinka_N	matka_N
žežulinka_N	žežulka_N

robotárna_N	robota_N
svobodárna_N	svoboda_N
bagetárna_N	bageta_N
paštikárna_N	paštika_N

kužel_N	kuželník_N
církev_N	církevník_N
nájezd_N	nájezdník_N
klenot_N	klenotník_N

komediální_A	komedie_N
bakteriální_A	bakterie_N
bestiální_A	bestie_N
kategoriální_A	kategorie_N

ordinariát_N	ordinář_N
sekretariát_N	sekretář_N
proletariát_N	proletář_N
primariát_N	primář_N

clonný_A	clona_N
trefný_A	trefa_N
protivný_A	protiva_N
notný_A	nota_N

snášenlivý_A	snášet_V
mlčenlivý_A	mlčet_V
úpěnlivý_A	úpět_V
zdrženlivý_A	zdržet_V

paprskovitý_A	paprsek_N
lilkovitý_A	lilek_N
ježkovitý_A	ježek_N
frackovitý_A	fracek_N

tenčit_V	tenký_A
měkčit_V	měkký_A
křehčit_V	křehký_A
vlhčit_V	vlhký_A

šperkovnice_N	šperk_N
dýmovnice_N	dým_N
hákovnice_N	hák_N
šachovnice_N	šach_N

Březnicko_N	Březnice_N
Litoměřicko_N	Litoměřice_N
Hejnicko_N	Hejnice_N
Pardubicko_N	Pardubice_N

morčecí_A	morče_N
štěněcí_A	štěně_N
hříběcí_A	hříbě_N
hraběcí_A	hrabě_N

efekt_N	efektivní_A
abort_N	abortivní_A
subjekt_N	subjektivní_A
progres_N	progresivní_A

prospektor_N	prospekt_N
falzifikátor_N	falzifikát_N
auditor_N	audit_N
faktor_N	fakt_N

Guatemalec_N	Guatemala_N
houbec_N	houba_N
zvěřinec_N	zvěřina_N
představec_N	představa_N

montovat_V	montáž_N
blamovat_V	blamáž_N
arbitrovat_V	arbitráž_N
sabotovat_V	sabotáž_N

rebelant_N	rebel_N
azylant_N	azyl_N
duelant_N	duel_N
ministrant_N	ministr_N

podpořit_V	podpora_N
kmotřit_V	kmotra_N
jiskřit_V	jiskra_N
sířit_V	síra_N

pilotáž_N	pilot_N
betonáž_N	beton_N
metráž_N	metr_N
gramáž_N	gram_N

Antonín_N	Antonie_N
Gruzín_N	Gruzie_N
Terezín_N	Terezie_N
Žofín_N	Žofie_N

Liberecko_N	Liberec_N
Třinecko_N	Třinec_N
Žatecko_N	Žatec_N
Prusko_N	Prus_N

kapitalizmus_N	kapitalista_N
materializmus_N	materialista_N
buddhizmus_N	buddhista_N
bonapartizmus_N	bonapartista_N

korbílek_N	korbel_N
manžílek_N	manžel_N
popílek_N	popel_N
kužílek_N	kužel_N

hatit_V	hať_N
plstit_V	plsť_N
pečetit_V	pečeť_N
drtit_V	drť_N

nehodovka_N	nehoda_N
bábovka_N	bába_N
láčkovka_N	láčka_N
dýhovka_N	dýha_N

rumiště_N	rum_N
pohřebiště_N	pohřeb_N
zápasiště_N	zápas_N
týniště_N	týn_N

Pompejan_N	Pompeje_N
Chilan_N	Chile_N
Zimbabwan_N	Zimbabwe_N

hlasitý_A	hlas_N
zákonitý_A	zákon_N
trnitý_A	trn_N

arizovat_V	arizace_N
bolševizovat_V	bolševizace_N
diftongizovat_V	diftongizace_N

orlí_A	orel_N
syslí_A	sysel_N
oslí_A	osel_N

kanalizovat_V	kanál_N
signalizovat_V	signál_N
paušalizovat_V	paušál_N

černá_N	černý_A
dobrá_N	dobrý_A
vysoká_N	vysoký_A

tvarohovatět_V	tvaroh_N
cukrovatět_V	cukr_N
fotrovatět_V	fotr_N

nitěný_A	nit_N
drátěný_A	drát_N
kostěný_A	kost_N

jízdné_N	jízda_N
výbavné_N	výbava_N
výchovné_N	výchova_N

krám_N	krámy_N
Loun_N	Louny_N
Vlach_N	Vlachy_N

výsměšný_A	výsměch_N
rušný_A	ruch_N
vzdušný_A	vzduch_N

čočička_N	čočka_N
žežulička_N	žežulka_N
Doubravička_N	Doubravka_N

chocholouš_N	chochol_N
cukrouš_N	cukr_N
vlkouš_N	vlk_N

pelíšek_N	pelech_N
plíšek_N	plech_N
oříšek_N	ořech_N

potomní_A	potom_D
zatímní_A	zatím_D
tamní_A	tam_D

tulipánovník_N	tulipán_N
gruntovník_N	grunt_N
cukrovník_N	cukr_N

páčit_V	páka_N
ručit_V	ruka_N
válčit_V	válka_N

vápencovitý_A	vápenec_N
válcovitý_A	válec_N
kopcovitý_A	kopec_N

Pavlík_N	Pavel_N
kablík_N	kabel_N
Karlík_N	Karel_N

bordýlek_N	bordel_N
hotýlek_N	hotel_N
věrtýlek_N	věrtel_N

zásobiště_N	zásoba_N
kotviště_N	kotva_N
kolbiště_N	kolba_N

jedinečný_A	jedinec_N
čtverečný_A	čtverec_N
měsíčný_A	měsíc_N

benignita_N	benigní_A
modernita_N	moderní_A
malignita_N	maligní_A

toxicita_N	toxický_A
autenticita_N	autentický_A
etnicita_N	etnický_A

bučina_N	buk_N
klučina_N	kluk_N
smrčina_N	smrk_N

sykat_V	syčet_V
mekat_V	mečet_V
frkat_V	frčet_V

gumovník_N	guma_N
myrhovník_N	myrha_N
mandarinkovník_N	mandarinka_N

tuberkul_N	tuberkulóza_N
vir_N	viróza_N
parazit_N	parazitóza_N

Sedlčany_N	Sedlčansko_N
Rokycany_N	Rokycansko_N
Klatovy_N	Klatovsko_N

čip_N	čipovka_N
akt_N	aktovka_N
banán_N	banánovka_N

bradavice_N	brada_N
nohavice_N	noha_N
bukvice_N	buk_N

kabina_N	kabinet_N
klarina_N	klarinet_N
kvarta_N	kvartet_N

vlčice_N	vlk_N
dračice_N	drak_N
račice_N	rak_N

máslař_N	máslo_N
mankař_N	manko_N
hovnař_N	hovno_N

archivistika_N	archiv_N
stylistika_N	styl_N
charakteristika_N	charakter_N

desátka_N	desátek_N
Radka_N	Radek_N
Františka_N	František_N

sok_N	sokyně_N
rek_N	rekyně_N
žák_N	žákyně_N

harmonovat_V	harmonie_N
atrofovat_V	atrofie_N
amnestovat_V	amnestie_N

toužit_V	touha_N
snažit_V	snaha_N
mlžit_V	mlha_N

muzejní_A	muzeum_N
jubilejní_A	jubileum_N
stipendijní_A	stipendium_N

památečný_A	památka_N
směnečný_A	směnka_N
podmínečný_A	podmínka_N

hnízdit_V	hnízdo_N
čelit_V	čelo_N
zrcadlit_V	zrcadlo_N

potom_D	potomní_A
zatím_D	zatímní_A
dosavad_D	dosavadní_A

vršit_V	vrch_N
rušit_V	ruch_N
strašit_V	strach_N

perový_A	pero_N
dnavý_A	dna_N
zimavý_A	zima_N

pilovitý_A	pila_N
cesmínovitý_A	cesmína_N
houbovitý_A	houba_N

Maledivec_N	Maledivy_N
Filipínec_N	Filipíny_N
Bahamec_N	Bahamy_N

špejlit_V	špejle_N
prasit_V	prase_N
randit_V	rande_N

prérijní_A	prérie_N
unijní_A	unie_N
galerijní_A	galerie_N

koncentrovat_V	koncentrák_N
buzerovat_V	buzerák_N
vekslovat_V	vekslák_N

spermie_N	sperma_N
satrapie_N	satrapa_N
partie_N	parta_N

mrzačit_V	mrzák_N
sedlačit_V	sedlák_N
pytlačit_V	pytlák_N

akrobacie_N	akrobat_N
akácie_N	akát_N
idiocie_N	idiot_N

bystřit_V	bystrý_A
modřit_V	modrý_A
mokřit_V	mokrý_A

obcovat_V	obec_N
válcovat_V	válec_N
poslancovat_V	poslanec_N

ožrala_N	ožralý_A
uhelna_N	uhelný_A
ruda_N	rudý_A

koincidovat_V	koincidence_N
evidovat_V	evidence_N
preferovat_V	preference_N

matice_N	matka_N
kytice_N	kytka_N
trojice_N	trojka_N

plůdek_N	plod_N
schůdek_N	schod_N
obchůdek_N	obchod_N

existencionální_A	existence_N
extenzionální_A	extenze_N
funkcionální_A	funkce_N

Košičan_N	Košice_N
Krasličan_N	Kraslice_N
Hraničan_N	Hranice_N

veslo_N	veslovat_V
věno_N	věnovat_V
pádlo_N	pádlovat_V

abstinovat_V	abstinent_N
dirigovat_V	dirigent_N
oponovat_V	oponent_N

syn_N	synáček_N
Mach_N	Macháček_N
špek_N	špekáček_N

kapitulant_N	kapitulovat_V
komandant_N	komandovat_V
fakturant_N	fakturovat_V

milostivý_A	milost_N
hněvivý_A	hněv_N
červotočivý_A	červotoč_N

Durynk_N	Durynsko_N
Šumperk_N	Šumpersko_N
Šternberk_N	Šternbersko_N

mocnit_V	moc_N
běsnit_V	běs_N
řečnit_V	řeč_N

morna_N	mor_N
kůlna_N	kůl_N
výhledna_N	výhled_N

autentizovat_V	autentický_A
dynamizovat_V	dynamický_A
ironizovat_V	ironický_A

Liberec_N	Liberecko_N
Prus_N	Prusko_N
Třinec_N	Třinecko_N

asimilát_N	asimilace_N
sublimát_N	sublimace_N
elaborát_N	elaborace_N

okenička_N	okenice_N
radlička_N	radlice_N
vichřička_N	vichřice_N

cop_N	copánek_N
Topol_N	Topolánek_N
Šafr_N	Šafránek_N

šéfovský_A	šéf_N
obrovský_A	obr_N
hofmistrovský_A	hofmistr_N

restituovat_V	restituce_N
substituovat_V	substituce_N
distribuovat_V	distribuce_N

hloubkoměr_N	hloubka_N
křivkoměr_N	křivka_N
srážkoměr_N	srážka_N

avantgardistický_A	avantgardizmus_N
entuziastický_A	entuziazmus_N
bonapartistický_A	bonapartizmus_N

Honzák_N	Honza_N
Opavák_N	Opava_N
Litvák_N	Litva_N

