absolutno 	 absolut-n-o 	 absolut-no
maličkosti 	 mal-ič-k-ost-i 	 mal-ičkosti
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 malk-ovského
mamlasovi 	 maml-as-ovi 	 mamlasovi
manager 	 manag-er 	 manager
manažerovi 	 manažer-ovi 	 manažerovi
manýrám 	 manýr-á-m 	 manýrám
manšestrovém 	 manšestr-ov-ém 	 manšestrovém
manšestrový 	 manšestr-ov-ý 	 manšestrový
manželský 	 manžel-sk-ý 	 manželsk-ý
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
marketingový 	 market-ing-ov-ý 	 marketingový
marně 	 mar-n-ě 	 marn-ě
martina 	 martin-a 	 martina
materialisty 	 mater-i-al-ist-y 	 materialisty
materiálové 	 materi-ál-ov-é 	 materiál-ové
materiálu 	 mater-i-ál-u 	 materiál-u
matrice 	 matr-ic-e 	 matrice
mazání 	 maz-á-n-í 	 mazá-n-í
melodie 	 melod-i-e 	 melodie
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyzick-ých
metafyziku 	 meta-fyz-ik-u 	 metafyziku
metodologicky 	 metodo-log-ic-k-y 	 metod-olog-icky
mezitím 	 mezi-t-ím 	 mezit-ím
meziříčí 	 mezi-říč-í 	 meziříč-í
mečení 	 meč-e-n-í 	 meč-en-í
mikroorganismy 	 mikro-organ-ism-y 	 mikroorganismy
milionů 	 mili-on-ů 	 milion-ů
milost 	 mil-ost 	 milost
milostpane 	 mil-ost-pan-e 	 mil-ostpane
mimoškolními 	 mimo-škol-n-ími 	 mim-oškol-n-ími
minimem 	 minim-em 	 min-imem
minimum 	 minim-um 	 minimum
ministerstva 	 minister-stv-a 	 ministerstva
ministři 	 ministř-i 	 ministři
minulý 	 min-ul-ý 	 minul-ý
mj 	 m-j 	 mj
mladého 	 mlad-é-ho 	 mlad-ého
mluvila 	 mluv-i-l-a 	 mluv-il-a
mlýna 	 ml-ýn-a 	 mlýn-a
mlčeli 	 mlč-e-l-i 	 mlče-l-i
mnichově 	 mnichov-ě 	 mnich-ově
mocná 	 moc-n-á 	 mocn-á
moderního 	 modern-í-ho 	 moder-n-ího
mohutnět 	 moh-ut-n-ě-t 	 mohut-ně-t
moje 	 moj-e 	 moje
mokro 	 mok-r-o 	 mokro
monopol 	 mono-pol 	 monopol
monopolu 	 mon-o-pol-u 	 monopol-u
montáž 	 mont-áž 	 montáž
moravec 	 morav-ec 	 moravec
morseovka 	 morse-ov-k-a 	 morseovk-a
motivací 	 motiv-ac-í 	 mot-iv-ac-í
motole 	 motol-e 	 motole
motorlet 	 motor-let 	 motorlet
motorletu 	 motor-let-u 	 motorletu
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mrcho 	 mrch-o 	 mrcho
mrtvé 	 mr-tv-é 	 mrtv-é
musela 	 mus-e-l-a 	 musel-a
muselo 	 mus-e-l-o 	 mus-el-o
mučírna 	 muč-írn-a 	 mučírn-a
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mužství 	 muž-stv-í 	 muž-ství
mylná 	 myl-n-á 	 myln-á
mysleli 	 mysl-e-l-i 	 mysl-e-li
mávne 	 máv-n-e 	 mávne
mésti 	 mést-i 	 mésti
míním 	 mín-í-m 	 mín-ím
místo 	 míst-o 	 místo
mých 	 m-ý-ch 	 mých
měli 	 mě-l-i 	 měl-i
měněn 	 měn-ěn 	 měněn
měřítka 	 měř-í-tk-a 	 měř-ítk-a
měřítku 	 měř-í-tk-u 	 měřítk-u
měšťanské 	 měšť-an-sk-é 	 měšťansk-é
mřížovec 	 mříž-ov-ec 	 mříž-ovec
nabitý 	 na-bi-t-ý 	 nabit-ý
nabyl 	 na-by-l 	 nabyl
nabytí 	 na-by-t-í 	 nabyt-í
nabídkových 	 na-bíd-k-ov-ých 	 nabídk-ov-ých
nabídla 	 na-bíd-l-a 	 na-bídl-a
nabízených 	 na-bíz-en-ých 	 nabíz-en-ých
nachlemtat 	 na-chlemt-a-t 	 nachlemtat
nachomýtnout 	 na-chomýt-nou-t 	 nachomýt-nout
nacizovávatelnost 	 na-ciz-ová-v-a-teln-ost 	 na-ciz-ová-v-atelnost
nadcházející 	 nad-cház-ej-íc-í 	 nad-cház-ej-ící
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nadindivi-du-ál-n-ího
nadout 	 na-dou-t 	 nadou-t
nadpočetné 	 nad-po-čet-n-é 	 nad-počet-n-é
nadychovat 	 na-dych-ova-t 	 nadych-ova-t
nadčlověctví 	 nad-člověc-tv-í 	 nadčl-ověctví
nadějemi 	 na-děj-e-m-i 	 nadějemi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nadš-ení
nadšením 	 na-dš-en-í-m 	 nadš-ením
najatí 	 na-j-a-t-í 	 najat-í
najezdit 	 na-jezd-i-t 	 najezd-i-t
nakolkovat 	 na-kol-k-ova-t 	 na-kolk-ova-t
namasírovat 	 na-mas-ír-ova-t 	 na-masír-ovat
namoci 	 na-moc-i 	 namoc-i
namésti 	 na-mést-i 	 na-mésti
nanášet 	 na-náš-e-t 	 na-náš-et
napajcovávání 	 na-pajc-ová-v-á-n-í 	 na-pajc-ová-ván-í
naprosto 	 na-prost-o 	 naprosto
napsali 	 na-ps-a-l-i 	 na-ps-a-li
narodilo 	 na-rod-i-l-o 	 na-rod-il-o
naruší 	 na-ruš-í 	 naruš-í
nasbíral 	 na-s-bír-a-l 	 na-sbír-a-l
naskicovat 	 na-skic-ova-t 	 naskic-ova-t
nasnídat 	 na-s-níd-a-t 	 nas-níd-a-t
nasázet 	 na-sáz-e-t 	 na-sáz-et
navagónovávatelnost 	 na-vagón-ová-v-a-teln-ost 	 na-vagón-ová-v-a-telnost
naveskrz 	 na-ve-skrz 	 naveskrz
navát 	 na-vá-t 	 navát
načal 	 na-č-a-l 	 nača-l
naškrábnout 	 na-škráb-nou-t 	 na-škráb-nout
naštvat 	 na-štv-a-t 	 na-štv-at
nebaleného 	 ne-bal-en-ého 	 nebal-en-ého
nebalený 	 ne-bal-en-ý 	 nebalen-ý
neboj 	 ne-boj 	 neboj
nebrat 	 ne-br-a-t 	 nebr-a-t
nebrání 	 ne-brán-í 	 nebr-á-n-í
nebyl 	 ne-by-l 	 neby-l
nechtěj 	 ne-cht-ě-j 	 nechtěj
nechybí 	 ne-chyb-í 	 nechyb-í
nechává 	 nech-á-v-á 	 ne-ch-á-v-á
necítím 	 ne-cít-í-m 	 ne-cít-ím
nedaleko 	 ne-dal-ek-o 	 nedaleko
nedat 	 ne-d-a-t 	 ned-a-t
nedaří 	 ne-dař-í 	 nedař-í
nedefinovatelné 	 ne-de-fin-ova-teln-é 	 nedefin-ovatelné
nedoceňuje 	 ne-do-ceň-uje 	 nedo-ceň-uje
nedávají 	 ne-d-á-v-aj-í 	 nedá-v-aj-í
nedávna 	 ne-dávn-a 	 nedávn-a
nedýchali 	 ne-dých-a-l-i 	 ne-dých-a-li
neexistovalo 	 ne-exist-ova-l-o 	 ne-exist-ova-lo
nehodlám 	 ne-hodl-á-m 	 ne-hodl-ám
neinkasoval 	 ne-in-kas-ova-l 	 ne-inkas-oval
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 nej-aktiv-n-ěj-š-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ějším
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-divo-č-ejší
nejdříve 	 nej-dřív-e 	 nejdříve
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ějších
nejlahodnější 	 nej-lahod-n-ěj-š-í 	 nej-la-hod-n-ěj-š-í
nejmenší 	 nej-men-š-í 	 nej-menš-í
nejpalčivější 	 nej-pal-č-iv-ěj-š-í 	 nej-pal-č-iv-ějš-í
nejpovolanějšímu 	 nej-po-vol-a-n-ějš-ímu 	 nej-povola-nějšímu
nejprve 	 nej-prv-e 	 nej-prve
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejsladším 	 nej-slad-š-í-m 	 nej-slad-š-ím
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vzdálen-ějš-í
nejvzácnější 	 nej-vzácn-ějš-í 	 nej-vzác-n-ějš-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 nej-zřetelněji
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ějších
nejžha 	 nej-žh-a 	 nejžha
nekompetentní 	 ne-kompet-ent-n-í 	 ne-kompetent-n-í
nekrytý 	 ne-kry-t-ý 	 ne-kryt-ý
nekvete 	 ne-kvet-e 	 ne-kvete
nelegální 	 ne-leg-ál-n-í 	 nelegál-n-í
nemocenského 	 ne-moc-en-sk-ého 	 ne-mocen-sk-ého
nemálo 	 ne-mál-o 	 nem-á-l-o
neměly 	 ne-m-ě-l-y 	 nemě-l-y
nemůže 	 ne-můž-e 	 nemůže
nenahradí 	 ne-na-hrad-í 	 nenahrad-í
nenamaže 	 ne-na-maž-e 	 nenamaže
nenech 	 ne-nech 	 nen-ech
neobtížím 	 ne-ob-tíž-í-m 	 ne-obtíž-ím
neodpovídající 	 ne-od-po-víd-aj-íc-í 	 ne-odpovíd-ající
neodpovídala 	 ne-od-po-víd-a-l-a 	 ne-odpov-íd-ala
neodvažujeme 	 ne-od-važ-uje-me 	 ne-od-važ-ujeme
neohrabané 	 ne-o-hrab-a-n-é 	 ne-o-hrab-an-é
nepodaří 	 ne-po-dař-í 	 nepod-ař-í
nepohnutě 	 ne-po-h-nu-t-ě 	 ne-pohnut-ě
nepolemizujme 	 ne-polem-iz-uj-me 	 ne-polem-izujme
neposkytnul 	 ne-po-skyt-nu-l 	 ne-po-skytnul
nepotápí 	 ne-po-táp-í 	 ne-potáp-í
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-ujete
nepravdivých 	 ne-prav-d-iv-ých 	 ne-pravd-iv-ých
neprodejným 	 ne-pro-dej-n-ým 	 ne-prodejn-ým
neprodělá 	 ne-pro-děl-á 	 ne-proděl-á
neprokáže 	 ne-pro-káž-e 	 ne-pro-káže
nepředepisují 	 ne-přede-pis-uj-í 	 ne-předepisují
nepředpokládám 	 ne-před-po-klád-á-m 	 ne-pře-dp-okládám
nepřehlédněte 	 ne-pře-hléd-n-ě-te 	 ne-přehléd-n-ěte
nepřesných 	 ne-přesn-ých 	 ne-přes-n-ých
nepřidává 	 ne-při-d-á-v-á 	 ne-přid-á-v-á
nepřišla 	 ne-při-š-l-a 	 ne-při-šl-a
nepříjemná 	 ne-pří-jem-n-á 	 ne-příjemn-á
nereálný 	 ne-reál-n-ý 	 nereáln-ý
nerozlišuje 	 ne-roz-liš-uje 	 ne-rozliš-uje
neroztříštěná 	 ne-roz-tříšt-ěn-á 	 ne-roz-tříštěn-á
nerušili 	 ne-ruš-i-l-i 	 ne-ruš-i-li
nervóznět 	 nerv-óz-n-ě-t 	 ne-rvóz-n-ě-t
nesena 	 nes-en-a 	 nesen-a
nesesedl 	 ne-se-sed-l 	 nesesedl
neshoří 	 ne-s-hoř-í 	 ne-shoř-í
neskromně 	 ne-s-krom-n-ě 	 ne-skrom-n-ě
nesmírná 	 ne-s-mír-n-á 	 ne-s-mírn-á
nesnesitelna 	 ne-s-nes-i-teln-a 	 ne-s-nes-i-telna
netušícího 	 ne-tuš-íc-ího 	 netuš-íc-ího
neudělal 	 ne-u-děl-a-l 	 ne-uděla-l
neukáže 	 ne-u-káž-e 	 neukáže
neumožňuje 	 ne-u-možň-uje 	 ne-umožňuje
neumí 	 ne-um-í 	 neum-í
neuměla 	 ne-um-ě-l-a 	 ne-umě-l-a
neupije 	 ne-u-pi-je 	 neupije
neuteče 	 ne-u-teč-e 	 ne-uteč-e
neuznává 	 ne-u-zn-á-v-á 	 ne-uzn-áv-á
nevhodnost 	 ne-v-hod-n-ost 	 nevhod-n-ost
nevinen 	 ne-vin-en 	 nevinen
nevrley 	 nevrley 	 ne-vrley
nevyhnutelné 	 ne-vy-h-nu-teln-é 	 ne-vy-hnu-telné
nevyskytly 	 ne-vy-skyt-l-y 	 ne-vy-skytl-y
nevysvětlíš 	 ne-vy-svět-l-í-š 	 ne-vy-světlíš
nevyznám 	 ne-vy-zn-á-m 	 nevyznám
nezahořeli 	 ne-za-hoř-e-l-i 	 ne-za-hoř-el-i
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-z-a-městnanosti
nezaoblená 	 ne-za-obl-en-á 	 ne-z-a-oblen-á
nezapsané 	 ne-za-ps-a-n-é 	 ne-za-psa-n-é
nezapíchnul 	 ne-za-pích-nu-l 	 ne-za-píchnul
nezavolali 	 ne-za-vol-a-l-i 	 ne-za-vol-al-i
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
nezbytné 	 ne-z-by-t-n-é 	 ne-z-byt-n-é
nezbytnými 	 ne-z-by-t-n-ými 	 ne-z-byt-n-ými
nezlob 	 ne-zlob 	 nez-lob
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-mého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-telnost
neúplných 	 ne-ú-pln-ých 	 ne-úpln-ých
nečinnosti 	 ne-čin-n-ost-i 	 ne-čin-n-osti
neříkejte 	 ne-řík-ej-te 	 ne-říkej-te
nijetzscheovi 	 nijetzsche-ovi 	 nij-etzscheovi
nimiž 	 n-imi-ž 	 nimiž
nitěných 	 nit-ěn-ý-ch 	 nitěn-ých
nocovávající 	 noc-ová-v-aj-íc-í 	 noc-ová-v-aj-ící
norem 	 norem 	 nor-em
nosatá 	 nos-at-á 	 nosat-á
nosem 	 nos-e-m 	 nos-em
novinám 	 nov-in-á-m 	 novin-ám
novočerkasku 	 novočerkask-u 	 nov-očerkask-u
náborové 	 ná-bor-ov-é 	 nábor-ov-é
nábytek 	 ná-by-tek 	 nábytek
nájemné 	 ná-jem-n-é 	 ná-jemn-é
náležela 	 ná-lež-e-l-a 	 ná-lež-el-a
námořník 	 ná-moř-n-ík 	 námoř-ník
náměty 	 ná-mět-y 	 námět-y
nápad 	 ná-pad 	 nápad
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nás 	 n-á-s 	 nás
následek 	 ná-sled-ek 	 ná-sledek
následujících 	 ná-sled-uj-íc-ích 	 ná-sled-ujících
následujícího 	 ná-sled-uj-íc-ího 	 ná-sled-uj-ícího
nástroj 	 ná-stroj 	 nástroj
návod 	 ná-vod 	 návod
návštěva 	 návštěv-a 	 návšt-ěv-a
návštěvnost 	 návštěv-n-ost 	 návštěv-nost
návštěvnosti 	 návštěv-n-ost-i 	 návštěv-n-osti
návštěvou 	 návštěv-ou 	 návšt-ěv-ou
názory 	 ná-zor-y 	 názor-y
ně 	 n-ě 	 ně
nějakém 	 ně-jak-é-m 	 něj-akém
nějakými 	 ně-jak-ými 	 něj-akými
někde 	 ně-kd-e 	 někde
něm 	 n-ě-m 	 něm
německý 	 něm-ec-k-ý 	 německ-ý
oba 	 ob-a 	 oba
obal 	 o-bal 	 oba-l
obalu 	 o-bal-u 	 obal-u
obchod 	 ob-chod 	 obchod
obchodům 	 ob-chod-ům 	 obchod-ům
obcích 	 obc-ích 	 obcích
obelstil 	 obe-lst-i-l 	 obelsti-l
obemknout 	 obe-mk-nou-t 	 obemk-nou-t
obepnout 	 obe-pn-ou-t 	 obep-nou-t
obetkat 	 obe-tk-a-t 	 obetk-at
obeznámit 	 obe-znám-i-t 	 obezn-ámi-t
objektem 	 ob-jekt-e-m 	 ob-jektem
objem 	 ob-jem 	 objem
obklíčit 	 ob-klíč-i-t 	 obklíč-i-t
oblastech 	 oblast-ech 	 oblastech
oblažit 	 o-blaž-i-t 	 ob-laž-i-t
oblíbený 	 ob-líb-en-ý 	 oblíb-en-ý
obnitkovat 	 ob-nit-k-ova-t 	 ob-nitk-ova-t
obnovovat 	 ob-nov-ova-t 	 obnov-ova-t
obor 	 o-bor 	 obor
oborat 	 ob-or-a-t 	 obor-a-t
obouvatelný 	 ob-ouv-a-teln-ý 	 obouv-a-teln-ý
obrali 	 o-br-a-l-i 	 obra-l-i
obrat 	 o-br-a-t 	 obrat
obrátek 	 ob-rát-ek 	 obrátek
obtahovat 	 ob-tah-ova-t 	 obtah-ova-t
obtěžkávat 	 ob-těž-k-á-v-a-t 	 ob-těžk-á-v-a-t
obydlet 	 o-bydl-e-t 	 obydlet
obzvlášť 	 ob-zvlášť 	 obzvlášť
občanského 	 obč-an-sk-ého 	 občan-sk-ého
ocejchovat 	 o-cejch-ova-t 	 o-cejchova-t
ocejchovávací 	 o-cejch-ová-v-a-c-í 	 o-cejch-ová-vac-í
oceli 	 ocel-i 	 oceli
ocenzurovávanost 	 o-cenzur-ová-v-a-n-ost 	 ocenzur-ovávanost
ochmatat 	 o-chmat-a-t 	 o-chmata-t
ochotna 	 ochot-n-a 	 o-chotn-a
ochranka 	 o-chran-k-a 	 o-chrank-a
octovat 	 oct-ova-t 	 oct-ovat
odborníky 	 od-bor-n-ík-y 	 odbor-ník-y
odbytové 	 od-by-t-ov-é 	 odbyt-ov-é
odběratel 	 od-běr-a-tel 	 od-běr-atel
odběratelem 	 od-běr-a-tel-em 	 od-běr-atel-em
odběru 	 od-běr-u 	 odběr-u
odchylka 	 od-chyl-k-a 	 odchylk-a
odchylky 	 od-chyl-k-y 	 odchylk-y
odcloňovat 	 od-cloň-ova-t 	 odcloň-ova-t
oddanosti 	 od-d-a-n-ost-i 	 odda-n-osti
oddat 	 od-d-a-t 	 odd-a-t
oddati 	 od-d-a-ti 	 odda-ti
oddechnout 	 od-dech-nou-t 	 oddech-nou-t
oddrolit 	 od-drol-i-t 	 oddrol-i-t
oddychovat 	 od-dych-ova-t 	 oddych-ova-t
oddávat 	 od-d-á-v-a-t 	 odd-á-v-at
odehnat 	 ode-hn-a-t 	 odehn-at
odehrávají 	 ode-hrá-v-aj-í 	 odehráv-aj-í
odepřela 	 ode-př-e-l-a 	 ode-přel-a
odervat 	 ode-rv-a-t 	 oderv-at
odeslaném 	 ode-sl-a-n-ém 	 odesl-a-n-ém
odesílat 	 ode-síl-a-t 	 odesíl-a-t
odevzdám 	 ode-vz-d-á-m 	 ode-vzdám
odevšad 	 ode-vš-ad 	 odevšad
odečte 	 ode-čt-e 	 odečte
odečtení 	 ode-čt-en-í 	 odečt-en-í
odečtou 	 ode-čt-ou 	 odečt-ou
odečítat 	 ode-čít-a-t 	 odečít-a-t
odfrčet 	 od-frč-e-t 	 od-frč-et
odhad 	 od-had 	 odhad
odhadu 	 od-had-u 	 odhad-u
odklad 	 od-klad 	 odklad
odkladem 	 od-klad-em 	 odklad-em
odkladu 	 od-klad-u 	 odklad-u
odkrvovat 	 od-krv-ova-t 	 odkrv-ova-t
odkývat 	 od-kýv-a-t 	 od-ký-v-at
odlevovat 	 od-lev-ova-t 	 odlev-ova-t
odlévání 	 od-lév-á-n-í 	 odlév-á-n-í
odmlčela 	 od-mlč-e-l-a 	 odmlč-el-a
odmésti 	 od-mést-i 	 od-mésti
odnoží 	 od-nož-í 	 odnož-í
odpluje 	 od-plu-je 	 od-pluje
odpomoci 	 od-po-moc-i 	 odpomoc-i
odpověď 	 od-po-věď 	 odpověď
odsoudcovat 	 od-soud-c-ova-t 	 od-soudc-ovat
odst 	 od-st 	 odst
odstartovat 	 od-start-ova-t 	 od-start-ovat
odstrašovat 	 od-straš-ova-t 	 od-straš-ovat
odtlouci 	 od-tlouc-i 	 odtlouc-i
odtrojmocnit 	 od-troj-moc-n-i-t 	 od-troj-m-oc-n-it
odtáhne 	 od-táh-ne 	 odtáhne
oduševnit 	 o-duš-ev-n-i-t 	 odušev-n-i-t
odvažuješ 	 od-važ-uje-š 	 od-važ-uješ
odřít 	 o-dř-í-t 	 odř-í-t
odžít 	 od-ží-t 	 odží-t
ohlodat 	 o-hlod-a-t 	 o-hloda-t
ohořelému 	 o-hoř-e-l-é-mu 	 ohoř-elému
ohřebelcovat 	 o-hřeb-el-c-ova-t 	 o-hřebelc-ovat
ojínět 	 o-jín-ě-t 	 ojín-ě-t
okamžitě 	 ok-a-mžit-ě 	 okamžit-ě
okartáčovat 	 o-kartáč-ova-t 	 okartáč-ovat
okolkovat 	 o-kol-k-ova-t 	 okol-k-ovat
okounět 	 okoun-ě-t 	 okoun-ět
okozlit 	 o-koz-l-i-t 	 o-kozl-i-t
oktrojovat 	 oktroj-ova-t 	 oktroj-ovat
oloupil 	 o-loup-i-l 	 oloup-i-l
olšanech 	 olšan-e-ch 	 olš-an-ech
omdlívat 	 o-mdl-í-v-a-t 	 omdl-í-v-a-t
omegou 	 omeg-ou 	 omegou
omezování 	 o-mez-ová-n-í 	 omez-ová-n-í
omlouval 	 o-mlouv-a-l 	 o-mlouva-l
omítce 	 o-mít-c-e 	 omítc-e
omžít 	 o-mž-í-t 	 omží-t
onen 	 on-en 	 onen
opancéřovat 	 o-pancéř-ova-t 	 opancéř-ovat
opatrností 	 o-patr-n-ost-í 	 o-patrn-ost-í
opatrný 	 o-patr-n-ý 	 opatr-n-ý
opačném 	 o-pač-n-é-m 	 opač-n-ém
opelichat 	 o-pelich-a-t 	 opelich-a-t
oplodňovat 	 o-plod-ň-ova-t 	 o-plodň-ova-t
oplésti 	 o-plést-i 	 o-plésti
opotřebovat 	 o-po-třeb-ova-t 	 opotřeb-ovat
opouští 	 o-pouš-t-í 	 opoušt-í
opouštějí 	 o-poušt-ěj-í 	 opoušt-ěj-í
opouštěl 	 o-poušt-ě-l 	 opouštěl
opovažuješ 	 o-po-važ-u-j-e-š 	 o-po-važ-uje-š
oranžista 	 oranž-ist-a 	 oranžista
orazítkovat 	 o-raz-í-tk-ova-t 	 orazítk-ovat
orchestrem 	 orchestr-e-m 	 orchestrem
organizují 	 organ-iz-u-j-í 	 organiz-uj-í
orientální 	 orient-ál-n-í 	 orientál-n-í
orlik 	 orl-ik 	 orlik
oroubovat 	 o-roub-ova-t 	 oroub-ova-t
osednout 	 o-sed-nou-t 	 osed-nou-t
oslintat 	 o-slint-a-t 	 oslinta-t
osmitisícový 	 osm-i-tisíc-ov-ý 	 osm-itisícov-ý
osmnácté 	 osm-náct-é 	 osmnáct-é
osmou 	 osm-ou 	 osmou
osobu 	 o-sob-u 	 osob-u
ospalost 	 o-sp-a-l-ost 	 o-spalost
ostatních 	 o-stat-n-í-ch 	 ostat-n-ích
ostrouhat 	 o-strouh-a-t 	 ostrouh-a-t
ostřihovat 	 o-střih-ova-t 	 o-střih-ovat
ostřit 	 ostř-i-t 	 o-stř-i-t
osudem 	 o-sud-e-m 	 osud-em
osudně 	 osud-n-ě 	 o-sud-n-ě
osvobození 	 o-svoboz-en-í 	 osvoboz-en-í
osvědčují 	 o-s-věd-č-u-j-í 	 o-svěd-č-uj-í
otevřel 	 ote-vř-e-l 	 otevřel
otevřely 	 ote-vř-e-l-y 	 otevřel-y
otevřena 	 ote-vř-en-a 	 otevřen-a
otevřít 	 ote-vř-í-t 	 otevří-t
otvírá 	 ot-vír-á 	 otvír-á
otěhotnět 	 o-těhot-n-ě-t 	 o-těhot-n-ět
ovadnout 	 o-vad-nou-t 	 ovad-nou-t
ovládání 	 o-vlád-á-n-í 	 ovlád-án-í
ovít 	 o-ví-t 	 oví-t
ověnčil 	 o-věn-č-i-l 	 ověn-č-i-l
oxfordského 	 oxford-sk-é-ho 	 oxford-sk-ého
ozdobovat 	 o-z-dob-ova-t 	 ozdob-ova-t
ozvalo 	 o-zv-a-l-o 	 ozv-a-l-o
ozřejmit 	 o-zřejm-i-t 	 ozřejm-i-t
očarování 	 o-čar-ová-n-í 	 očar-ová-n-í
očenichat 	 o-čenich-a-t 	 očenich-a-t
očima 	 oč-ima 	 očima
očí 	 oč-í 	 očí
ošukat 	 ošuk-a-t 	 o-šuk-a-t
ošvindlovat 	 o-švindl-ova-t 	 o-švindl-ovat
ošívat 	 o-ší-v-a-t 	 ošív-a-t
paběrkovat 	 pa-běr-k-ova-t 	 paběrk-ova-t
pacientovi 	 pac-i-ent-ovi 	 pacientovi
padesát 	 pa-desát 	 padesát
padesátku 	 pade-sát-k-u 	 padesátk-u
pageův 	 page-ův 	 pageův
pakovat 	 pak-ova-t 	 pak-ovat
palba 	 pal-b-a 	 palb-a
palermě 	 palerm-ě 	 palermě
panenka 	 pan-en-k-a 	 panenk-a
paničko 	 pan-ič-k-o 	 pan-ičko
panoval 	 pan-ova-l 	 pan-oval
panáček 	 pan-áč-ek 	 pan-áček
papouškovat 	 papouš-k-ova-t 	 papoušk-ovat
parasoudně 	 para-soud-n-ě 	 paras-oud-n-ě
parukou 	 paruk-ou 	 par-uk-ou
pasírovat 	 pasír-ova-t 	 pasír-ovat
patroni 	 patr-on-i 	 patroni
patřily 	 patř-i-l-y 	 patř-il-y
pavouček 	 pavouč-ek 	 pav-ouček
pekárenských 	 pek-ár-en-sk-ých 	 pekárensk-ých
perfektně 	 per-fekt-n-ě 	 per-fekt-ně
perutková 	 perut-k-ov-á 	 perutk-ov-á
petrolejově 	 petrolej-ov-ě 	 petrolej-ově
petynce 	 pety-n-c-e 	 petynce
pf 	 p-f 	 pf
pfeffermann 	 pfeffer-mann 	 pfeffermann
pil 	 pi-l 	 pil
pilují 	 pil-u-j-í 	 pil-uj-í
pisklavě 	 pisk-l-av-ě 	 pisklav-ě
pitomej 	 pitom-ej 	 pit-omej
plakáty 	 plakát-y 	 plak-át-y
planul 	 plan-u-l 	 planu-l
plat 	 plat 	 pla-t
platba 	 plat-b-a 	 platb-a
plačící 	 plač-í-c-í 	 plač-ící
pleteného 	 plet-en-é-ho 	 plet-en-ého
plivám 	 pliv-á-m 	 pliv-ám
plnohodnotné 	 pln-o-hod-n-ot-n-é 	 pln-ohod-notn-é
plnění 	 pln-ěn-í 	 plně-n-í
plodem 	 plod-e-m 	 plod-em
plují 	 plu-j-í 	 pluj-í
plukovník 	 pluk-ov-n-ík 	 pluk-ov-ník
plutokratismus 	 plut-o-krat-ism-us 	 plut-o-kratismus
plynulé 	 ply-nu-l-é 	 ply-nul-é
pobočkové 	 po-boč-k-ov-é 	 po-boč-k-ové
pobožnější 	 po-bož-n-ěj-š-í 	 po-bož-n-ějš-í
pochválena 	 po-chvál-en-a 	 pochválen-a
pochybnostech 	 po-chyb-n-ost-ech 	 po-chyb-n-ostech
podařilo 	 po-dař-i-l-o 	 podař-il-o
podaří 	 po-dař-í 	 pod-ař-í
podepsat 	 pode-ps-a-t 	 podepsa-t
podhrnout 	 pod-hrn-ou-t 	 pod-hr-nou-t
podivila 	 po-div-i-l-a 	 podiv-il-a
podivně 	 po-div-n-ě 	 pod-iv-n-ě
podivuhodné 	 po-div-u-hod-n-é 	 podiv-uhod-n-é
podklesat 	 pod-kles-a-t 	 pod-klesat
podlec 	 podl-ec 	 podlec
podlitina 	 pod-li-t-in-a 	 pod-litina
podmínkami 	 pod-mín-k-ami 	 pod-mínkami
podmíněny 	 pod-mín-ěn-y 	 pod-míněny
podnikatelskou 	 pod-nik-a-tel-sk-ou 	 pod-nik-a-telskou
podnikám 	 pod-nik-á-m 	 pod-nik-ám
podobalo 	 po-dob-a-l-o 	 podob-a-l-o
podobného 	 po-dob-n-é-ho 	 podob-n-ého
podobě 	 po-dob-ě 	 podob-ě
podotkl 	 po-do-tk-l 	 pod-otkl
podpírala 	 pod-pír-a-l-a 	 pod-pír-al-a
podružstevnit 	 po-druž-stev-n-i-t 	 podružstevnit
podráždění 	 po-drážd-ěn-í 	 pod-rážděn-í
podstupovat 	 pod-stup-ova-t 	 pod-stup-ovat
podtít 	 pod-t-í-t 	 podt-í-t
podupovat 	 po-dup-ova-t 	 podup-ova-t
