absolventi 	 ab-solv-ent-i 	 absolv-ent-i
sedmihradsku 	 sedmihradsk-u 	 sedm-i-hrad-sk-u
sedmé 	 sedm-é 	 sed-m-é
separátní 	 se-par-át-n-í 	 separát-n-í
sepnout 	 se-pn-ou-t 	 se-p-nou-t
signalizovali 	 signal-iz-ova-l-i 	 sign-al-iz-ova-l-i
silence 	 silence 	 sil-en-c-e
skutečnosti 	 s-kut-eč-n-ost-i 	 skuteč-n-ost-i
skutečném 	 s-kut-eč-n-é-m 	 skuteč-n-ém
skříní 	 skřín-í 	 skříní
slastí 	 slast-í 	 slastí
slev 	 s-lev 	 slev
sloupoví 	 sloup-ov-í 	 sloupoví
slovensko 	 sloven-sk-o 	 slov-en-sk-o
slovní 	 slov-n-í 	 slov-ní
slovník 	 slov-n-ík 	 slov-ník
slovným 	 slov-n-ý-m 	 slov-n-ým
smrtelném 	 s-mr-tel-n-é-m 	 s-mr-teln-ém
smrtelnému 	 s-mr-tel-n-é-mu 	 s-mr-teln-ému
smyslových 	 s-mysl-ov-ý-ch 	 smysl-ov-ých
smésti 	 s-mést-i 	 s-més-ti
směrem 	 s-měr-e-m 	 s-měr-em
snahami 	 snah-a-m-i 	 snah-ami
solarmax 	 solar-max 	 solarmax
solidních 	 solid-n-í-ch 	 solid-n-ích
sotva 	 sotva 	 sotv-a
soudním 	 soud-n-ím 	 soud-n-í-m
sousedního 	 sou-sed-n-í-ho 	 sou-sed-n-ího
soužit 	 souž-i-t 	 souži-t
specializované 	 speci-al-iz-ova-n-é 	 special-iz-ova-n-é
specifickým 	 speci-fic-k-ý-m 	 spe-ci-fic-k-ým
speciál 	 speci-ál 	 spec-iál
spekulací 	 spekul-ac-í 	 spek-ul-ac-í
spekulantem 	 spek-ul-ant-e-m 	 spek-ul-ant-em
spekulativní 	 spekul-at-iv-n-í 	 spek-ul-at-iv-n-í
spojkami 	 s-poj-k-a-m-i 	 s-poj-k-ami
spokojíte 	 s-pokoj-í-te 	 s-po-koj-í-te
spolupůsobit 	 spol-u-působ-i-t 	 spolu-pů-sob-i-t
sponzorsky 	 sponzor-sk-y 	 sp-on-zor-sk-y
spotřebitel 	 s-po-třeb-i-tel 	 s-po-třeb-itel
stadionu 	 stadion-u 	 stadio-n-u
stagnuje 	 stagn-uje 	 stag-n-uje
stanovit 	 stan-ov-i-t 	 stanov-i-t
starožitných 	 star-o-ži-t-n-ých 	 star-ožit-n-ých
starých 	 star-ý-ch 	 star-ých
stavení 	 sta-v-en-í 	 stav-en-í
stejném 	 stej-n-é-m 	 stejn-ém
stipendium 	 stipendi-um 	 stip-end-i-um
stokorunovou 	 st-o-korun-ov-ou 	 sto-korun-ov-ou
století 	 st-o-let-í 	 stol-et-í
stones 	 stone-s 	 stones
strahov 	 strahov 	 strah-ov
strahova 	 strahov-a 	 strah-ov-a
strahově 	 strahov-ě 	 strah-ov-ě
strašnicích 	 strašnic-í-ch 	 straš-nic-ích
strnutí 	 s-trn-u-t-í 	 s-tr-nu-t-í
strojírenské 	 stroj-íren-sk-é 	 strojíren-sk-é
studijní 	 stud-ij-n-í 	 stu-d-ij-n-í
studiích 	 stud-i-í-ch 	 stud-i-ích
střechách 	 střech-á-ch 	 střech-ách
stříbrolesklého 	 stříbr-o-lesk-l-é-ho 	 stříbr-o-leskl-ého
superdobrý 	 super-dobr-ý 	 su-perd-obr-ý
supraphon 	 supra-phon 	 supraphon
svalovou 	 sval-ov-ou 	 s-val-ov-ou
svraštil 	 s-vrašt-i-l 	 s-vraš-t-i-l
svát 	 s-vá-t 	 svá-t
svědomím 	 s-věd-om-í-m 	 s-věd-om-ím
světově 	 svět-ov-ě 	 svět-ově
systémem 	 systém-e-m 	 systém-em
tablety 	 tablet-y 	 tab-let-y
tajemství 	 taj-em-stv-í 	 taj-e-m-stv-í
takzvaném 	 tak-zv-a-n-é-m 	 tak-zv-a-n-ém
také 	 také 	 tak-é
tati 	 tat-i 	 tati
telefonního 	 tele-fon-n-í-ho 	 tele-fon-n-ího
televize 	 televize 	 televiz-e
temporalizovatelný 	 tempor-al-izova-teln-ý 	 temporal-izova-teln-ý
tendenci 	 tend-enc-i 	 tendenc-i
tenounkým 	 ten-oun-k-ý-m 	 ten-ounk-ým
tesklivých 	 tesk-l-iv-ý-ch 	 tesk-liv-ých
tetička 	 tet-ič-k-a 	 tet-ičk-a
textil 	 textil 	 text-i-l
thajska 	 thaj-sk-a 	 thajsk-a
tikem 	 tik-e-m 	 tik-em
tj 	 t-j 	 tj
tkalcovnictví 	 tka-lc-ovnic-tv-í 	 tk-a-l-c-ov-nic-tv-í
tlapkách 	 tlap-k-á-ch 	 tlap-k-ách
totožný 	 totožn-ý 	 to-tožn-ý
treperendo 	 treper-end-o 	 treperend-o
trpělivě 	 trp-ě-l-iv-ě 	 trp-ě-liv-ě
tull 	 tull 	 tul-l
turbovrtulových 	 turbo-vrt-ul-ov-ých 	 turbovrtul-ov-ých
turné 	 turné 	 turn-é
tušící 	 tuš-íc-í 	 tuš-ící
tvrzeními 	 tvrz-en-í-m-i 	 tvrz-en-ími
tzv 	 t-z-v 	 tzv
téhož 	 t-é-ho-ž 	 tého-ž
tímto 	 t-í-m-t-o 	 t-ím-t-o
tít 	 t-í-t 	 tí-t
týdeníku 	 týden-ík-u 	 týd-eník-u
těmi 	 t-ě-m-i 	 těmi
těšili 	 těš-i-l-i 	 těš-i-li
třemi 	 tř-e-m-i 	 tř-emi
třetím 	 tř-e-t-í-m 	 třet-í-m
třineckých 	 třinec-k-ých 	 tř-in-ec-k-ých
uhlí 	 uhl-í 	 uhlí
ukazuju 	 u-kaz-u-j-u 	 u-kaz-uj-u
ukrutným 	 u-krut-n-ý-m 	 u-krut-n-ým
ulici 	 ul-ic-i 	 ulic-i
uloženými 	 u-lož-en-ý-m-i 	 u-lož-en-ými
umožnilo 	 u-možn-i-l-o 	 u-mož-n-i-l-o
umožnily 	 u-možn-i-l-y 	 u-mož-n-i-l-y
uměle 	 u-m-ě-l-e 	 um-ě-l-e
umělostech 	 u-m-ě-l-ost-e-ch 	 um-ě-l-ost-ech
urgencích 	 urgenc-ích 	 urg-enc-ích
uriah 	 uriah 	 ur-iah
určeno 	 u-rč-en-o 	 u-rč-eno
určitě 	 urč-it-ě 	 u-rč-itě
uskutečnily 	 u-s-kut-eč-n-i-l-y 	 u-skuteč-n-i-l-y
ustrnule 	 u-s-trn-u-l-e 	 u-s-tr-nu-l-e
usvědčit 	 u-svědč-i-t 	 u-s-vědč-i-t
uzpůsobit 	 u-z-působ-i-t 	 u-z-pů-sob-i-t
učitel 	 uč-i-tel 	 uč-itel
užitečné 	 u-žit-eč-n-é 	 u-ži-t-eč-n-é
uživit 	 u-živ-i-t 	 u-ži-v-i-t
vanka 	 van-k-a 	 vank-a
velkého 	 vel-k-é-ho 	 vel-k-ého
velvyslanectví 	 vel-vy-sl-a-n-ec-tv-í 	 velv-ysl-a-n-ec-tv-í
ventures 	 venture-s 	 ventures
vesnici 	 ves-nic-i 	 ves-n-ic-i
vezmeš 	 vez-m-e-š 	 vez-meš
vezmou 	 vez-m-ou 	 vez-mou
veřejně 	 veř-ej-n-ě 	 veřej-n-ě
veškerým 	 veš-k-er-ý-m 	 veš-k-er-ým
vidimovat 	 vidim-ova-t 	 vid-im-ova-t
vinohradského 	 vinohrad-sk-é-ho 	 vinohrad-sk-ého
vlastního 	 vlast-n-í-ho 	 vlast-n-ího
vnitřnostech 	 v-nitř-n-ost-e-ch 	 v-nitř-n-ost-ech
vodolově 	 vodolov-ě 	 vodol-ov-ě
vrtulníky 	 vrt-ul-ník-y 	 vrtul-ník-y
vstupenek 	 vs-tup-en-ek 	 v-stup-en-ek
vstupenka 	 v-stup-enk-a 	 v-stup-en-k-a
vstupenku 	 v-stup-enk-u 	 v-stup-en-k-u
vstupenky 	 vstup-enk-y 	 v-stup-en-k-y
vydařeném 	 vy-dař-en-ém 	 vy-d-ař-e-n-ém
vynaložením 	 vy-na-lož-en-í-m 	 vy-na-lož-en-ím
vypočísti 	 vy-po-číst-i 	 vy-po-čís-ti
vyprovokovat 	 vy-pro-vok-ova-t 	 vy-provok-ova-t
vysokoškolské 	 vys-ok-o-škol-sk-é 	 vysok-o-š-kol-sk-é
vysokoškolský 	 vys-ok-o-škol-sk-ý 	 vys-ok-o-š-kol-sk-ý
vyspinkat 	 vy-sp-ink-a-t 	 vy-spink-a-t
vyspělým 	 vy-spě-l-ým 	 vy-spěl-ý-m
vystačovaný 	 vy-stač-ova-n-ý 	 vy-stač-ov-a-n-ý
vytvořeno 	 vy-tvoř-en-o 	 vy-tvoř-e-n-o
vytít 	 vy-t-í-t 	 vy-tí-t
vyzpytovat 	 vy-z-pyt-ova-t 	 vy-zpyt-ova-t
vyčísti 	 vy-číst-i 	 vy-čís-ti
vyřinout 	 vy-řin-ou-t 	 vy-ři-nou-t
vyžadonit 	 vy-žad-on-i-t 	 vy-žadon-i-t
vyžle 	 vyžle 	 vyžl-e
vzdělání 	 vz-děl-án-í 	 vz-děl-á-n-í
vzít 	 vz-í-t 	 v-zí-t
vás 	 v-á-s 	 vás
víte 	 v-í-te 	 ví-te
vítkovice 	 vít-k-ov-ic-e 	 vítk-ovic-e
vítězství 	 vítěz-ství 	 vítěz-stv-í
výdělečných 	 vý-děl-eč-n-ých 	 vý-děleč-n-ých
výpotek 	 vý-pot-ek 	 vý-potek
výsostným 	 výs-ost-n-ý-m 	 výs-ost-n-ým
výčitek 	 vý-čit-e-k 	 vý-čit-ek
výší 	 výš-í 	 výší
větrovka 	 větr-ovk-a 	 větr-ov-k-a
všeobecně 	 vš-e-obec-n-ě 	 vš-e-o-bec-n-ě
vůnička 	 vůn-ič-k-a 	 vůn-ičk-a
westermannem 	 westermann-e-m 	 westerman-n-em
whitney 	 whitney 	 whit-ne-y
yse 	 y-s-e 	 ys-e
zafilosofovat 	 za-filo-sof-ova-t 	 za-fil-osof-ova-t
zahozených 	 za-hoz-en-ý-ch 	 za-hoz-en-ých
zahynul 	 za-hyn-u-l 	 za-hy-nu-l
zakusitelno 	 za-kus-i-tel-n-o 	 za-kus-i-teln-o
zapomnění 	 za-po-mn-ě-n-í 	 za-po-mn-ěn-í
zapomínat 	 za-pomín-a-t 	 za-po-mín-a-t
započísti 	 za-po-číst-i 	 za-po-čís-ti
zardousil 	 za-rdous-i-l 	 za-rd-ous-i-l
zasahují 	 za-sah-u-j-í 	 za-sah-uj-í
zatvrzují 	 za-tvrz-u-j-í 	 za-tvrz-uj-í
zaujatý 	 z-au-j-a-t-ý 	 za-u-j-a-t-ý
zaujmouti 	 zau-jm-ou-ti 	 za-u-j-mou-ti
zavřeny 	 za-vř-e-n-y 	 za-vř-en-y
zařizovatel 	 za-řiz-ova-tel 	 za-řiz-ova-t-el
zdeničky 	 zden-ič-k-y 	 zden-ičk-y
zdeněk 	 zdeněk 	 zden-ěk
zdi 	 zd-i 	 zdi
zemana 	 zeman-a 	 ze-man-a
zemím 	 zem-ím 	 zem-í-m
zločinem 	 zl-o-čin-e-m 	 zl-o-čin-em
změněném 	 z-měn-ěn-é-m 	 z-měn-ěn-ém
znešvařena 	 z-ne-švař-en-a 	 zne-švař-en-a
znovuoživenost 	 z-nov-u-o-živ-en-ost 	 z-nov-u-o-ži-v-en-ost
znásobit 	 z-násob-i-t 	 z-ná-sob-i-t
znásobovaný 	 z-násob-ova-n-ý 	 zná-sob-ova-n-ý
zprostředkovatelské 	 z-pro-střed-k-ova-tel-sk-é 	 zpro-střed-kova-telské
zpustošit 	 z-pust-oš-i-t 	 z-pustoš-i-t
zpět 	 zpět 	 zpě-t
zpěvačka 	 z-pě-v-a-č-k-a 	 zpě-v-ač-k-a
zpřevracovat 	 z-pře-vrac-ova-t 	 zpře-vrac-ova-t
zrentgenovat 	 z-rentgen-ova-t 	 z-re-ntgen-ova-t
zveřejněné 	 z-veřej-n-ě-n-é 	 z-veřej-n-ěn-é
zveřejnění 	 z-veřej-n-ě-n-í 	 z-veřej-n-ěn-í
zvláště 	 zvláště 	 z-vlášt-ě
zvlášť 	 zvlášť 	 z-vláš-ť
zvážení 	 z-váž-en-í 	 z-váž-e-n-í
zádech 	 zád-e-ch 	 zád-ech
základem 	 zá-klad-e-m 	 zá-klad-em
závojnatkách 	 zá-voj-n-at-k-á-ch 	 zá-voj-n-at-k-ách
zůstalo 	 zů-sta-l-o 	 z-ů-sta-l-o
úspěšnější 	 ú-spěš-n-ějš-í 	 ú-spěš-n-ěj-š-í
ústav 	 ú-stav 	 ústav
útrobách 	 útrob-ách 	 ú-trob-ách
úzká 	 úz-k-á 	 úzk-á
úžasem 	 ú-žas-e-m 	 ú-žas-em
čekají 	 ček-aj-í 	 ček-ají
černým 	 čern-ý-m 	 čern-ým
českomalínský 	 česk-o-malín-sk-ý 	 čes-k-o-malín-sk-ý
českého 	 čes-k-é-ho 	 čes-k-ého
češtiny 	 češ-t-in-y 	 češt-in-y
článkem 	 člán-k-e-m 	 člán-k-em
čsfr 	 č-s-f-r 	 čsfr
čsn 	 č-s-n 	 čsn
čssr 	 č-s-s-r 	 čssr
čubička 	 čub-ič-k-a 	 čub-ičk-a
čubičku 	 čub-ič-k-u 	 čub-ičk-u
čzpi 	 č-z-p-i 	 čzp-i
čímkoliv 	 č-í-m-koliv 	 čí-m-koliv
řepkového 	 řep-k-ov-ého 	 řepk-ov-ého
říkají 	 řík-aj-í 	 řík-ají
šem 	 š-em 	 šem
šifrovaných 	 šifr-ova-n-ý-ch 	 šifr-ova-n-ých
šmejkal 	 šmejkal 	 šmejka-l
špionáže 	 špion-áž-e 	 špi-onáž-e
šumperka 	 šumperk-a 	 šumper-k-a
šíblová 	 šíbl-ová 	 šíbl-ov-á
žehravost 	 žehr-a-v-ost 	 žehrav-ost
železárnách 	 želez-árn-ách 	 žel-e-zár-n-ách
žernově 	 žernov-ě 	 žern-ov-ě
živnostenského 	 ži-v-n-ost-ensk-ého 	 ži-v-n-ost-en-sk-ého
životními 	 ži-v-ot-n-í-m-i 	 ži-v-ot-n-ími
