abbé 	 abb-é 	 ab-b-é
nosem 	 nos-e-m 	 nos-em
novočerkasku 	 novočerkask-u 	 novo-čerkask-u
nula 	 nul-a 	 nu-l-a
nuly 	 nul-y 	 nu-l-y
nykláku 	 nyklák-u 	 ny-klák-u
nymburka 	 nymburk-a 	 nymbur-k-a
nábytek 	 ná-by-tek 	 ná-by-t-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nás 	 n-á-s 	 ná-s
návštěva 	 návštěv-a 	 ná-vště-v-a
návštěvnost 	 návštěv-n-ost 	 ná-vštěv-n-ost
návštěvnosti 	 návštěv-n-ost-i 	 ná-vštěv-n-ost-i
návštěvou 	 návštěv-ou 	 ná-vště-v-ou
nějakém 	 ně-jak-é-m 	 ně-jak-ém
něm 	 n-ě-m 	 n-ěm
oba 	 ob-a 	 o-b-a
obal 	 o-bal 	 o-ba-l
obchodníkův 	 ob-chod-ník-ův 	 ob-chod-n-ík-ův
obci 	 obc-i 	 ob-c-i
obcích 	 obc-ích 	 ob-c-ích
obemknout 	 obe-mk-nou-t 	 ob-e-mk-nou-t
obepnout 	 obe-pn-ou-t 	 obep-nou-t
obetkat 	 obe-tk-a-t 	 obe-t-k-a-t
obeznámit 	 obe-znám-i-t 	 obe-zn-ám-i-t
objektem 	 ob-jekt-e-m 	 ob-jekt-em
oblastech 	 oblast-ech 	 o-blast-ech
oblizovat 	 ob-liz-ova-t 	 obl-iz-ova-t
obnitkovat 	 ob-nit-k-ova-t 	 ob-n-i-t-k-ova-t
oborat 	 ob-or-a-t 	 o-bor-a-t
obouvatelný 	 ob-ouv-a-teln-ý 	 o-b-ouv-a-teln-ý
obrátek 	 ob-rát-ek 	 ob-rá-t-ek
obzvlášť 	 ob-zvlášť 	 ob-z-vlášť
občanského 	 obč-an-sk-ého 	 ob-čan-sk-ého
oběda 	 oběd-a 	 o-běd-a
oběsil 	 oběs-i-l 	 o-běs-i-l
obživit 	 ob-živ-i-t 	 ob-ži-v-i-t
oceli 	 ocel-i 	 o-cel-i
ochotna 	 ochot-n-a 	 o-chot-n-a
ochraně 	 o-chran-ě 	 o-chra-n-ě
octovat 	 oct-ova-t 	 o-ct-ova-t
odbytové 	 od-by-t-ov-é 	 od-byt-ov-é
oddanosti 	 od-d-a-n-ost-i 	 od-da-n-ost-i
oddati 	 od-d-a-ti 	 od-d-a-t-i
odevšad 	 ode-vš-ad 	 ode-všad
odečte 	 ode-čt-e 	 od-eč-te
odečtení 	 ode-čt-en-í 	 od-e-čt-en-í
odkývat 	 od-kýv-a-t 	 od-ký-v-a-t
odloupat 	 od-loup-a-t 	 o-d-loup-a-t
odloupávat 	 od-loup-á-v-a-t 	 o-d-loup-á-v-a-t
odloženou 	 od-lož-en-ou 	 od-lož-e-n-ou
odložení 	 od-lož-en-í 	 od-lož-e-n-í
odlévání 	 od-lév-á-n-í 	 od-lé-v-á-n-í
odmalička 	 od-mal-ičk-a 	 od-mal-ič-k-a
odmésti 	 od-mést-i 	 od-més-t-i
odpluje 	 od-plu-je 	 od-pluje
odrazuje 	 od-raz-uje 	 odraz-uje
odsouvací 	 od-souv-a-c-í 	 od-sou-v-a-c-í
odtrojmocnit 	 od-troj-moc-n-i-t 	 od-tro-j-moc-n-i-t
odříkat 	 od-řík-a-t 	 odřík-a-t
odřít 	 o-dř-í-t 	 odř-í-t
odžít 	 od-ží-t 	 od-ž-í-t
ohořelému 	 o-hoř-e-l-é-mu 	 o-hoř-e-l-ému
ohřebelcovat 	 o-hřeb-el-c-ova-t 	 o-hře-belc-ova-t
okamžitě 	 ok-a-mžit-ě 	 o-kamž-i-t-ě
okounět 	 okoun-ě-t 	 o-koun-ě-t
okozlit 	 o-koz-l-i-t 	 o-kozl-i-t
okresní 	 okres-n-í 	 o-kres-n-í
oktrojovat 	 oktroj-ova-t 	 o-ktroj-ova-t
olšanech 	 olšan-e-ch 	 olšan-ech
omegou 	 omeg-ou 	 o-megou
onen 	 on-en 	 onen
opancéřovat 	 o-pancéř-ova-t 	 o-pan-céř-ova-t
opačném 	 o-pač-n-é-m 	 o-pač-n-ém
opelichat 	 o-pelich-a-t 	 o-pel-ich-a-t
operacích 	 oper-ac-ích 	 o-per-ac-ích
oplésti 	 o-plést-i 	 o-plés-t-i
opouští 	 o-pouš-t-í 	 o-poušt-í
opovažuješ 	 o-po-važ-u-j-e-š 	 o-p-o-važ-uje-š
oranžista 	 oranž-ist-a 	 oranžist-a
orazítkovat 	 o-raz-í-tk-ova-t 	 o-raz-í-t-k-ova-t
orchestrem 	 orchestr-e-m 	 orchestr-em
organismus 	 organismus 	 organ-ism-us
organizují 	 organ-iz-u-j-í 	 organ-iz-uj-í
orlí 	 orl-í 	 or-l-í
oskar 	 oskar 	 o-skar
osmitisícový 	 osm-i-tisíc-ov-ý 	 o-sm-i-t-is-íc-ov-ý
osmnácté 	 osm-náct-é 	 o-sm-náct-é
osmou 	 osm-ou 	 o-sm-ou
ospalost 	 o-sp-a-l-ost 	 o-spa-l-ost
ostatních 	 o-stat-n-í-ch 	 o-stat-n-ích
ostravské 	 ostrav-sk-é 	 o-strav-sk-é
ostravy 	 ostrav-y 	 o-strav-y
ostřit 	 ostř-i-t 	 o-stř-i-t
osudem 	 o-sud-e-m 	 o-sud-em
osudně 	 osud-n-ě 	 o-sud-n-ě
osvobození 	 o-svoboz-en-í 	 o-svob-oz-e-n-í
osvědčovat 	 o-svědč-ova-t 	 o-s-věd-č-ova-t
osvědčují 	 o-s-věd-č-u-j-í 	 o-s-věd-č-uj-í
otevřena 	 ote-vř-en-a 	 ote-vř-e-n-a
otvírá 	 ot-vír-á 	 o-t-vír-á
oxfordského 	 oxford-sk-é-ho 	 oxford-sk-ého
oznobovat 	 o-znob-ova-t 	 o-zn-ob-ova-t
ozvalo 	 o-zv-a-l-o 	 o-z-va-l-o
ozřejmit 	 o-zřejm-i-t 	 o-zř-e-jm-i-t
očenichat 	 o-čenich-a-t 	 o-čen-ich-a-t
očima 	 oč-ima 	 o-č-i-m-a
očí 	 oč-í 	 o-č-í
očíslit 	 o-čísl-i-t 	 o-čís-l-i-t
ošukat 	 ošuk-a-t 	 o-šuk-a-t
ošvindlovat 	 o-švindl-ova-t 	 o-švin-dl-ova-t
paběrkovat 	 pa-běr-k-ova-t 	 paběr-k-ova-t
pacientovi 	 pac-i-ent-ovi 	 pacient-ovi
padesát 	 pa-desát 	 padesá-t
padesátku 	 pade-sát-k-u 	 padesát-k-u
palermě 	 palerm-ě 	 paler-m-ě
panáček 	 pan-áč-ek 	 pan-á-č-ek
parasoudně 	 para-soud-n-ě 	 parasoud-n-ě
pasírovat 	 pasír-ova-t 	 pas-ír-ova-t
patroni 	 patr-on-i 	 patron-i
pavel 	 pavel 	 pav-el
pavlačí 	 pavlač-í 	 pa-vlač-í
pavouček 	 pavouč-ek 	 pav-ouč-ek
paříž 	 paříž 	 pař-íž
pekárenských 	 pek-ár-en-sk-ých 	 pekár-en-sk-ých
peníz 	 peníz 	 pen-íz
perly 	 perl-y 	 per-l-y
perutková 	 perut-k-ov-á 	 perutk-ov-á
petrolejově 	 petrolej-ov-ě 	 petr-olej-ov-ě
petynce 	 pety-n-c-e 	 petyn-c-e
pečiva 	 peč-iv-a 	 peč-i-v-a
pfeffermann 	 pfeffer-mann 	 pfefferman-n
pil 	 pi-l 	 p-i-l
pilují 	 pil-u-j-í 	 pil-uj-í
pisklavě 	 pisk-l-av-ě 	 pis-klav-ě
pitomej 	 pitom-ej 	 pit-o-mej
planul 	 plan-u-l 	 pla-nu-l
plat 	 plat 	 pla-t
pleteného 	 plet-en-é-ho 	 plet-en-ého
plnění 	 pln-ěn-í 	 pln-ě-n-í
plodem 	 plod-e-m 	 plod-em
plují 	 plu-j-í 	 pluj-í
plánu 	 plán-u 	 plá-n-u
pobočkové 	 po-boč-k-ov-é 	 po-b-oč-k-ov-é
pobožnější 	 po-bož-n-ěj-š-í 	 po-bož-n-ějš-í
pochválena 	 po-chvál-en-a 	 po-chvál-e-n-a
podaří 	 po-dař-í 	 po-d-ař-í
podhrnout 	 pod-hrn-ou-t 	 pod-hr-nou-t
podivuhodné 	 po-div-u-hod-n-é 	 po-div-uhod-n-é
podlec 	 podl-ec 	 po-dlec
podlitina 	 pod-li-t-in-a 	 pod-lit-in-a
podléhat 	 pod-léh-a-t 	 po-d-léh-a-t
podnětu 	 pod-nět-u 	 pod-n-ět-u
podobného 	 po-dob-n-é-ho 	 po-dob-n-ého
podobě 	 po-dob-ě 	 po-d-ob-ě
podotkl 	 po-do-tk-l 	 pod-o-tk-l
podráždění 	 po-drážd-ěn-í 	 po-drážd-ě-n-í
podvésti 	 pod-vést-i 	 pod-vés-t-i
podívala 	 po-dív-a-l-a 	 po-dí-v-a-l-a
podívali 	 po-dív-a-l-i 	 po-d-í-v-a-l-i
podřazovat 	 pod-řaz-ova-t 	 po-dřaz-ova-t
podřeknout 	 pod-řek-nou-t 	 po-dřek-nou-t
pohaněné 	 po-han-ě-n-é 	 po-han-ěn-é
pohnutlivé 	 po-h-nu-t-l-i-v-é 	 po-hnut-l-iv-é
pohotovějším 	 po-hotov-ějš-ím 	 po-hot-ov-ěj-š-í-m
pojímá 	 po-jím-á 	 po-j-ím-á
pojímání 	 po-jím-á-n-í 	 po-j-ím-á-n-í
pojísti 	 po-jíst-i 	 po-jís-t-i
pokročilejším 	 po-kroč-i-l-ejš-ím 	 po-kroč-il-ejš-í-m
pokývat 	 po-kýv-a-t 	 po-ký-v-a-t
politických 	 polit-ic-k-ý-ch 	 polit-ic-k-ých
polyvalence 	 poly-valenc-e 	 po-ly-v-alen-c-e
poměrem 	 po-měr-e-m 	 po-měr-em
poobědvat 	 po-oběd-v-a-t 	 po-o-běd-v-a-t
popelnic 	 po-pel-nic 	 po-pel-n-ic
popkultura 	 pop-kult-ur-a 	 po-p-kult-ur-a
poplatník 	 po-plat-ník 	 po-plat-n-ík
poplatníka 	 po-plat-ník-a 	 po-plat-n-ík-a
poplatníky 	 po-plat-ník-y 	 po-plat-n-ík-y
poproduktivní 	 po-pro-duk-t-iv-n-í 	 po-pro-dukt-iv-n-í
poptávky 	 po-pt-á-v-k-y 	 po-ptá-v-k-y
porculánu 	 porculán-u 	 po-r-culá-n-u
porovnání 	 po-rovn-ání 	 po-rov-n-á-n-í
porůsti 	 po-růst-i 	 po-růs-t-i
posily 	 po-sil-y 	 po-si-l-y
posluchače 	 po-sluch-a-č-e 	 po-sluch-ač-e
posluchačů 	 po-sluch-a-č-ů 	 po-sluch-ač-ů
postih 	 po-stih 	 po-st-ih
potká 	 po-tk-á 	 po-t-k-á
potkáme 	 po-tk-á-me 	 po-t-k-á-me
potrefený 	 po-tref-en-ý 	 po-tre-fen-ý
potud 	 po-t-ud 	 po-tud
pouhém 	 pouh-é-m 	 pouh-ém
poupátko 	 poup-át-k-o 	 poupát-k-o
poučit 	 po-uč-i-t 	 pouč-i-t
použije 	 po-u-ži-je 	 po-uži-j-e
použito 	 po-u-ži-t-o 	 po-už-i-t-o
povečeřet 	 po-večeř-e-t 	 po-ve-čeř-e-t
povolaný 	 po-vol-an-ý 	 po-vol-a-n-ý
povyrůsti 	 po-vy-růst-i 	 po-vy-růs-t-i
povzbudivé 	 po-vz-bud-i-v-é 	 po-vz-bud-iv-é
povzbuzení 	 po-vz-buz-en-í 	 po-vz-buz-e-n-í
povznáší 	 po-vz-náš-í 	 po-vz-ná-š-í
povšimli 	 po-všim-l-i 	 po-vš-im-l-i
pozdní 	 pozd-n-í 	 po-zdn-í
pozitivně 	 pozit-iv-n-ě 	 po-zit-iv-n-ě
početí 	 po-č-e-t-í 	 po-čet-í
počkal 	 po-čk-a-l 	 po-č-k-a-l
počkám 	 po-čk-á-m 	 po-č-k-á-m
pošlete 	 po-šl-e-te 	 po-šle-te
poštu 	 pošt-u 	 po-št-u
pracovníka 	 prac-ov-ník-a 	 prac-ov-n-ík-a
pragokoncertu 	 prag-o-koncert-u 	 pragokon-cert-u
prajzler 	 prajzler 	 pra-j-zler
praktickým 	 prakt-ic-k-ý-m 	 prakt-ic-k-ým
praktikantům 	 prakt-ik-ant-ům 	 prakt-ikant-ům
pravidel 	 prav-i-del 	 prav-id-e-l
prchavý 	 prch-a-v-ý 	 prch-av-ý
prejudikovat 	 pre-ju-dik-ova-t 	 pre-judik-ova-t
premií 	 prem-i-í 	 pre-mi-í
press 	 press 	 pre-ss
previtský 	 previt-sk-ý 	 pre-vit-sk-ý
prezidentů 	 prezid-ent-ů 	 pre-zident-ů
princezna 	 princ-ez-n-a 	 princez-n-a
princmetálovou 	 princ-metál-ov-ou 	 prin-cmet-ál-ov-ou
princátky 	 princ-át-k-y 	 princát-k-y
prodejce 	 pro-d-ej-c-e 	 pro-dej-c-e
prodejna 	 pro-d-ej-n-a 	 pro-dej-n-a
prodejně 	 pro-d-ej-n-ě 	 pro-dej-n-ě
producent 	 pro-duc-ent 	 pro-ducent
profesora 	 pro-fes-or-a 	 pro-fesor-a
profesory 	 pro-fes-or-y 	 pro-fesor-y
projednáním 	 pro-jed-n-án-ím 	 pro-jedn-á-n-ím
projet 	 pro-je-t 	 pro-j-e-t
proklábosit 	 pro-klábos-i-t 	 pro-kláb-os-i-t
proklásti 	 pro-klást-i 	 pro-klás-t-i
prokormidlovavší 	 pro-kormidl-ova-vš-í 	 pro-korm-idl-ova-vš-í
prokrindapána 	 pro-krind-a-pán-a 	 pro-krindapá-n-a
promnout 	 pro-mn-ou-t 	 pro-m-nou-t
propagace 	 propag-ac-e 	 pro-pag-ac-e
prosciutto 	 prosciutt-o 	 pro-sciutt-o
prosimás 	 prosimás 	 pro-si-m-ás
prostou 	 prost-ou 	 pro-st-ou
prostějovsko 	 prostějov-sk-o 	 pro-stěj-ov-sk-o
prostějově 	 prostějov-ě 	 pro-stěj-ov-ě
protagorovi 	 protagor-ovi 	 pro-tagor-ovi
proteplit 	 pro-tep-l-i-t 	 pro-tepl-i-t
protiabcházský 	 proti-abcház-sk-ý 	 pro-tiabcház-sk-ý
protisluneční 	 proti-slun-eč-n-í 	 pro-ti-sluneč-n-í
protivit 	 protiv-i-t 	 pro-tiv-i-t
protokol 	 protokol 	 pro-t-okol
proužek 	 prouž-ek 	 pro-už-ek
provincií 	 provinc-i-í 	 pro-vin-c-i-í
pročež 	 pro-č-e-ž 	 pro-čež
pročpak 	 proč-pak 	 pro-č-pak
prošel 	 pro-še-l 	 pro-š-e-l
právem 	 práv-e-m 	 práv-em
prázdné 	 prázdn-é 	 prázd-n-é
psaním 	 ps-a-n-í-m 	 ps-a-n-ím
psychologistickou 	 psycho-log-ist-ic-k-ou 	 psych-o-log-ist-ic-k-ou
psům 	 ps-ů-m 	 ps-ům
ptejme 	 pt-ej-me 	 pte-j-me
purple 	 purple 	 pur-pl-e
pučálka 	 pučálk-a 	 pučál-k-a
pzt 	 p-z-t 	 pz-t
pán 	 pán 	 pá-n
pánové 	 pán-ové 	 pán-ov-é
pápěrka 	 pá-pěr-k-a 	 pápěr-k-a
pásci 	 pásc-i 	 pás-c-i
píti 	 pít-i 	 pí-t-i
pódiem 	 pódi-em 	 pód-i-em
pódiu 	 pódi-u 	 pód-i-u
pódium 	 pódi-um 	 pód-i-um
pěkné 	 pěkn-é 	 pěk-n-é
pěkném 	 pěkn-é-m 	 pěk-n-ém
pěst 	 pěst 	 pěs-t
pěstit 	 pěst-i-t 	 pěs-t-i-t
pětikorunovou 	 pět-i-korun-ov-ou 	 pět-ikorun-ov-ou
pětistovkou 	 pět-i-st-ovk-ou 	 pět-ist-ov-k-ou
pětník 	 pět-ník 	 pět-n-ík
předepsanou 	 přede-ps-a-n-ou 	 pře-de-ps-a-n-ou
předepíše 	 přede-píš-e 	 pře-de-píš-e
předložit 	 před-lož-i-t 	 pře-dlož-i-t
předlétnout 	 před-lét-nou-t 	 pře-dlét-nou-t
předměty 	 před-mět-y 	 pře-d-mět-y
předmětů 	 před-mět-ů 	 pře-d-mět-ů
předobjednávání 	 před-ob-jedn-á-v-á-n-í 	 pře-dob-jedn-á-v-á-n-í
předprodeje 	 před-pro-d-ej-e 	 pře-d-pro-de-j-e
předsedům 	 před-sed-ů-m 	 pře-d-sed-ům
představ 	 před-stav 	 pře-d-stav
představiteli 	 před-stav-i-tel-i 	 pře-d-stav-i-tel-i
představy 	 před-stav-y 	 pře-d-stav-y
předstihujícím 	 před-stih-uj-í-c-í-m 	 pře-d-stih-uj-íc-í-m
předvýrobní 	 před-vý-rob-n-í 	 pře-d-vý-rob-n-í
předvědecky 	 před-věd-ec-k-y 	 pře-d-věd-ec-k-y
předzpívat 	 před-zpí-v-a-t 	 pře-d-zp-í-v-a-t
předělati 	 pře-děl-a-ti 	 pře-děl-a-t-i
přejímce 	 pře-j-í-m-c-e 	 pře-jím-c-e
přemnohý 	 pře-mnoh-ý 	 pře-mn-oh-ý
přemýšlivější 	 pře-mýšl-iv-ějš-í 	 pře-mýš-l-iv-ěj-š-í
přepnout 	 pře-pn-ou-t 	 pře-p-nou-t
přeslabikovat 	 pře-slabik-ova-t 	 pře-slab-ik-ova-t
přesnost 	 přesn-ost 	 pře-sn-ost
přesností 	 přesn-ost-í 	 pře-sn-ost-í
přesný 	 přesn-ý 	 pře-sn-ý
přesnější 	 přesn-ěj-š-í 	 pře-sn-ějš-í
přesáhla 	 pře-sáh-l-a 	 pře-sá-h-l-a
přečin 	 pře-čin 	 pře-č-in
přečíslovat 	 pře-čísl-ova-t 	 pře-čí-sl-ova-t
přežití 	 pře-ži-t-í 	 pře-ž-i-t-í
přijmout 	 při-j-mou-t 	 při-jmou-t
přilepšit 	 při-lep-š-i-t 	 př-i-lep-š-i-t
přiláká 	 při-lák-á 	 př-i-lák-á
připadne 	 při-pad-ne 	 při-pad-n-e
připluje 	 při-plu-je 	 při-pluje
připomenout 	 při-po-men-ou-t 	 při-po-me-nou-t
přisvědčit 	 při-svědč-i-t 	 při-s-věd-č-i-t
přitiskne 	 při-tisk-ne 	 př-i-tisk-n-e
přitiskovat 	 při-tisk-ova-t 	 př-i-t-isk-ova-t
přiznej 	 při-zn-e-j 	 při-z-n-ej
přičinění 	 při-čin-ěn-í 	 při-čin-ě-n-í
přišinout 	 při-šin-ou-t 	 při-š-i-nou-t
přímé 	 přím-é 	 pří-m-é
přímém 	 přím-é-m 	 pří-m-ém
přísné 	 přísn-é 	 pří-sn-é
přísní 	 přísn-í 	 pří-s-n-í
přítomny 	 pří-t-o-m-n-y 	 pří-t-om-n-y
přítomném 	 pří-t-o-m-n-é-m 	 pří-t-om-n-ém
přítomnými 	 pří-t-o-m-n-ý-m-i 	 pří-t-om-n-ými
přízemí 	 pří-zem-í 	 pří-z-em-í
příštipkovat 	 pří-štip-k-ova-t 	 pří-š-t-ip-k-ova-t
příštího 	 příšt-í-ho 	 pří-š-t-ího
příštím 	 příšt-ím 	 pří-š-t-í-m
příště 	 příšt-ě 	 pří-št-ě
pšeničné 	 pšen-ič-n-é 	 pš-e-n-ič-n-é
pšenka 	 pšen-k-a 	 pš-e-n-k-a
půjčte 	 půjč-te 	 půj-č-te
půlsnímkovost 	 půl-s-ním-k-ov-ost 	 půl-s-n-ím-k-ov-ost
québec 	 québec 	 québ-ec
rachotit 	 rach-ot-i-t 	 rachot-i-t
racionalism 	 racion-al-ism 	 racio-n-a-l-ism
radomír 	 radomír 	 rad-omír
raději 	 rad-ěji 	 rad-ěj-i
rakousku 	 rakous-k-u 	 rakousk-u
rallye 	 rallye 	 rally-e
rameni 	 ram-en-i 	 ramen-i
raneček 	 raneč-ek 	 rane-č-ek
ravaissona 	 ravaisson-a 	 rav-aisson-a
razítky 	 raz-í-tk-y 	 raz-í-t-k-y
realizovat 	 real-iz-ova-t 	 re-al-iz-ova-t
redakční 	 redakč-n-í 	 re-dakč-n-í
referát 	 re-fer-át 	 re-fer-á-t
regentíkův 	 regent-ík-ův 	 re-gent-ík-ův
regulovat 	 regul-ova-t 	 re-gul-ova-t
regály 	 regál-y 	 re-gál-y
rejda 	 rejd-a 	 re-jd-a
rejstříku 	 rejstřík-u 	 re-j-střík-u
reklamace 	 reklam-ac-e 	 re-klam-ac-e
reklamu 	 reklam-u 	 re-klam-u
rekord 	 rekord 	 re-kord
relativita 	 rel-at-iv-it-a 	 relat-iv-it-a
relativizování 	 relat-iv-izová-n-í 	 relat-iv-iz-ová-n-í
repeal 	 repeal 	 re-pea-l
reportáž 	 re-port-áž 	 re-po-rt-áž
republikou 	 republik-ou 	 repu-bl-ik-ou
resp 	 resp 	 re-sp
revolucí 	 revol-uc-í 	 re-voluc-í
reálné 	 reál-n-é 	 re-ál-n-é
rider 	 rid-er 	 rider
rivalové 	 rival-ové 	 rival-ov-é
rolling 	 roll-ing 	 rollin-g
roxby 	 roxby 	 rox-b-y
rozchraptit 	 roz-chrap-t-i-t 	 roz-chrapt-i-t
rozdíly 	 roz-díl-y 	 roz-d-íl-y
rozhrnula 	 roz-hrn-u-l-a 	 roz-hr-n-u-l-a
rozkošným 	 roz-koš-n-ý-m 	 roz-koš-n-ým
rozkývat 	 roz-kýv-a-t 	 roz-ký-v-a-t
rozpočísti 	 roz-po-číst-i 	 roz-po-čís-t-i
roztávat 	 roz-tá-v-a-t 	 roz-t-á-v-a-t
rozumových 	 roz-um-ov-ý-ch 	 roz-um-ov-ých
rozutíkat 	 roz-utík-a-t 	 rozu-tík-a-t
rozuzlovat 	 roz-uzl-ova-t 	 roz-u-zl-ova-t
rozvinovat 	 roz-vi-n-ova-t 	 roz-vin-ova-t
rozvětvené 	 roz-větv-en-é 	 roz-vět-ven-é
rozčechrávat 	 roz-čechr-á-v-a-t 	 roz-čechrá-v-a-t
rozšít 	 roz-ší-t 	 roz-š-í-t
rozšíření 	 roz-šíř-en-í 	 roz-šíř-e-n-í
rozžhavil 	 roz-žh-av-i-l 	 roz-žhav-i-l
rupií 	 rupi-í 	 rup-i-í
ruské 	 rus-k-é 	 rusk-é
rusové 	 rus-ové 	 rus-ov-é
russel 	 russel 	 russe-l
rána 	 rán-a 	 rá-n-a
ráno 	 rán-o 	 rá-n-o
rázem 	 ráz-e-m 	 ráz-em
různými 	 různ-ý-m-i 	 různ-ými
samcoložník 	 samc-o-lož-n-ík 	 samc-olož-n-ík
samostatnější 	 sam-o-stat-n-ějš-í 	 sam-ostat-n-ěj-š-í
samozřejmá 	 sam-o-zř-ejm-á 	 sam-o-zř-e-jm-á
samsung 	 samsung 	 samsun-g
sazeb 	 saz-eb 	 saz-e-b
sbubnovat 	 s-bubn-ova-t 	 s-bub-n-ova-t
schodech 	 s-chod-e-ch 	 s-chod-ech
schovat 	 s-chov-a-t 	 s-ch-ova-t
scienza 	 scienza 	 s-cien-z-a
scorpions 	 scorpion-s 	 s-corp-ion-s
scéna 	 scén-a 	 s-cé-n-a
sebelepší 	 seb-e-lep-š-í 	 se-belep-š-í
sebeničením 	 s-eb-e-ni-č-en-í-m 	 se-b-en-ič-en-ím
sebevíce 	 seb-e-víc-e 	 se-b-e-v-íc-e
sedla 	 sed-l-a 	 se-d-l-a
sedláková 	 sedl-ák-ov-á 	 se-dl-ák-ov-á
sedmihradsku 	 sedmihradsk-u 	 sedmi-hrad-sk-u
sedmé 	 sedm-é 	 se-d-m-é
seger 	 seger 	 se-ger
seminární 	 semin-ár-n-í 	 se-min-ár-n-í
separátní 	 se-par-át-n-í 	 se-parát-n-í
sepnout 	 se-pn-ou-t 	 se-p-nou-t
sestává 	 se-stá-v-á 	 se-st-á-v-á
setkal 	 se-tk-a-l 	 se-t-k-a-l
seznámit 	 se-znám-i-t 	 se-zn-ám-i-t
seřizovat 	 se-řiz-ova-t 	 se-ř-iz-ova-t
silence 	 silence 	 silen-c-e
skončil 	 s-konč-i-l 	 s-kon-č-i-l
skončila 	 s-konč-i-l-a 	 s-kon-č-i-l-a
skončí 	 s-konč-í 	 s-kon-č-í
skrývala 	 s-krýv-a-l-a 	 s-krý-v-a-l-a
skutečnosti 	 s-kut-eč-n-ost-i 	 skuteč-n-ost-i
skutečném 	 s-kut-eč-n-é-m 	 skuteč-n-ém
slavnějším 	 slav-n-ěj-š-í-m 	 slav-n-ějš-í-m
slejvat 	 s-lej-v-a-t 	 slej-v-a-t
slev 	 s-lev 	 slev
slevu 	 s-lev-u 	 slev-u
slez 	 s-lez 	 slez
slovným 	 slov-n-ý-m 	 slov-n-ým
smaragdy 	 smaragd-y 	 s-maragd-y
smetanový 	 smetan-ov-ý 	 s-metan-ov-ý
smrtelném 	 s-mr-tel-n-é-m 	 s-mr-t-eln-ém
smrtelnému 	 s-mr-tel-n-é-mu 	 s-mr-t-eln-ému
smyslových 	 s-mysl-ov-ý-ch 	 s-mysl-ov-ých
smésti 	 s-mést-i 	 s-més-t-i
směl 	 smě-l 	 s-m-ě-l
směrem 	 s-měr-e-m 	 s-měr-em
směšný 	 směš-n-ý 	 s-měš-n-ý
snah 	 snah 	 s-nah
snahami 	 snah-a-m-i 	 sna-hami
sníh 	 sníh 	 s-n-íh
snů 	 sn-ů 	 s-n-ů
sobotu 	 sobot-u 	 sob-ot-u
sobě 	 s-ob-ě 	 sob-ě
socializovat 	 soci-al-iz-ova-t 	 so-ci-al-iz-ova-t
solarmax 	 solar-max 	 s-olarmax
solidních 	 solid-n-í-ch 	 solid-n-ích
sotva 	 sotva 	 so-tv-a
souboj 	 sou-boj 	 soub-oj
soukromník 	 sou-krom-ník 	 sou-krom-n-ík
sousedního 	 sou-sed-n-í-ho 	 sou-sed-n-ího
soustava 	 sou-stav-a 	 sou-sta-v-a
soutěž 	 sou-těž 	 sou-tě-ž
spadne 	 s-pad-ne 	 s-pad-n-e
spaly 	 sp-a-l-y 	 spa-l-y
species 	 species 	 spec-ie-s
specifickým 	 speci-fic-k-ý-m 	 speci-f-ic-k-ým
speciál 	 speci-ál 	 spec-i-á-l
spekulantem 	 spek-ul-ant-e-m 	 spekulant-em
spojkami 	 s-poj-k-a-m-i 	 s-poj-k-ami
spokojíte 	 s-pokoj-í-te 	 s-po-koj-í-te
společných 	 spol-eč-n-ých 	 s-pol-eč-n-ých
spolupodepsat 	 spol-u-pode-ps-a-t 	 spolu-p-ode-ps-a-t
spolupůsobit 	 spol-u-působ-i-t 	 spolupů-sob-i-t
spolutvořit 	 spol-u-tvoř-i-t 	 spolu-tvoř-i-t
sponzorsky 	 sponzor-sk-y 	 s-pon-z-or-sk-y
sportovní 	 sport-ov-n-í 	 s-port-ov-n-í
spotřebitel 	 s-po-třeb-i-tel 	 s-po-třeb-i-t-el
spravedlivost 	 s-prav-ed-l-iv-ost 	 s-praved-l-iv-ost
srna 	 srn-a 	 sr-n-a
srozumitelně 	 s-roz-um-i-teln-ě 	 s-roz-um-i-t-eln-ě
stabilní 	 stabil-n-í 	 stab-il-n-í
stadionu 	 stadion-u 	 stadio-n-u
stanoven 	 stanov-en 	 stan-ov-en
starobní 	 star-ob-n-í 	 starob-n-í
starožitných 	 star-o-ži-t-n-ých 	 starož-it-n-ých
starých 	 star-ý-ch 	 star-ých
stavení 	 sta-v-en-í 	 stav-en-í
stejkaně 	 s-tejk-a-n-ě 	 stej-k-a-n-ě
stejném 	 stej-n-é-m 	 stejn-ém
stipendium 	 stipendi-um 	 stip-endi-um
stojaté 	 stoj-at-é 	 stoj-a-t-é
stokorunovou 	 st-o-korun-ov-ou 	 sto-korun-ov-ou
století 	 st-o-let-í 	 stol-et-í
stones 	 stone-s 	 sto-ne-s
stornovat 	 storn-ova-t 	 stor-n-ova-t
stoupněte 	 stoup-ně-te 	 stoup-n-ě-te
stovkou 	 st-ovk-ou 	 st-ov-k-ou
stovku 	 st-ovk-u 	 st-ov-k-u
strahov 	 strahov 	 strah-ov
strahova 	 strahov-a 	 strah-ov-a
