absolventi 	 ab-solv-ent-i 	 absol-v-ent-i
tímto 	 t-í-m-t-o 	 t-ím-t-o
tít 	 t-í-t 	 tí-t
těmi 	 t-ě-m-i 	 t-ěmi
třemi 	 tř-e-m-i 	 tř-emi
třetím 	 tř-e-t-í-m 	 tř-et-í-m
třineckých 	 třinec-k-ých 	 tř-inec-k-ých
ukazuju 	 u-kaz-u-j-u 	 u-kaz-uj-u
ukrutným 	 u-krut-n-ý-m 	 u-krut-n-ým
ulici 	 ul-ic-i 	 ulic-i
uloženými 	 u-lož-en-ý-m-i 	 u-lož-en-ými
umožnilo 	 u-možn-i-l-o 	 u-mož-n-i-l-o
umožnily 	 u-možn-i-l-y 	 u-mož-n-i-l-y
uměle 	 u-m-ě-l-e 	 um-ě-l-e
umělostech 	 u-m-ě-l-ost-e-ch 	 um-ě-l-ost-ech
urgencích 	 urgenc-ích 	 urg-enc-ích
určitě 	 urč-it-ě 	 u-rč-it-ě
usd 	 u-s-d 	 u-sd
uskutečnily 	 u-s-kut-eč-n-i-l-y 	 u-skuteč-n-i-l-y
ustrnule 	 u-s-trn-u-l-e 	 u-s-tr-nu-l-e
uzpůsobit 	 u-z-působ-i-t 	 u-z-pů-sob-i-t
užitečné 	 u-žit-eč-n-é 	 u-ži-t-eč-n-é
uživit 	 u-živ-i-t 	 u-ži-v-i-t
vanka 	 van-k-a 	 vank-a
velkého 	 vel-k-é-ho 	 vel-k-ého
velvyslanectví 	 vel-vy-sl-a-n-ec-tv-í 	 vel-v-y-slan-ec-tv-í
ventures 	 venture-s 	 ventures
vezmeš 	 vez-m-e-š 	 vez-me-š
vezmou 	 vez-m-ou 	 vez-mou
veřejně 	 veř-ej-n-ě 	 veřej-n-ě
veškerým 	 veš-k-er-ý-m 	 veš-k-er-ým
vinohradského 	 vinohrad-sk-é-ho 	 vinohrad-sk-ého
virile 	 virile 	 viril-e
vlastnostech 	 vlast-n-ost-ech 	 vlastn-ost-ech
vlastního 	 vlast-n-í-ho 	 vlast-n-ího
vnitřnostech 	 v-nitř-n-ost-e-ch 	 v-nitř-n-ost-ech
vodolově 	 vodolov-ě 	 vod-ol-ov-ě
vozidly 	 voz-i-dl-y 	 voz-id-l-y
vrtulníky 	 vrt-ul-ník-y 	 vrtul-n-ík-y
vrátnice 	 vrát-nic-e 	 vrát-n-ic-e
vstupenek 	 vs-tup-en-ek 	 v-stup-en-ek
vstupenku 	 v-stup-enk-u 	 v-stup-en-k-u
vstupenky 	 vstup-enk-y 	 v-stup-en-k-y
vyloučení 	 vy-louč-en-í 	 vy-louč-e-n-í
vynaložením 	 vy-na-lož-en-í-m 	 vy-na-lož-en-ím
vyplaněný 	 vy-plan-ě-n-ý 	 vy-plan-ěn-ý
vypočísti 	 vy-po-číst-i 	 vy-po-čís-ti
vysokoškolské 	 vys-ok-o-škol-sk-é 	 vys-ok-oškol-sk-é
vyspinkat 	 vy-sp-ink-a-t 	 vy-spink-a-t
vystačovaný 	 vy-stač-ova-n-ý 	 vy-stač-ovan-ý
vytít 	 vy-t-í-t 	 vy-tí-t
vyčísti 	 vy-číst-i 	 vy-čís-ti
vyřinout 	 vy-řin-ou-t 	 vy-ři-nou-t
vzdělání 	 vz-děl-án-í 	 vz-děl-á-n-í
vzít 	 vz-í-t 	 v-zí-t
vás 	 v-á-s 	 v-ás
víte 	 v-í-te 	 ví-te
vítkovice 	 vít-k-ov-ic-e 	 vítk-ov-ic-e
vítkovickém 	 vítk-ovic-k-ém 	 vítk-ov-ic-k-ém
vítězství 	 vítěz-ství 	 vítěz-stv-í
výsostným 	 výs-ost-n-ý-m 	 výs-ost-n-ým
výukových 	 vý-uk-ov-ých 	 výuk-ov-ých
větrovka 	 větr-ovk-a 	 větr-ov-k-a
vůnička 	 vůn-ič-k-a 	 vůn-ičk-a
westermannem 	 westermann-e-m 	 westermann-em
yse 	 y-s-e 	 ys-e
zadek 	 zad-ek 	 zadek
zafilosofovat 	 za-filo-sof-ova-t 	 za-fil-osof-ova-t
zahozených 	 za-hoz-en-ý-ch 	 za-hoz-en-ých
zahynul 	 za-hyn-u-l 	 za-hy-nu-l
zakusitelno 	 za-kus-i-tel-n-o 	 za-kus-i-teln-o
zaměstnancům 	 za-měst-n-an-c-ům 	 za-měst-n-anc-ům
zanedbávat 	 za-ne-db-á-v-a-t 	 za-nedb-á-v-a-t
zapomínat 	 za-pomín-a-t 	 za-po-mín-a-t
započísti 	 za-po-číst-i 	 za-po-čís-ti
zasahují 	 za-sah-u-j-í 	 za-sah-uj-í
zatrubňovávatelnost 	 za-trub-ň-ová-v-a-teln-ost 	 za-trubň-ová-v-a-teln-ost
zatvrzují 	 za-tvrz-u-j-í 	 za-tvrz-uj-í
zaujatý 	 z-au-j-a-t-ý 	 za-u-j-a-t-ý
zaujmouti 	 zau-jm-ou-ti 	 za-u-j-mou-ti
zavřeny 	 za-vř-e-n-y 	 za-vř-en-y
zdeničky 	 zden-ič-k-y 	 zden-ičk-y
zdeněk 	 zdeněk 	 zden-ěk
zdřevnatět 	 z-dřev-n-at-ě-t 	 zdřev-n-at-ě-t
zemana 	 zeman-a 	 ze-man-a
zemím 	 zem-ím 	 zem-í-m
zemědělské 	 zem-ě-děl-sk-é 	 země-děl-sk-é
zemědělských 	 zem-ě-děl-sk-ých 	 země-děl-sk-ých
zinventovat 	 z-invent-ova-t 	 z-in-vent-ova-t
zločinem 	 zl-o-čin-e-m 	 zl-o-čin-em
zmramorovatěnost 	 z-mramor-ovat-ě-n-ost 	 z-mramor-ovatěn-ost
změněném 	 z-měn-ěn-é-m 	 z-měn-ěn-ém
znovuoživenost 	 z-nov-u-o-živ-en-ost 	 z-nov-u-o-ži-v-en-ost
zostoudit 	 z-o-stoud-i-t 	 zo-stoud-i-t
zprostředkovatelské 	 z-pro-střed-k-ova-tel-sk-é 	 z-pro-střed-k-ova-telské
zprůmyslnělost 	 z-prů-mysl-n-ě-l-ost 	 z-prů-mysl-n-ěl-ost
zpět 	 zpět 	 zpě-t
zpěvačka 	 z-pě-v-a-č-k-a 	 z-pěv-a-čk-a
zrakový 	 zrak-ov-ý 	 z-rak-ov-ý
zrentgenovat 	 z-rentgen-ova-t 	 zrentgen-ova-t
zveřejněné 	 z-veřej-n-ě-n-é 	 z-veřej-n-ěn-é
zveřejnění 	 z-veřej-n-ě-n-í 	 z-veřejn-ěn-í
zvláště 	 zvláště 	 zvlášt-ě
zvážení 	 z-váž-en-í 	 z-váž-e-n-í
zádech 	 zád-e-ch 	 zád-ech
základem 	 zá-klad-e-m 	 zá-klad-em
závojnatkách 	 zá-voj-n-at-k-á-ch 	 zá-voj-n-at-k-ách
zůstal 	 z-ů-sta-l 	 zů-sta-l
zůstanou 	 z-ů-sta-n-ou 	 zů-sta-n-ou
úspěšnější 	 ú-spěš-n-ějš-í 	 ú-spěš-n-ěj-š-í
útrobách 	 útrob-ách 	 ú-trob-ách
úžasem 	 ú-žas-e-m 	 ú-žas-em
černým 	 čern-ý-m 	 čern-ým
českomalínský 	 česk-o-malín-sk-ý 	 čes-k-o-malín-sk-ý
českého 	 čes-k-é-ho 	 čes-k-ého
článkem 	 člán-k-e-m 	 člán-k-em
čsfr 	 č-s-f-r 	 č-sfr
čsn 	 č-s-n 	 čsn
čssr 	 č-s-s-r 	 č-ssr
čubička 	 čub-ič-k-a 	 čub-ičk-a
čubičku 	 čub-ič-k-u 	 čub-ičk-u
čzpi 	 č-z-p-i 	 čzp-i
čímkoliv 	 č-í-m-koliv 	 č-ím-koliv
řepkového 	 řep-k-ov-ého 	 řepk-ov-ého
říjet 	 říj-e-t 	 říje-t
šifrovaných 	 šifr-ova-n-ý-ch 	 šifr-ova-n-ých
šimůnek 	 šimůn-ek 	 šimůnek
šumperka 	 šumperk-a 	 šumper-k-a
šíblová 	 šíbl-ová 	 šíbl-ov-á
žehravost 	 žehr-a-v-ost 	 že-hrav-ost
železárnách 	 želez-árn-ách 	 želez-ár-n-ách
živnostenského 	 ži-v-n-ost-ensk-ého 	 ži-v-n-osten-sk-ého
životními 	 ži-v-ot-n-í-m-i 	 ži-v-ot-n-ími
žlábkovávající 	 žláb-k-ová-v-aj-íc-í 	 žlábk-ová-v-aj-íc-í
