absolventi 	 ab-solv-ent-i 	 abs-olvent-i
ukrutným 	 u-krut-n-ý-m 	 u-krut-n-ým
ulici 	 ul-ic-i 	 ulic-i
uloženými 	 u-lož-en-ý-m-i 	 u-lož-en-ými
umožnilo 	 u-možn-i-l-o 	 u-mož-n-i-l-o
umožnily 	 u-možn-i-l-y 	 u-mož-n-i-l-y
uměle 	 u-m-ě-l-e 	 um-ě-l-e
umělostech 	 u-m-ě-l-ost-e-ch 	 um-ě-l-ost-ech
urgenci 	 urg-enc-i 	 urg-en-c-i
urgencích 	 urgenc-ích 	 urg-en-c-ích
určitě 	 urč-it-ě 	 u-rč-it-ě
usd 	 u-s-d 	 u-sd
uskutečnily 	 u-s-kut-eč-n-i-l-y 	 u-skuteč-n-i-l-y
ustrnule 	 u-s-trn-u-l-e 	 u-s-tr-nu-l-e
uvádějí 	 u-vád-ěj-í 	 u-vád-ě-j-í
uzpůsobit 	 u-z-působ-i-t 	 u-z-pů-sob-i-t
uším 	 uš-ím 	 uš-í-m
užitečné 	 u-žit-eč-n-é 	 u-ži-t-eč-n-é
velkého 	 vel-k-é-ho 	 vel-k-ého
velvyslanectví 	 vel-vy-sl-a-n-ec-tv-í 	 velvy-sla-nec-tv-í
ventures 	 venture-s 	 ventures
vespolek 	 ve-s-pol-ek 	 ve-spol-ek
vezmeš 	 vez-m-e-š 	 vez-me-š
veřejně 	 veř-ej-n-ě 	 veřej-n-ě
veškerým 	 veš-k-er-ý-m 	 veš-k-er-ým
vinohradského 	 vinohrad-sk-é-ho 	 vin-ohrad-sk-ého
virile 	 virile 	 viril-e
vlastního 	 vlast-n-í-ho 	 vlast-n-ího
vnitřnostech 	 v-nitř-n-ost-e-ch 	 v-nitř-n-ost-ech
vrtulníky 	 vrt-ul-ník-y 	 vrtul-ník-y
vstupenek 	 vs-tup-en-ek 	 v-stup-en-ek
vstupenka 	 v-stup-enk-a 	 v-stup-en-k-a
vstupenku 	 v-stup-enk-u 	 v-stup-en-k-u
vstupenky 	 vstup-enk-y 	 v-stup-en-k-y
vynaložením 	 vy-na-lož-en-í-m 	 vy-na-lož-en-ím
vyplaněný 	 vy-plan-ě-n-ý 	 vy-plan-ěn-ý
vypočísti 	 vy-po-číst-i 	 vy-po-čís-ti
vyrobila 	 vy-rob-i-l-a 	 vy-rob-il-a
vyspinkat 	 vy-sp-ink-a-t 	 vy-spink-a-t
vysílací 	 vy-síl-a-c-í 	 vy-síl-ac-í
vyvracela 	 vy-vrac-e-l-a 	 vy-vrac-el-a
vyčísti 	 vy-číst-i 	 vy-čís-ti
vyřinout 	 vy-řin-ou-t 	 vy-ři-nou-t
vyžle 	 vyžle 	 vy-žle
vzdělání 	 vz-děl-án-í 	 vz-děl-á-n-í
vzít 	 vz-í-t 	 v-z-í-t
válka 	 válk-a 	 vál-k-a
vás 	 v-á-s 	 v-ás
vítkovice 	 vít-k-ov-ic-e 	 vítkov-ic-e
vítkovického 	 vítk-ovic-k-ého 	 vítk-ov-ic-k-ého
vítkovickém 	 vítk-ovic-k-ém 	 vítk-ov-ic-k-ém
vítězství 	 vítěz-ství 	 vítěz-stv-í
výhodnější 	 vý-hod-n-ějš-í 	 vý-hod-n-ěj-š-í
výsostným 	 výs-ost-n-ý-m 	 výs-ost-n-ým
výší 	 výš-í 	 vý-š-í
vědí 	 věd-í 	 v-ěd-í
větrovka 	 větr-ovk-a 	 větr-ov-k-a
vůnička 	 vůn-ič-k-a 	 vůn-ičk-a
westermannem 	 westermann-e-m 	 westermann-em
yse 	 y-s-e 	 ys-e
zachvěla 	 za-chvě-l-a 	 za-chvěl-a
zafilosofovat 	 za-filo-sof-ova-t 	 za-fil-o-sof-ova-t
zahozených 	 za-hoz-en-ý-ch 	 za-hoz-en-ých
zahradník 	 za-hrad-n-ík 	 za-hrad-ník
zahynul 	 za-hyn-u-l 	 za-hy-nu-l
zakusitelno 	 za-kus-i-tel-n-o 	 za-kus-i-teln-o
zaměstnancům 	 za-měst-n-an-c-ům 	 za-měst-n-a-n-c-ům
zapomínat 	 za-pomín-a-t 	 za-po-mín-a-t
započísti 	 za-po-číst-i 	 za-po-čís-ti
zasahují 	 za-sah-u-j-í 	 za-sah-uj-í
zaslíbeni 	 za-s-líb-en-i 	 za-slíb-en-i
zatrubňovávatelnost 	 za-trub-ň-ová-v-a-teln-ost 	 za-trub-ň-ová-v-a-telnost
zatvrzují 	 za-tvrz-u-j-í 	 za-tvrz-uj-í
zaujatý 	 z-au-j-a-t-ý 	 za-u-j-a-t-ý
zaujmouti 	 zau-jm-ou-ti 	 za-u-j-mou-ti
zdeničky 	 zden-ič-k-y 	 zden-ičk-y
zdeněk 	 zdeněk 	 zde-n-ěk
zemím 	 zem-ím 	 ze-m-í-m
zločinem 	 zl-o-čin-e-m 	 zl-o-čin-em
zmramorovatěnost 	 z-mramor-ovat-ě-n-ost 	 z-mramor-ov-at-ě-n-ost
změněném 	 z-měn-ěn-é-m 	 z-měn-ěn-ém
znovuoživenost 	 z-nov-u-o-živ-en-ost 	 z-nov-u-o-ži-v-en-ost
zorganizovaný 	 z-organ-iz-ova-n-ý 	 z-organ-izova-n-ý
zprostředkovatelské 	 z-pro-střed-k-ova-tel-sk-é 	 z-pro-střed-k-ova-telské
zprůmyslnělost 	 z-prů-mysl-n-ě-l-ost 	 z-průmysl-n-ě-l-ost
zpět 	 zpět 	 zp-ě-t
zpěvačka 	 z-pě-v-a-č-k-a 	 z-pěv-a-čk-a
zpěčovat 	 zpěč-ova-t 	 z-pěč-ova-t
zrakový 	 zrak-ov-ý 	 z-rak-ov-ý
zveřejněné 	 z-veřej-n-ě-n-é 	 z-veřejn-ěn-é
zveřejnění 	 z-veřej-n-ě-n-í 	 z-veřejn-ěn-í
zvláště 	 zvláště 	 zvlášt-ě
zvážení 	 z-váž-en-í 	 z-váž-e-n-í
zvídavější 	 z-víd-a-v-ějš-í 	 z-víd-a-v-ěj-š-í
zádech 	 zád-e-ch 	 zád-ech
základem 	 zá-klad-e-m 	 zá-klad-em
závojnatkách 	 zá-voj-n-at-k-á-ch 	 zá-voj-n-at-k-ách
zůstalo 	 zů-sta-l-o 	 z-ů-sta-l-o
úspěšnější 	 ú-spěš-n-ějš-í 	 ú-spěš-n-ěj-š-í
útrobách 	 útrob-ách 	 ú-trob-ách
úžasem 	 ú-žas-e-m 	 ú-žas-em
černým 	 čern-ý-m 	 čern-ým
českomalínský 	 česk-o-malín-sk-ý 	 čes-k-o-malín-sk-ý
českého 	 čes-k-é-ho 	 čes-k-ého
češtiny 	 češ-t-in-y 	 češt-in-y
činila 	 čin-i-l-a 	 čin-il-a
článkem 	 člán-k-e-m 	 člán-k-em
čsfr 	 č-s-f-r 	 čsfr
čsn 	 č-s-n 	 čsn
čssr 	 č-s-s-r 	 čssr
čtvrtletí 	 čtvrt-let-í 	 čtvrt-l-et-í
čtěte 	 čt-ě-te 	 čt-ě-t-e
čubička 	 čub-ič-k-a 	 čub-ičk-a
čubičku 	 čub-ič-k-u 	 čub-ičk-u
čzpi 	 č-z-p-i 	 čzp-i
řetězových 	 řetěz-ov-ých 	 ře-těz-ov-ých
šifrovaných 	 šifr-ova-n-ý-ch 	 šifr-ova-n-ých
škudlit 	 škud-l-i-t 	 škudl-i-t
šumperka 	 šumperk-a 	 šumper-k-a
šíblová 	 šíbl-ová 	 šíbl-ov-á
žaludek 	 žaludek 	 žalud-ek
žehravost 	 žehr-a-v-ost 	 že-hrav-ost
železárnách 	 želez-árn-ách 	 želez-ár-n-ách
žernově 	 žernov-ě 	 žern-ov-ě
živnostenského 	 ži-v-n-ost-ensk-ého 	 ži-v-n-ost-en-sk-ého
životními 	 ži-v-ot-n-í-m-i 	 ži-v-ot-n-ími
žižkovák 	 žižkov-ák 	 žižk-ov-ák
žádné 	 žád-n-é 	 žádn-é
