absolventi 	 ab-solv-ent-i 	 absol-vent-i
planul 	 plan-u-l 	 pla-nu-l
plat 	 plat 	 pla-t
platba 	 plat-b-a 	 platb-a
plačící 	 plač-í-c-í 	 plač-íc-í
pleteného 	 plet-en-é-ho 	 plet-en-ého
plnohodnotné 	 pln-o-hod-n-ot-n-é 	 plno-hod-n-ot-n-é
plodem 	 plod-e-m 	 plod-em
plují 	 plu-j-í 	 pluj-í
plukovník 	 pluk-ov-n-ík 	 pluk-ov-ník
podhrnout 	 pod-hrn-ou-t 	 pod-hr-nou-t
podivuhodné 	 po-div-u-hod-n-é 	 po-divu-hod-n-é
podlec 	 podl-ec 	 podlec
podlitina 	 pod-li-t-in-a 	 pod-lit-in-a
podnikám 	 pod-nik-á-m 	 pod-nik-ám
podobného 	 po-dob-n-é-ho 	 po-dob-n-ého
podotkl 	 po-do-tk-l 	 po-dotk-l
podružstevnit 	 po-druž-stev-n-i-t 	 po-družst-ev-n-i-t
podvésti 	 pod-vést-i 	 pod-vés-ti
podřeknout 	 pod-řek-nou-t 	 po-d-řek-nou-t
pohaněné 	 po-han-ě-n-é 	 po-han-ěn-é
pohnutlivé 	 po-h-nu-t-l-i-v-é 	 po-hnut-l-iv-é
pohotovějším 	 po-hotov-ějš-ím 	 po-hot-ov-ěj-š-í-m
pojaty 	 po-j-a-t-y 	 po-jat-y
pojísti 	 po-jíst-i 	 po-jís-ti
pokročilejším 	 po-kroč-i-l-ejš-ím 	 po-kroč-il-ejš-ím
pokývat 	 po-kýv-a-t 	 po-ký-v-a-t
policajtovat 	 policajt-ova-t 	 po-licajt-ova-t
politických 	 polit-ic-k-ý-ch 	 polit-ic-k-ých
polska 	 pol-sk-a 	 polsk-a
polyvalence 	 poly-valenc-e 	 polyval-enc-e
poměrem 	 po-měr-e-m 	 po-měr-em
popkultura 	 pop-kult-ur-a 	 po-pkultur-a
poplatník 	 po-plat-ník 	 po-plat-n-ík
poplatníka 	 po-plat-ník-a 	 po-plat-n-ík-a
poplatníky 	 po-plat-ník-y 	 po-plat-n-ík-y
porculánu 	 porculán-u 	 po-rcul-án-u
porovnání 	 po-rovn-ání 	 po-rov-n-á-n-í
porůsti 	 po-růst-i 	 po-růs-ti
posily 	 po-sil-y 	 po-si-l-y
posluchače 	 po-sluch-a-č-e 	 po-sluch-ač-e
posluchačů 	 po-sluch-a-č-ů 	 po-sluch-ač-ů
potit 	 pot-i-t 	 po-t-i-t
potud 	 po-t-ud 	 po-tud
pouhém 	 pouh-é-m 	 pouh-ém
poučit 	 po-uč-i-t 	 pouč-i-t
použije 	 po-u-ži-je 	 pou-žije
použito 	 po-u-ži-t-o 	 pou-ži-t-o
povolaný 	 po-vol-an-ý 	 po-vol-a-n-ý
povyrůsti 	 po-vy-růst-i 	 po-vy-růs-ti
povzbudivé 	 po-vz-bud-i-v-é 	 po-vz-bud-iv-é
pozdní 	 pozd-n-í 	 po-zd-n-í
poztrácet 	 po-z-trác-e-t 	 poz-trác-e-t
početí 	 po-č-e-t-í 	 po-čet-í
pořadatele 	 po-řad-a-tel-e 	 po-řad-a-tele
pošlete 	 po-šl-e-te 	 po-šle-te
pragokoncertu 	 prag-o-koncert-u 	 prago-konc-ert-u
praktickým 	 prakt-ic-k-ý-m 	 prakt-ic-k-ým
pramene 	 pramen-e 	 pramene
pravidel 	 prav-i-del 	 prav-idel
prejudikovat 	 pre-ju-dik-ova-t 	 pre-judik-ova-t
prezidentů 	 prezid-ent-ů 	 pre-zid-ent-ů
princezna 	 princ-ez-n-a 	 princezn-a
princeznu 	 princ-ez-n-u 	 princez-n-u
prodejce 	 pro-d-ej-c-e 	 pro-dej-c-e
prodejna 	 pro-d-ej-n-a 	 pro-dej-n-a
prodejně 	 pro-d-ej-n-ě 	 pro-dej-n-ě
projednáním 	 pro-jed-n-án-ím 	 pro-jedn-á-n-ím
projekt 	 pro-jekt 	 pro-jek-t
proklábosit 	 pro-klábos-i-t 	 pro-kláb-os-i-t
proklásti 	 pro-klást-i 	 pro-klás-ti
promnout 	 pro-mn-ou-t 	 prom-nou-t
propagace 	 propag-ac-e 	 pro-pag-ac-e
prosciutto 	 prosciutt-o 	 pro-sciutt-o
prosimás 	 prosimás 	 pro-sim-ás
prospěch 	 pro-spěch 	 pro-sp-ěch
prostou 	 prost-ou 	 pro-st-ou
prostějovsko 	 prostějov-sk-o 	 pro-stěj-ov-sk-o
prostějově 	 prostějov-ě 	 pro-stěj-ov-ě
protagorovi 	 protagor-ovi 	 pro-tagor-ovi
proteplit 	 pro-tep-l-i-t 	 pro-tepl-i-t
protiabcházský 	 proti-abcház-sk-ý 	 pro-ti-abcház-sk-ý
protisluneční 	 proti-slun-eč-n-í 	 pro-ti-slun-eč-n-í
protivit 	 protiv-i-t 	 pro-tiv-i-t
protkání 	 pro-tk-á-n-í 	 protk-á-n-í
protokol 	 protokol 	 pro-tokol
provincií 	 provinc-i-í 	 pro-vinc-i-í
prozradit 	 pro-z-rad-i-t 	 pro-zrad-i-t
pročež 	 pro-č-e-ž 	 pro-čež
pročpak 	 proč-pak 	 pro-čpak
prstíčky 	 prst-íč-k-y 	 prst-íčk-y
pryč 	 pryč 	 pry-č
právem 	 práv-e-m 	 práv-em
průběh 	 prů-běh 	 průb-ěh
psacím 	 ps-a-c-í-m 	 psac-í-m
psaním 	 ps-a-n-í-m 	 ps-a-n-ím
psychologistickou 	 psycho-log-ist-ic-k-ou 	 psych-o-log-ist-ic-k-ou
psům 	 ps-ů-m 	 ps-ům
ptejme 	 pt-ej-me 	 ptej-me
purple 	 purple 	 purpl-e
pučálka 	 pučálk-a 	 puč-ál-k-a
pzt 	 p-z-t 	 pz-t
pánové 	 pán-ové 	 pán-ov-é
pápěrka 	 pá-pěr-k-a 	 pápěr-k-a
párkovat 	 pár-k-ova-t 	 párk-ova-t
pódiem 	 pódi-em 	 pód-i-em
pódiu 	 pódi-u 	 pód-i-u
pěkném 	 pěkn-é-m 	 pěk-n-ém
pětistovkou 	 pět-i-st-ovk-ou 	 pětist-ov-k-ou
pětník 	 pět-ník 	 pět-n-ík
předcházejí 	 před-cház-e-j-í 	 před-cház-ej-í
předepsanou 	 přede-ps-a-n-ou 	 před-eps-a-n-ou
předepíše 	 přede-píš-e 	 předep-íš-e
předobjednávání 	 před-ob-jedn-á-v-á-n-í 	 před-objed-ná-v-á-n-í
předpojaté 	 před-po-j-a-t-é 	 před-poj-at-é
předpoklady 	 před-po-klad-y 	 před-poklad-y
předprodeje 	 před-pro-d-ej-e 	 před-prod-eje
předrahá 	 pře-drah-á 	 předrah-á
předsedům 	 před-sed-ů-m 	 před-sed-ům
předstihujícím 	 před-stih-uj-í-c-í-m 	 před-stih-uj-íc-ím
přejímce 	 pře-j-í-m-c-e 	 pře-jím-c-e
překontrolována 	 pře-kontrol-ová-n-a 	 pře-kontrol-ová-na
přemýšlivější 	 pře-mýšl-iv-ějš-í 	 pře-mýš-liv-ějš-í
přepnout 	 pře-pn-ou-t 	 pře-p-nou-t
přeslabikovat 	 pře-slabik-ova-t 	 pře-slab-ik-ova-t
přesnost 	 přesn-ost 	 pře-sn-ost
přesností 	 přesn-ost-í 	 pře-sn-ost-í
přesný 	 přesn-ý 	 přes-n-ý
přesunuly 	 pře-su-nu-l-y 	 pře-sunu-l-y
přijali 	 při-j-a-l-i 	 při-ja-l-i
přijatelná 	 při-j-a-teln-á 	 při-ja-teln-á
připadne 	 při-pad-ne 	 při-pad-n-e
připluje 	 při-plu-je 	 při-pl-uje
připomenout 	 při-po-men-ou-t 	 při-pome-nou-t
přisvědčit 	 při-svědč-i-t 	 při-s-věd-č-i-t
přivydělávat 	 při-vy-děl-á-v-a-t 	 při-vyděl-á-v-a-t
přiznej 	 při-zn-e-j 	 při-zn-ej
přizpůsobivosti 	 při-z-pů-sob-i-v-ost-i 	 při-z-pů-sob-iv-osti
přičinění 	 při-čin-ěn-í 	 při-čin-ě-n-í
přišinout 	 při-šin-ou-t 	 při-ši-nou-t
přímé 	 přím-é 	 pří-m-é
přímém 	 přím-é-m 	 pří-m-ém
přísní 	 přísn-í 	 přís-n-í
přítomny 	 pří-t-o-m-n-y 	 pří-tom-n-y
přítomném 	 pří-t-o-m-n-é-m 	 pří-tom-n-ém
přítomnými 	 pří-t-o-m-n-ý-m-i 	 pří-t-om-n-ými
přízemí 	 pří-zem-í 	 pří-z-em-í
příštího 	 příšt-í-ho 	 pří-št-ího
příštím 	 příšt-ím 	 pří-št-í-m
příště 	 příšt-ě 	 pří-št-ě
pšeničné 	 pšen-ič-n-é 	 pšenič-n-é
půjčte 	 půjč-te 	 půj-č-te
půlsnímkovost 	 půl-s-ním-k-ov-ost 	 půl-sním-k-ov-ost
québec 	 québec 	 québ-ec
rachotit 	 rach-ot-i-t 	 rachot-i-t
rallye 	 rallye 	 rally-e
rameni 	 ram-en-i 	 ramen-i
razítky 	 raz-í-tk-y 	 raz-ít-k-y
referát 	 re-fer-át 	 re-fer-á-t
rejstříku 	 rejstřík-u 	 rej-stř-ík-u
rektorem 	 rekt-or-em 	 rektor-em
relativita 	 rel-at-iv-it-a 	 relat-iv-it-a
relativizování 	 relat-iv-izová-n-í 	 relat-iv-iz-ová-n-í
repeal 	 repeal 	 repea-l
republikou 	 republik-ou 	 re-publ-ik-ou
revolucí 	 revol-uc-í 	 re-voluc-í
rezervy 	 re-zerv-y 	 rezerv-y
rider 	 rid-er 	 rider
rivalové 	 rival-ové 	 rival-ov-é
rolling 	 roll-ing 	 rolling
rolničit 	 rol-n-ič-i-t 	 rol-nič-i-t
roxby 	 roxby 	 rox-b-y
rozchraptit 	 roz-chrap-t-i-t 	 roz-chrapt-i-t
rozdávat 	 roz-d-á-v-a-t 	 roz-dá-v-a-t
rozesílán 	 roze-síl-á-n 	 roze-síl-án
rozhrnula 	 roz-hrn-u-l-a 	 roz-hrnu-l-a
rozkošným 	 roz-koš-n-ý-m 	 roz-koš-n-ým
rozkuckat 	 roz-kuc-k-a-t 	 roz-kuck-a-t
rozpočísti 	 roz-po-číst-i 	 roz-po-čís-ti
rozprodávat 	 roz-pro-d-á-v-a-t 	 roz-prod-á-v-a-t
rozumových 	 roz-um-ov-ý-ch 	 roz-um-ov-ých
rozvinovat 	 roz-vi-n-ova-t 	 roz-vin-ova-t
rozčechrávat 	 roz-čechr-á-v-a-t 	 roz-čechrá-v-a-t
rozžhavil 	 roz-žh-av-i-l 	 roz-žhav-i-l
rupií 	 rupi-í 	 rup-i-í
ruské 	 rus-k-é 	 rusk-é
rusové 	 rus-ové 	 rus-ov-é
russel 	 russel 	 russe-l
rázem 	 ráz-e-m 	 ráz-em
rázná 	 ráz-n-á 	 rázn-á
různými 	 různ-ý-m-i 	 růz-n-ými
samozřejmá 	 sam-o-zř-ejm-á 	 sam-ozřej-m-á
sazeb 	 saz-eb 	 sazeb
schodech 	 s-chod-e-ch 	 s-chod-ech
scienza 	 scienza 	 scienz-a
scorpions 	 scorpion-s 	 s-corp-ions
sebelepší 	 seb-e-lep-š-í 	 sebelep-š-í
sebeničením 	 s-eb-e-ni-č-en-í-m 	 sebenič-en-ím
sebevíce 	 seb-e-víc-e 	 seb-evíc-e
sedláková 	 sedl-ák-ov-á 	 sedlák-ov-á
sedmihradsku 	 sedmihradsk-u 	 sedmi-hrad-sk-u
sedmé 	 sedm-é 	 sed-m-é
separátní 	 se-par-át-n-í 	 se-parát-n-í
sepnout 	 se-pn-ou-t 	 sep-nou-t
seychelančin 	 seychel-an-č-in 	 seych-elan-č-in
signalizovali 	 signal-iz-ova-l-i 	 sign-al-iz-ova-l-i
silence 	 silence 	 sil-en-c-e
sklapne 	 s-klap-n-e 	 s-klap-ne
skomírat 	 s-ko-mír-a-t 	 s-komír-a-t
skončí 	 s-konč-í 	 s-kon-č-í
skutečnosti 	 s-kut-eč-n-ost-i 	 skuteč-n-ost-i
skutečném 	 s-kut-eč-n-é-m 	 skuteč-n-ém
skříňce 	 skříň-c-e 	 skříňc-e
slavnějším 	 slav-n-ěj-š-í-m 	 slav-n-ějš-í-m
sledování 	 sled-ová-n-í 	 s-led-ová-n-í
slev 	 s-lev 	 slev
slevu 	 s-lev-u 	 slev-u
slovník 	 slov-n-ík 	 slov-ník
slovným 	 slov-n-ý-m 	 slov-n-ým
slunce 	 slun-c-e 	 slunc-e
slyšet 	 slyš-e-t 	 s-lyš-e-t
smrtelném 	 s-mr-tel-n-é-m 	 s-mr-teln-ém
smrtelnému 	 s-mr-tel-n-é-mu 	 s-mr-teln-ému
smyslových 	 s-mysl-ov-ý-ch 	 s-mysl-ov-ých
smésti 	 s-mést-i 	 s-més-ti
směrem 	 s-měr-e-m 	 směr-em
směšný 	 směš-n-ý 	 s-měš-n-ý
snahami 	 snah-a-m-i 	 snah-ami
sobě 	 s-ob-ě 	 sob-ě
solarmax 	 solar-max 	 solarmax
solidních 	 solid-n-í-ch 	 solid-n-ích
sotva 	 sotva 	 sotv-a
souboj 	 sou-boj 	 souboj
souborů 	 sou-bor-ů 	 soubor-ů
sousedního 	 sou-sed-n-í-ho 	 sou-sed-n-ího
soutěž 	 sou-těž 	 sout-ěž
soutěži 	 sou-těž-i 	 sou-t-ěž-i
spaly 	 sp-a-l-y 	 spa-l-y
specifickým 	 speci-fic-k-ý-m 	 speci-f-ic-k-ým
speciál 	 speci-ál 	 speciál
spekulantem 	 spek-ul-ant-e-m 	 spekul-ant-em
spojkami 	 s-poj-k-a-m-i 	 s-poj-k-ami
spokojíte 	 s-pokoj-í-te 	 s-po-koj-í-te
spolehliví 	 s-po-leh-liv-í 	 spo-leh-liv-í
spolupůsobit 	 spol-u-působ-i-t 	 spolu-působ-i-t
spolutvořit 	 spol-u-tvoř-i-t 	 spolu-tvoř-i-t
spoléhej 	 s-po-léh-ej 	 spo-léh-ej
stabilní 	 stabil-n-í 	 stab-il-n-í
stadionu 	 stadion-u 	 stad-ion-u
stanoven 	 stanov-en 	 stan-ov-en
stanovil 	 stanov-i-l 	 stan-ov-i-l
starožitných 	 star-o-ži-t-n-ých 	 star-ožitn-ých
starých 	 star-ý-ch 	 star-ých
stavení 	 sta-v-en-í 	 stav-en-í
stejkaně 	 s-tejk-a-n-ě 	 stejk-a-n-ě
stejném 	 stej-n-é-m 	 stejn-ém
stipendium 	 stipendi-um 	 stipendium
stokorunovou 	 st-o-korun-ov-ou 	 stokorun-ov-ou
století 	 st-o-let-í 	 stol-et-í
stones 	 stone-s 	 stones
stornovat 	 storn-ova-t 	 stor-n-ova-t
stovkou 	 st-ovk-ou 	 stov-k-ou
stovku 	 st-ovk-u 	 stov-k-u
strahov 	 strahov 	 strah-ov
strahova 	 strahov-a 	 strah-ov-a
strahově 	 strahov-ě 	 strah-ov-ě
strava 	 s-trav-a 	 strav-a
strašnicích 	 strašnic-í-ch 	 straš-n-ic-ích
strnutí 	 s-trn-u-t-í 	 strnu-t-í
strojírenské 	 stroj-íren-sk-é 	 strojíren-sk-é
studiích 	 stud-i-í-ch 	 stud-i-ích
stulit 	 s-tul-i-t 	 stul-i-t
stěžovatel 	 stěž-ova-tel 	 s-těž-ova-tel
střechách 	 střech-á-ch 	 střech-ách
stříbrolesklého 	 stříbr-o-lesk-l-é-ho 	 stříbr-olesk-l-ého
střízlivět 	 stříz-l-iv-ě-t 	 střízl-iv-ě-t
stůl 	 stůl 	 stů-l
sundavat 	 s-und-a-v-a-t 	 sund-av-a-t
superdobrý 	 super-dobr-ý 	 superdobr-ý
supernova 	 super-nova 	 super-n-ov-a
supraphon 	 supra-phon 	 supraphon
svalnatý 	 sval-nat-ý 	 sval-n-at-ý
svát 	 s-vá-t 	 svá-t
svídnici 	 svídnic-i 	 s-víd-nic-i
svědomím 	 s-věd-om-í-m 	 s-věd-om-ím
světelné 	 svět-el-n-é 	 světeln-é
světelných 	 svět-el-n-ých 	 svět-eln-ých
systémem 	 systém-e-m 	 syst-ém-em
tajemství 	 taj-em-stv-í 	 tajem-stv-í
takzvaném 	 tak-zv-a-n-é-m 	 tak-zv-a-n-ém
také 	 také 	 tak-é
takřečená 	 tak-řeč-en-á 	 takřeč-en-á
tati 	 tat-i 	 ta-ti
technologického 	 techn-o-log-ick-ého 	 techn-o-log-ic-k-ého
telat 	 tel-at 	 tel-a-t
telefonního 	 tele-fon-n-í-ho 	 tele-fon-n-ího
televize 	 televize 	 televiz-e
tendenci 	 tend-enc-i 	 tendenc-i
tenhle 	 t-en-hle 	 tenhl-e
tenounkým 	 ten-oun-k-ý-m 	 ten-oun-k-ým
tesklivých 	 tesk-l-iv-ý-ch 	 tesk-l-iv-ých
tetička 	 tet-ič-k-a 	 tet-ičk-a
textil 	 textil 	 text-i-l
theodicée 	 theodicée 	 theod-ic-ée
tikem 	 tik-e-m 	 tik-em
tipovali 	 tip-ova-l-i 	 tip-o-va-l-i
tkalcovnictví 	 tka-lc-ovnic-tv-í 	 tkalc-ov-nic-tv-í
tlapkách 	 tlap-k-á-ch 	 tlap-k-ách
tomáš 	 tomáš 	 tomá-š
totožný 	 totožn-ý 	 totož-n-ý
traktorů 	 traktor-ů 	 trakt-or-ů
transplantační 	 trans-plant-ač-n-í 	 transplant-ač-n-í
treperendo 	 treper-end-o 	 treperend-o
trojí 	 tr-oj-í 	 troj-í
tropickém 	 trop-ick-ém 	 trop-ic-k-ém
trpělivě 	 trp-ě-l-iv-ě 	 trp-ěl-iv-ě
truhlářský 	 truhl-ář-sk-ý 	 truhlář-sk-ý
trutnovský 	 trutnov-sk-ý 	 trutn-ov-sk-ý
tull 	 tull 	 tul-l
turbodmychadlo 	 turbo-dmych-adl-o 	 turbodmych-ad-l-o
turbovrtulových 	 turbo-vrt-ul-ov-ých 	 turb-o-vrtul-ov-ých
turecký 	 turec-k-ý 	 tur-ec-k-ý
turistiky 	 tur-ist-ik-y 	 turist-ik-y
turné 	 turné 	 tur-n-é
tužeb 	 tuž-eb 	 tužeb
tvrzeními 	 tvrz-en-í-m-i 	 tvrz-en-ími
tzv 	 t-z-v 	 tzv
téhož 	 t-é-ho-ž 	 t-éhož
tímhle 	 t-í-m-hle 	 t-ímhle
tímto 	 t-í-m-t-o 	 tím-t-o
tít 	 t-í-t 	 tí-t
těhotenství 	 těhoten-ství 	 těhoten-stv-í
těmi 	 t-ě-m-i 	 t-ěmi
třemi 	 tř-e-m-i 	 tř-emi
třetím 	 tř-e-t-í-m 	 třet-í-m
třiceti 	 tř-i-cet-i 	 třic-e-ti
třineckých 	 třinec-k-ých 	 třin-ec-k-ých
ukazuju 	 u-kaz-u-j-u 	 u-kaz-uj-u
ukrutným 	 u-krut-n-ý-m 	 u-krut-n-ým
ukuckat 	 u-kuc-k-a-t 	 u-kuck-a-t
ulici 	 ul-ic-i 	 u-lic-i
uloženými 	 u-lož-en-ý-m-i 	 u-lož-en-ými
umožnilo 	 u-možn-i-l-o 	 u-mož-n-i-l-o
umožnily 	 u-možn-i-l-y 	 u-mož-n-i-l-y
umrtvení 	 u-mr-tv-en-í 	 u-mrtv-en-í
uměle 	 u-m-ě-l-e 	 uměl-e
umělkovat 	 um-ě-l-k-ova-t 	 u-měl-k-ova-t
umělostech 	 u-m-ě-l-ost-e-ch 	 uměl-ost-ech
unikát 	 unik-át 	 unik-á-t
urgenci 	 urg-enc-i 	 urgenc-i
urgencích 	 urgenc-ích 	 u-rgen-c-ích
určitě 	 urč-it-ě 	 u-rč-it-ě
usd 	 u-s-d 	 u-sd
uskladňovat 	 u-s-klad-ň-ova-t 	 u-sklad-ň-ova-t
uskutečnily 	 u-s-kut-eč-n-i-l-y 	 u-skuteč-n-i-l-y
ustanoveními 	 u-stanov-en-ími 	 u-stan-ov-en-ími
ustrnule 	 u-s-trn-u-l-e 	 u-str-nu-l-e
usvědčit 	 u-svědč-i-t 	 u-svěd-č-i-t
uváděním 	 u-vád-ě-n-ím 	 u-vád-ěn-ím
uzpůsobit 	 u-z-působ-i-t 	 u-z-pů-sob-i-t
učitelů 	 uč-i-tel-ů 	 učitel-ů
uštelovavší 	 u-štel-ova-vš-í 	 u-štel-ova-v-š-í
uším 	 uš-ím 	 uš-í-m
vakuářskost 	 vaku-ář-sk-ost 	 vakuář-sk-ost
vanka 	 van-k-a 	 vank-a
velkého 	 vel-k-é-ho 	 vel-k-ého
velvyslanectví 	 vel-vy-sl-a-n-ec-tv-í 	 vel-vysla-nec-tv-í
venkovan 	 ven-k-ov-an 	 ven-k-ovan
ventures 	 venture-s 	 ventures
vepsat 	 ve-ps-a-t 	 veps-a-t
veslař 	 vesl-ař 	 veslař
vesnici 	 ves-nic-i 	 ves-n-ic-i
vespolek 	 ve-s-pol-ek 	 vespol-ek
vetkat 	 ve-tk-a-t 	 vetk-a-t
vezmeš 	 vez-m-e-š 	 vez-meš
veřejně 	 veř-ej-n-ě 	 veřej-n-ě
veškerým 	 veš-k-er-ý-m 	 veš-k-er-ým
viděls 	 vid-ě-l-s 	 viděls
vinohradského 	 vinohrad-sk-é-ho 	 vin-o-hrad-sk-ého
virile 	 virile 	 viril-e
vlastního 	 vlast-n-í-ho 	 vlast-n-ího
vnitřnostech 	 v-nitř-n-ost-e-ch 	 v-nitř-n-ost-ech
vobléknutelný 	 v-ob-lék-nu-teln-ý 	 vob-lék-n-u-teln-ý
vodolově 	 vodolov-ě 	 vodol-ov-ě
volán 	 vol-á-n 	 vol-án
vozidly 	 voz-i-dl-y 	 voz-idl-y
vraštět 	 vraš-t-ě-t 	 vrašt-ě-t
vrtulníky 	 vrt-ul-ník-y 	 vrtul-n-ík-y
vrátnice 	 vrát-nic-e 	 vrát-n-ic-e
vstupenek 	 vs-tup-en-ek 	 v-stup-en-ek
vstupenka 	 v-stup-enk-a 	 v-stup-en-k-a
vstupenku 	 v-stup-enk-u 	 v-stup-en-k-u
vstupenky 	 vstup-enk-y 	 v-stup-en-k-y
vyabstrahovat 	 vy-abs-trah-ova-t 	 vy-abstrah-ova-t
vybafčit 	 vy-baf-č-i-t 	 vy-bafč-i-t
vydávaje 	 vy-d-á-v-aj-e 	 vy-d-á-v-aje
vyhodnocovat 	 vy-hod-n-oc-ova-t 	 vy-hod-noc-ova-t
vyjasněný 	 vy-jas-n-ěn-ý 	 vy-jasn-ěn-ý
vyjel 	 vy-je-l 	 vy-jel
vykrášlit 	 vy-kráš-l-i-t 	 vy-krášl-i-t
vynaložením 	 vy-na-lož-en-í-m 	 vy-na-lož-en-ím
vyplaněný 	 vy-plan-ě-n-ý 	 vy-plan-ěn-ý
vyplísnit 	 vy-plísn-i-t 	 vy-plís-n-i-t
vypočísti 	 vy-po-číst-i 	 vy-po-čís-t-i
vyprovokovat 	 vy-pro-vok-ova-t 	 vy-provok-ova-t
vysokoškolské 	 vys-ok-o-škol-sk-é 	 vys-o-k-oškol-sk-é
vysokoškolský 	 vys-ok-o-škol-sk-ý 	 vys-o-k-oškol-sk-ý
vysoká 	 vys-ok-á 	 vysok-á
vyspinkat 	 vy-sp-ink-a-t 	 vy-spink-a-t
vyspravit 	 vy-s-prav-i-t 	 vy-sprav-i-t
vysvětlení 	 vy-svět-l-en-í 	 vy-světl-en-í
vysvětloval 	 vy-svět-l-ova-l 	 vy-světl-ova-l
vytít 	 vy-t-í-t 	 vy-tí-t
vyvážecí 	 vy-váž-e-c-í 	 vy-váž-ec-í
vyzpytovat 	 vy-z-pyt-ova-t 	 vy-zpyt-ova-t
vyzvracet 	 vy-z-vrac-e-t 	 vy-zvrac-e-t
vyčísti 	 vy-číst-i 	 vy-čís-ti
vyřinout 	 vy-řin-ou-t 	 vy-ři-nou-t
vyžadonit 	 vy-žad-on-i-t 	 vy-žadon-i-t
vyžle 	 vyžle 	 vy-žl-e
vzdělání 	 vz-děl-án-í 	 vz-děl-á-n-í
vzájemná 	 v-zá-jem-n-á 	 vzá-jem-n-á
vzít 	 vz-í-t 	 v-zí-t
válka 	 válk-a 	 vál-k-a
vás 	 v-á-s 	 vás
víte 	 v-í-te 	 ví-te
vítkovice 	 vít-k-ov-ic-e 	 vítk-ovic-e
vítkovického 	 vítk-ovic-k-ého 	 vít-k-ovic-k-ého
vítkovickém 	 vítk-ovic-k-ém 	 vít-k-ovic-k-ém
vítězství 	 vítěz-ství 	 vítěz-stv-í
vítězům 	 vítěz-ům 	 vít-ěz-ům
výhodnější 	 vý-hod-n-ějš-í 	 vý-hod-n-ěj-š-í
výsostným 	 výs-ost-n-ý-m 	 vý-s-ost-n-ým
výčitek 	 vý-čit-e-k 	 vý-čit-ek
větrovka 	 větr-ovk-a 	 větr-ov-k-a
všeobecně 	 vš-e-obec-n-ě 	 všeobec-n-ě
vševědova 	 vševěd-ov-a 	 vše-věd-ov-a
vůnička 	 vůn-ič-k-a 	 vůn-ičk-a
westermannem 	 westermann-e-m 	 westermann-em
whitney 	 whitney 	 whit-ne-y
yse 	 y-s-e 	 ys-e
zabijeme 	 za-bi-je-me 	 za-bije-me
zachvěla 	 za-chvě-l-a 	 za-chv-ě-l-a
zafilosofovat 	 za-filo-sof-ova-t 	 za-filosof-ova-t
zahanbit 	 za-han-b-i-t 	 za-hanb-i-t
zahozených 	 za-hoz-en-ý-ch 	 za-hoz-en-ých
zahrnutí 	 za-hr-nu-t-í 	 za-hrnu-t-í
zahynul 	 za-hyn-u-l 	 za-hy-nu-l
zajatec 	 za-j-at-ec 	 za-jat-ec
zakusitelno 	 za-kus-i-tel-n-o 	 za-kus-i-teln-o
zakývat 	 za-kýv-a-t 	 za-ký-v-a-t
zalidnit 	 za-lid-n-i-t 	 za-lidn-i-t
zalil 	 za-li-l 	 za-l-i-l
zanadávat 	 za-na-d-á-v-a-t 	 za-nad-á-v-a-t
zanedbávat 	 za-ne-db-á-v-a-t 	 za-nedb-á-v-a-t
zapomnění 	 za-po-mn-ě-n-í 	 za-pomn-ě-n-í
zapomínat 	 za-pomín-a-t 	 za-po-mín-a-t
započísti 	 za-po-číst-i 	 za-po-čís-ti
zapošít 	 za-po-ší-t 	 za-poš-í-t
zaprodávat 	 za-pro-d-á-v-a-t 	 za-prod-á-v-a-t
zareagovat 	 za-re-ag-ova-t 	 za-reag-ova-t
zasahují 	 za-sah-u-j-í 	 za-sah-uj-í
zaslíbeni 	 za-s-líb-en-i 	 za-slíb-en-i
zatkneme 	 za-tk-ne-me 	 za-tkne-me
zatrubňovávatelnost 	 za-trub-ň-ová-v-a-teln-ost 	 za-trub-ň-ová-v-a-telnost
zatvrzují 	 za-tvrz-u-j-í 	 za-tvrz-uj-í
zaujatý 	 z-au-j-a-t-ý 	 za-uj-a-t-ý
zaujmouti 	 zau-jm-ou-ti 	 za-uj-mou-ti
zavřeny 	 za-vř-e-n-y 	 za-vř-en-y
zazátkovat 	 za-zá-tk-ova-t 	 za-zát-k-ova-t
zdegenerovat 	 z-de-gener-ova-t 	 z-degener-ova-t
zdeničky 	 zden-ič-k-y 	 zden-ičk-y
zdeněk 	 zdeněk 	 zden-ěk
zdokonalit 	 z-do-kon-a-l-i-t 	 z-do-kon-al-i-t
zdít 	 zd-í-t 	 z-dí-t
zemím 	 zem-ím 	 zem-í-m
zemědělské 	 zem-ě-děl-sk-é 	 zeměd-ěl-sk-é
zemědělských 	 zem-ě-děl-sk-ých 	 zeměd-ěl-sk-ých
zespolečenšťovat 	 ze-spol-eč-en-šť-ova-t 	 ze-společ-en-šť-ova-t
zfalšování 	 z-falš-ová-n-í 	 z-fal-š-ová-n-í
zheroizovavší 	 z-hero-izova-vš-í 	 z-hero-izova-v-š-í
zhospodárnit 	 z-hospod-ár-n-i-t 	 z-hospodár-n-i-t
zhypnotizovat 	 z-hypn-ot-iz-ova-t 	 z-hypnot-iz-ova-t
zjednodušení 	 z-jedn-o-duš-en-í 	 z-jedn-o-duš-e-n-í
zjízlivět 	 z-jíz-l-iv-ě-t 	 z-jízl-iv-ě-t
